Datetime,Open,High,Low,Close,Adj Close,Volume
2022-07-20-04-00-00 GMT-0400,101.79,101.79,100.73,101.49,101.49,0
2022-07-20-04-02-00 GMT-0400,101.45,101.52,101.42,101.5,101.5,0
2022-07-20-04-04-00 GMT-0400,101.69,101.69,101.5,101.5,101.5,0
2022-07-20-04-06-00 GMT-0400,101.51,101.6,101.41,101.6,101.6,0
2022-07-20-04-08-00 GMT-0400,101.51,102.22,101.46,102.22,102.22,0
2022-07-20-04-10-00 GMT-0400,102.31,102.35,102.3,102.35,102.35,0
2022-07-20-04-12-00 GMT-0400,102.34,102.4,102.1,102.14,102.14,0
2022-07-20-04-14-00 GMT-0400,102.1,102.32,102.0,102.14,102.14,0
2022-07-20-04-16-00 GMT-0400,102.14,102.14,102.14,102.14,102.14,0
2022-07-20-04-20-00 GMT-0400,102.0,102.14,102.0,102.0,102.0,0
2022-07-20-04-22-00 GMT-0400,102.13,102.13,102.0,102.0,102.0,0
2022-07-20-04-24-00 GMT-0400,102.13,102.19,102.1,102.13,102.13,0
2022-07-20-04-26-00 GMT-0400,102.01,102.12,102.0,102.1,102.1,0
2022-07-20-04-28-00 GMT-0400,102.01,102.01,102.01,102.01,102.01,0
2022-07-20-04-30-00 GMT-0400,102.01,102.02,102.01,102.01,102.01,0
2022-07-20-04-32-00 GMT-0400,102.12,102.14,102.1,102.14,102.14,0
2022-07-20-04-34-00 GMT-0400,102.03,102.14,102.03,102.14,102.14,0
2022-07-20-04-36-00 GMT-0400,102.14,102.18,102.13,102.18,102.18,0
2022-07-20-04-38-00 GMT-0400,102.09,102.09,102.05,102.05,102.05,0
2022-07-20-04-40-00 GMT-0400,102.08,102.08,102.08,102.08,102.08,0
2022-07-20-04-42-00 GMT-0400,102.05,102.09,102.01,102.01,102.01,0
2022-07-20-04-44-00 GMT-0400,102.02,102.07,102.0,102.0,102.0,0
2022-07-20-04-46-00 GMT-0400,102.0,102.0,101.55,101.55,101.55,0
2022-07-20-04-48-00 GMT-0400,101.55,101.55,101.55,101.55,101.55,0
2022-07-20-04-52-00 GMT-0400,101.58,101.78,101.55,101.55,101.55,0
2022-07-20-04-56-00 GMT-0400,101.72,101.88,101.64,101.88,101.88,0
2022-07-20-04-58-00 GMT-0400,101.86,101.86,101.83,101.86,101.86,0
2022-07-20-05-00-00 GMT-0400,101.86,101.86,101.86,101.86,101.86,0
2022-07-20-05-02-00 GMT-0400,101.88,101.88,101.72,101.72,101.72,0
2022-07-20-05-04-00 GMT-0400,101.89,101.89,101.71,101.8,101.8,0
2022-07-20-05-06-00 GMT-0400,101.69,101.69,101.69,101.69,101.69,0
2022-07-20-05-08-00 GMT-0400,101.69,101.8,101.69,101.8,101.8,0
2022-07-20-05-10-00 GMT-0400,101.88,101.88,101.81,101.81,101.81,0
2022-07-20-05-12-00 GMT-0400,101.81,101.81,101.8,101.8,101.8,0
2022-07-20-05-14-00 GMT-0400,101.8,101.8,101.71,101.71,101.71,0
2022-07-20-05-16-00 GMT-0400,101.8,101.8,101.73,101.77,101.77,0
2022-07-20-05-18-00 GMT-0400,101.75,101.78,101.63,101.78,101.78,0
2022-07-20-05-26-00 GMT-0400,101.76,101.8,101.76,101.8,101.8,0
2022-07-20-05-28-00 GMT-0400,101.8,101.8,101.8,101.8,101.8,0
2022-07-20-05-30-00 GMT-0400,101.67,101.8,101.67,101.8,101.8,0
2022-07-20-05-32-00 GMT-0400,101.86,101.9,101.86,101.87,101.87,0
2022-07-20-05-34-00 GMT-0400,101.88,101.88,101.88,101.88,101.88,0
2022-07-20-05-36-00 GMT-0400,101.9,101.91,101.9,101.9,101.9,0
2022-07-20-05-38-00 GMT-0400,101.98,102.0,101.9,101.9,101.9,0
2022-07-20-05-42-00 GMT-0400,101.99,101.99,101.99,101.99,101.99,0
2022-07-20-05-46-00 GMT-0400,101.86,101.86,101.84,101.84,101.84,0
2022-07-20-05-48-00 GMT-0400,101.92,102.0,101.91,101.99,101.99,0
2022-07-20-05-50-00 GMT-0400,101.83,101.84,101.78,101.78,101.78,0
2022-07-20-05-54-00 GMT-0400,101.83,101.83,101.7,101.7,101.7,0
2022-07-20-05-56-00 GMT-0400,101.82,101.83,101.68,101.83,101.83,0
2022-07-20-05-58-00 GMT-0400,101.83,101.83,101.75,101.75,101.75,0
2022-07-20-06-00-00 GMT-0400,101.67,101.67,101.67,101.67,101.67,0
2022-07-20-06-02-00 GMT-0400,101.84,101.84,101.7,101.83,101.83,0
2022-07-20-06-04-00 GMT-0400,101.83,101.83,101.83,101.83,101.83,0
2022-07-20-06-06-00 GMT-0400,101.83,101.83,101.77,101.77,101.77,0
2022-07-20-06-12-00 GMT-0400,101.8,101.8,101.66,101.66,101.66,0
2022-07-20-06-14-00 GMT-0400,101.66,101.67,101.66,101.66,101.66,0
2022-07-20-06-16-00 GMT-0400,101.66,101.66,101.61,101.61,101.61,0
2022-07-20-06-20-00 GMT-0400,101.66,101.66,101.55,101.66,101.66,0
2022-07-20-06-24-00 GMT-0400,101.7,101.7,101.7,101.7,101.7,0
2022-07-20-06-26-00 GMT-0400,101.66,101.78,101.55,101.63,101.63,0
2022-07-20-06-28-00 GMT-0400,101.63,101.63,101.63,101.63,101.63,0
2022-07-20-06-32-00 GMT-0400,101.63,101.75,101.6,101.6,101.6,0
2022-07-20-06-34-00 GMT-0400,101.57,101.6,101.25,101.25,101.25,0
2022-07-20-06-36-00 GMT-0400,101.38,101.38,101.26,101.26,101.26,0
2022-07-20-06-38-00 GMT-0400,101.26,101.26,101.26,101.26,101.26,0
2022-07-20-06-40-00 GMT-0400,101.29,101.38,101.29,101.38,101.38,0
2022-07-20-06-42-00 GMT-0400,101.21,101.4,101.21,101.4,101.4,0
2022-07-20-06-44-00 GMT-0400,101.4,101.4,101.39,101.39,101.39,0
2022-07-20-06-48-00 GMT-0400,101.39,101.39,101.23,101.23,101.23,0
2022-07-20-06-50-00 GMT-0400,101.23,101.39,101.21,101.21,101.21,0
2022-07-20-06-52-00 GMT-0400,101.25,101.3,101.25,101.3,101.3,0
2022-07-20-06-54-00 GMT-0400,101.35,101.39,101.3,101.35,101.35,0
2022-07-20-06-58-00 GMT-0400,101.4,101.5,101.4,101.48,101.48,0
2022-07-20-07-00-00 GMT-0400,101.53,101.67,101.36,101.36,101.36,0
2022-07-20-07-02-00 GMT-0400,101.36,101.49,101.36,101.36,101.36,0
2022-07-20-07-04-00 GMT-0400,101.43,101.44,101.27,101.27,101.27,0
2022-07-20-07-06-00 GMT-0400,101.3,101.39,101.3,101.39,101.39,0
2022-07-20-07-08-00 GMT-0400,101.39,101.4,101.35,101.35,101.35,0
2022-07-20-07-10-00 GMT-0400,101.32,101.35,101.25,101.35,101.35,0
2022-07-20-07-12-00 GMT-0400,101.27,101.35,101.2,101.28,101.28,0
2022-07-20-07-14-00 GMT-0400,101.29,101.29,101.2,101.2,101.2,0
2022-07-20-07-16-00 GMT-0400,101.23,101.23,101.0,101.02,101.02,0
2022-07-20-07-18-00 GMT-0400,101.13,101.25,101.05,101.25,101.25,0
2022-07-20-07-20-00 GMT-0400,101.25,101.25,101.21,101.25,101.25,0
2022-07-20-07-22-00 GMT-0400,101.2,101.23,101.2,101.23,101.23,0
2022-07-20-07-24-00 GMT-0400,101.2,101.22,101.2,101.22,101.22,0
2022-07-20-07-26-00 GMT-0400,101.21,101.29,101.21,101.29,101.29,0
2022-07-20-07-28-00 GMT-0400,101.3,101.3,101.2,101.2,101.2,0
2022-07-20-07-30-00 GMT-0400,101.19,101.24,101.18,101.21,101.21,0
2022-07-20-07-32-00 GMT-0400,101.13,101.24,101.11,101.24,101.24,0
2022-07-20-07-34-00 GMT-0400,101.23,101.25,101.2,101.24,101.24,0
2022-07-20-07-36-00 GMT-0400,101.22,101.22,101.2,101.2,101.2,0
2022-07-20-07-38-00 GMT-0400,101.15,101.16,101.15,101.16,101.16,0
2022-07-20-07-40-00 GMT-0400,101.16,101.2,101.07,101.2,101.2,0
2022-07-20-07-42-00 GMT-0400,101.25,101.29,101.19,101.29,101.29,0
2022-07-20-07-44-00 GMT-0400,101.23,101.3,101.2,101.2,101.2,0
2022-07-20-07-46-00 GMT-0400,101.2,101.2,101.2,101.2,101.2,0
2022-07-20-07-48-00 GMT-0400,101.11,101.19,101.11,101.19,101.19,0
2022-07-20-07-50-00 GMT-0400,101.11,101.13,101.1,101.13,101.13,0
2022-07-20-07-52-00 GMT-0400,101.1,101.1,101.1,101.1,101.1,0
2022-07-20-07-54-00 GMT-0400,101.04,101.15,101.02,101.15,101.15,0
2022-07-20-07-56-00 GMT-0400,101.1,101.17,101.1,101.1,101.1,0
2022-07-20-08-00-00 GMT-0400,101.44,102.1988,101.0,101.07,101.07,0
2022-07-20-08-02-00 GMT-0400,101.0412,101.2,101.04,101.1,101.1,0
2022-07-20-08-04-00 GMT-0400,101.18,101.21,101.1,101.21,101.21,0
2022-07-20-08-06-00 GMT-0400,101.04,101.25,101.04,101.24,101.24,0
2022-07-20-08-08-00 GMT-0400,101.27,101.4,101.07,101.4,101.4,0
2022-07-20-08-10-00 GMT-0400,101.28,101.43,101.28,101.4,101.4,0
2022-07-20-08-12-00 GMT-0400,101.43,101.43,101.33,101.4,101.4,0
2022-07-20-08-14-00 GMT-0400,101.36,101.49,101.3,101.49,101.49,0
2022-07-20-08-16-00 GMT-0400,101.4,101.49,101.2,101.33,101.33,0
2022-07-20-08-18-00 GMT-0400,101.32,101.32,101.18,101.19,101.19,0
2022-07-20-08-20-00 GMT-0400,101.18,101.2,101.1,101.1001,101.1001,0
2022-07-20-08-22-00 GMT-0400,101.18,101.19,100.67,100.88,100.88,0
2022-07-20-08-24-00 GMT-0400,100.78,100.9333,100.3024,100.82,100.82,0
2022-07-20-08-26-00 GMT-0400,100.514,100.65,100.33,100.43,100.43,0
2022-07-20-08-28-00 GMT-0400,100.4,100.69,100.4,100.54,100.54,0
2022-07-20-08-30-00 GMT-0400,100.44,100.6,100.32,100.4201,100.4201,0
2022-07-20-08-32-00 GMT-0400,100.5,100.85,100.42,100.7,100.7,0
2022-07-20-08-34-00 GMT-0400,100.65,100.69,100.5,100.55,100.55,0
2022-07-20-08-36-00 GMT-0400,100.54,100.65,100.5,100.58,100.58,0
2022-07-20-08-38-00 GMT-0400,100.5,100.63,100.345,100.49,100.49,0
2022-07-20-08-40-00 GMT-0400,100.5,100.61,100.35,100.5,100.5,0
2022-07-20-08-42-00 GMT-0400,100.45,100.5,100.42,100.5,100.5,0
2022-07-20-08-44-00 GMT-0400,100.42,100.42,100.23,100.33,100.33,0
2022-07-20-08-46-00 GMT-0400,100.21,100.33,100.12,100.15,100.15,0
