Datetime,Open,High,Low,Close,Adj Close,Volume
2021-07-12-04-00-00 GMT-0400,371.36,371.36,371.36,371.36,371.36,0
2021-07-12-04-02-00 GMT-0400,370.48,370.48,369.03,370.46,370.46,0
2021-07-12-04-04-00 GMT-0400,370.1,370.75,370.1,370.75,370.75,0
2021-07-12-04-06-00 GMT-0400,370.73,370.73,370.0,370.0,370.0,0
2021-07-12-04-14-00 GMT-0400,370.95,371.43,370.95,371.43,371.43,0
2021-07-12-04-48-00 GMT-0400,370.6,371.0,370.6,371.0,371.0,0
2021-07-12-05-14-00 GMT-0400,370.0,370.0,369.18,369.18,369.18,0
2021-07-12-05-18-00 GMT-0400,369.86,370.0,369.86,370.0,370.0,0
2021-07-12-05-22-00 GMT-0400,369.04,370.01,369.04,369.39,369.39,0
2021-07-12-05-26-00 GMT-0400,370.36,370.36,369.59,370.0,370.0,0
2021-07-12-05-40-00 GMT-0400,369.6,369.6,369.59,369.59,369.59,0
2021-07-12-05-50-00 GMT-0400,369.04,369.04,368.0,369.03,369.03,0
2021-07-12-05-54-00 GMT-0400,369.56,370.0,369.56,370.0,370.0,0
2021-07-12-06-04-00 GMT-0400,368.01,368.48,368.0,368.0,368.0,0
2021-07-12-06-06-00 GMT-0400,368.08,368.08,368.0,368.0,368.0,0
2021-07-12-06-20-00 GMT-0400,368.0,368.0,366.5,366.5,366.5,0
2021-07-12-06-22-00 GMT-0400,366.5,366.5,366.5,366.5,366.5,0
2021-07-12-07-00-00 GMT-0400,367.8,368.0,366.81,368.0,368.0,0
2021-07-12-07-04-00 GMT-0400,368.45,368.47,368.0,368.0,368.0,0
2021-07-12-07-06-00 GMT-0400,368.67,368.67,368.45,368.45,368.45,0
2021-07-12-07-10-00 GMT-0400,368.55,368.59,368.55,368.57,368.57,0
2021-07-12-07-12-00 GMT-0400,368.67,369.26,368.67,369.26,369.26,0
2021-07-12-07-14-00 GMT-0400,369.75,369.75,369.28,369.75,369.75,0
