Datetime,Open,High,Low,Close,Adj Close,Volume
2022-08-02-04-00-00 GMT-0400,131.0,132.01,129.7,131.95,131.95,0.0
2022-08-02-04-02-00 GMT-0400,131.93,131.93,131.93,131.93,131.93,0.0
2022-08-02-04-08-00 GMT-0400,131.38,131.38,131.14,131.14,131.14,0.0
2022-08-02-04-10-00 GMT-0400,131.04,131.17,131.04,131.17,131.17,0.0
2022-08-02-04-12-00 GMT-0400,131.17,131.17,131.0,131.0,131.0,0.0
2022-08-02-04-14-00 GMT-0400,131.55,132.0,130.9,131.08,131.08,0.0
2022-08-02-04-58-00 GMT-0400,131.53,131.56,131.47,131.56,131.56,0.0
2022-08-02-05-00-00 GMT-0400,131.86,131.86,131.86,131.86,131.86,0.0
2022-08-02-05-02-00 GMT-0400,131.61,131.61,131.61,131.61,131.61,0.0
2022-08-02-05-04-00 GMT-0400,131.66,131.66,131.65,131.65,131.65,0.0
2022-08-02-05-06-00 GMT-0400,131.65,131.65,131.65,131.65,131.65,0.0
2022-08-02-05-14-00 GMT-0400,131.68,131.68,131.68,131.68,131.68,0.0
2022-08-02-05-30-00 GMT-0400,131.85,131.85,131.85,131.85,131.85,0.0
2022-08-02-05-46-00 GMT-0400,131.65,131.65,131.59,131.61,131.61,0.0
2022-08-02-05-52-00 GMT-0400,131.56,131.56,131.53,131.53,131.53,0.0
2022-08-02-05-58-00 GMT-0400,131.57,131.62,131.55,131.62,131.62,0.0
2022-08-02-06-06-00 GMT-0400,131.91,131.91,131.91,131.91,131.91,0.0
2022-08-02-06-12-00 GMT-0400,131.46,131.46,131.46,131.46,131.46,0.0
2022-08-02-06-24-00 GMT-0400,131.5,131.5,131.5,131.5,131.5,0.0
2022-08-02-06-26-00 GMT-0400,131.57,131.57,131.4,131.4,131.4,0.0
2022-08-02-06-44-00 GMT-0400,131.14,131.14,131.1,131.1,131.1,0.0
2022-08-02-06-48-00 GMT-0400,131.06,131.06,131.06,131.06,131.06,0.0
2022-08-02-06-52-00 GMT-0400,131.28,131.32,131.28,131.32,131.32,0.0
2022-08-02-06-56-00 GMT-0400,131.37,131.37,131.33,131.33,131.33,0.0
2022-08-02-06-58-00 GMT-0400,131.35,131.38,131.35,131.38,131.38,0.0
2022-08-02-07-00-00 GMT-0400,131.56,131.57,131.11,131.11,131.11,0.0
2022-08-02-07-12-00 GMT-0400,131.38,131.38,131.37,131.38,131.38,0.0
2022-08-02-07-16-00 GMT-0400,131.57,131.57,131.57,131.57,131.57,0.0
2022-08-02-07-24-00 GMT-0400,131.55,131.55,131.55,131.55,131.55,0.0
2022-08-02-07-30-00 GMT-0400,131.69,131.69,131.69,131.69,131.69,0.0
2022-08-02-07-40-00 GMT-0400,131.66,131.66,131.66,131.66,131.66,0.0
2022-08-02-07-48-00 GMT-0400,131.66,131.67,131.65,131.66,131.66,0.0
2022-08-02-07-56-00 GMT-0400,131.64,131.64,131.64,131.64,131.64,0.0
2022-08-02-08-00-00 GMT-0400,131.53,133.5188,131.1,131.65,131.65,0.0
2022-08-02-08-02-00 GMT-0400,131.64,131.66,131.56,131.66,131.66,0.0
2022-08-02-08-08-00 GMT-0400,131.74,131.74,131.74,131.74,131.74,0.0
2022-08-02-08-16-00 GMT-0400,131.66,131.66,131.58,131.58,131.58,0.0
2022-08-02-08-24-00 GMT-0400,131.61,131.61,131.57,131.57,131.57,0.0
2022-08-02-08-28-00 GMT-0400,131.554,131.7988,131.55,131.7988,131.7988,0.0
2022-08-02-08-30-00 GMT-0400,131.76,131.76,131.55,131.76,131.76,0.0
2022-08-02-08-34-00 GMT-0400,131.75,131.75,131.75,131.75,131.75,0.0
2022-08-02-08-36-00 GMT-0400,131.75,131.9971,131.68,131.68,131.68,0.0
2022-08-02-08-44-00 GMT-0400,131.82,132.0,131.82,132.0,132.0,0.0
2022-08-02-08-48-00 GMT-0400,132.0,132.0,131.67,131.67,131.67,0.0
2022-08-02-08-50-00 GMT-0400,132.0,132.0,131.82,131.82,131.82,0.0
2022-08-02-08-52-00 GMT-0400,131.83,131.83,131.83,131.83,131.83,0.0
2022-08-02-08-56-00 GMT-0400,131.69,131.8,131.69,131.8,131.8,0.0
2022-08-02-09-02-00 GMT-0400,131.9988,131.9988,131.9988,131.9988,131.9988,0.0
2022-08-02-09-04-00 GMT-0400,131.8,132.0,131.69,132.0,132.0,0.0
2022-08-02-09-08-00 GMT-0400,131.9,132.07,131.9,132.0,132.0,0.0
2022-08-02-09-10-00 GMT-0400,132.09,132.34,132.0,132.2,132.2,0.0
2022-08-02-09-12-00 GMT-0400,132.3,132.3,132.3,132.3,132.3,0.0
2022-08-02-09-14-00 GMT-0400,132.3,132.34,132.16,132.16,132.16,0.0
2022-08-02-09-30-00 GMT-0400,132.5,132.61000061035156,132.38999938964844,132.47999572753906,132.47999572753906,107876.0
2022-08-02-09-32-00 GMT-0400,132.48500061035156,132.52999877929688,132.0399932861328,132.05999755859375,132.05999755859375,53649.0
2022-08-02-09-34-00 GMT-0400,132.05999755859375,132.10000610351562,131.8699951171875,131.91000366210938,131.91000366210938,38511.0
2022-08-02-09-36-00 GMT-0400,131.92999267578125,131.92999267578125,131.67999267578125,131.75,131.75,24861.0
2022-08-02-09-38-00 GMT-0400,131.75,131.99000549316406,131.72999572753906,131.97999572753906,131.97999572753906,26697.0
2022-08-02-09-40-00 GMT-0400,131.97000122070312,132.02000427246094,131.8699951171875,131.94000244140625,131.94000244140625,23330.0
2022-08-02-09-42-00 GMT-0400,131.9499969482422,132.11000061035156,131.8000030517578,132.0,132.0,26784.0
2022-08-02-09-44-00 GMT-0400,131.98500061035156,132.2100067138672,131.96499633789062,132.1623992919922,132.1623992919922,15586.0
2022-08-02-09-46-00 GMT-0400,132.13999938964844,132.3000030517578,132.02000427246094,132.02859497070312,132.02859497070312,24329.0
2022-08-02-09-48-00 GMT-0400,132.05999755859375,132.05999755859375,131.60000610351562,131.6199951171875,131.6199951171875,59757.0
2022-08-02-09-50-00 GMT-0400,131.6199951171875,131.92999267578125,131.55999755859375,131.7100067138672,131.7100067138672,107044.0
2022-08-02-09-52-00 GMT-0400,131.72000122070312,131.72000122070312,130.55999755859375,130.82000732421875,130.82000732421875,589800.0
2022-08-02-09-54-00 GMT-0400,130.8300018310547,131.02000427246094,130.50999450683594,130.94000244140625,130.94000244140625,109630.0
2022-08-02-09-56-00 GMT-0400,130.94000244140625,131.35000610351562,130.69009399414062,131.24000549316406,131.24000549316406,101543.0
2022-08-02-09-58-00 GMT-0400,131.25999450683594,131.32000732421875,131.05999755859375,131.17999267578125,131.17999267578125,26280.0
2022-08-02-10-00-00 GMT-0400,131.19500732421875,131.57000732421875,131.16000366210938,131.25,131.25,25956.0
2022-08-02-10-02-00 GMT-0400,131.27000427246094,131.55999755859375,131.17999267578125,131.5500030517578,131.5500030517578,24462.0
2022-08-02-10-04-00 GMT-0400,131.49000549316406,131.52999877929688,131.35000610351562,131.4600067138672,131.4600067138672,11577.0
2022-08-02-10-06-00 GMT-0400,131.4600067138672,131.63499450683594,131.4600067138672,131.47999572753906,131.47999572753906,14627.0
2022-08-02-10-08-00 GMT-0400,131.4600067138672,131.4600067138672,131.25999450683594,131.27999877929688,131.27999877929688,20111.0
2022-08-02-10-10-00 GMT-0400,131.27999877929688,131.38999938964844,131.1699981689453,131.24000549316406,131.24000549316406,23983.0
2022-08-02-10-12-00 GMT-0400,131.24000549316406,131.25,131.05999755859375,131.125,131.125,21326.0
2022-08-02-10-14-00 GMT-0400,131.11000061035156,131.2689971923828,131.11000061035156,131.24000549316406,131.24000549316406,12021.0
2022-08-02-10-16-00 GMT-0400,131.25999450683594,131.27000427246094,131.10000610351562,131.22999572753906,131.22999572753906,17146.0
2022-08-02-10-18-00 GMT-0400,131.2100067138672,131.27999877929688,131.09609985351562,131.21299743652344,131.21299743652344,24283.0
