Datetime,Open,High,Low,Close,Adj Close,Volume
2022-05-25-04-00-00 GMT-0400,42.0,42.0,41.7,41.7,41.7,0
2022-05-25-04-06-00 GMT-0400,41.74,41.8,41.71,41.74,41.74,0
2022-05-25-04-08-00 GMT-0400,41.73,41.79,41.71,41.79,41.79,0
2022-05-25-04-18-00 GMT-0400,41.74,41.79,41.74,41.74,41.74,0
2022-05-25-04-32-00 GMT-0400,41.76,41.76,41.74,41.74,41.74,0
2022-05-25-04-34-00 GMT-0400,41.74,41.75,41.74,41.75,41.75,0
2022-05-25-04-54-00 GMT-0400,41.75,41.76,41.73,41.74,41.74,0
2022-05-25-05-00-00 GMT-0400,41.73,41.73,41.7,41.72,41.72,0
2022-05-25-05-02-00 GMT-0400,41.7,41.71,41.69,41.69,41.69,0
2022-05-25-05-12-00 GMT-0400,41.68,41.7,41.6,41.64,41.64,0
2022-05-25-05-18-00 GMT-0400,41.59,41.66,41.59,41.65,41.65,0
2022-05-25-05-20-00 GMT-0400,41.64,41.65,41.64,41.65,41.65,0
2022-05-25-05-26-00 GMT-0400,41.59,41.62,41.57,41.62,41.62,0
2022-05-25-05-32-00 GMT-0400,41.57,41.66,41.57,41.66,41.66,0
2022-05-25-06-00-00 GMT-0400,41.78,41.78,41.72,41.74,41.74,0
2022-05-25-06-26-00 GMT-0400,41.75,41.75,41.72,41.72,41.72,0
2022-05-25-06-30-00 GMT-0400,41.75,41.75,41.72,41.73,41.73,0
2022-05-25-06-42-00 GMT-0400,41.75,41.78,41.67,41.68,41.68,0
2022-05-25-06-48-00 GMT-0400,41.67,41.68,41.6,41.6,41.6,0
2022-05-25-06-50-00 GMT-0400,41.62,41.67,41.62,41.67,41.67,0
2022-05-25-06-52-00 GMT-0400,41.61,41.71,41.6,41.71,41.71,0
2022-05-25-07-00-00 GMT-0400,41.68,41.7,41.61,41.63,41.63,0
2022-05-25-07-02-00 GMT-0400,41.65,41.65,41.63,41.63,41.63,0
2022-05-25-07-08-00 GMT-0400,41.66,41.66,41.65,41.65,41.65,0
2022-05-25-07-14-00 GMT-0400,41.69,41.69,41.63,41.68,41.68,0
2022-05-25-07-16-00 GMT-0400,41.63,41.63,41.58,41.61,41.61,0
2022-05-25-07-18-00 GMT-0400,41.62,41.63,41.62,41.63,41.63,0
2022-05-25-07-20-00 GMT-0400,41.64,41.64,41.61,41.61,41.61,0
2022-05-25-07-22-00 GMT-0400,41.6,41.6,41.59,41.59,41.59,0
2022-05-25-07-24-00 GMT-0400,41.58,41.58,41.52,41.52,41.52,0
2022-05-25-07-26-00 GMT-0400,41.52,41.52,41.48,41.48,41.48,0
2022-05-25-07-28-00 GMT-0400,41.48,41.56,41.48,41.51,41.51,0
2022-05-25-07-30-00 GMT-0400,41.56,41.57,41.55,41.55,41.55,0
2022-05-25-07-38-00 GMT-0400,41.59,41.59,41.53,41.55,41.55,0
2022-05-25-07-42-00 GMT-0400,41.53,41.53,41.52,41.52,41.52,0
2022-05-25-07-44-00 GMT-0400,41.51,41.53,41.51,41.53,41.53,0
2022-05-25-07-46-00 GMT-0400,41.52,41.52,41.46,41.48,41.48,0
2022-05-25-07-48-00 GMT-0400,41.46,41.46,41.46,41.46,41.46,0
2022-05-25-07-50-00 GMT-0400,41.47,41.54,41.46,41.54,41.54,0
2022-05-25-07-52-00 GMT-0400,41.54,41.56,41.54,41.55,41.55,0
2022-05-25-07-54-00 GMT-0400,41.55,41.6,41.55,41.58,41.58,0
