Datetime,Open,High,Low,Close,Adj Close,Volume
2022-08-02-04-00-00 GMT-0400,64.6,64.7,64.4,64.4,64.4,0.0
2022-08-02-04-02-00 GMT-0400,64.4,64.4,64.4,64.4,64.4,0.0
2022-08-02-04-06-00 GMT-0400,64.45,64.49,64.45,64.49,64.49,0.0
2022-08-02-04-08-00 GMT-0400,64.49,64.49,64.45,64.45,64.45,0.0
2022-08-02-04-10-00 GMT-0400,64.4,64.4,64.3,64.37,64.37,0.0
2022-08-02-04-16-00 GMT-0400,64.38,64.39,64.38,64.38,64.38,0.0
2022-08-02-04-30-00 GMT-0400,64.39,64.39,64.3,64.3,64.3,0.0
2022-08-02-04-36-00 GMT-0400,64.3,64.31,64.3,64.31,64.31,0.0
2022-08-02-04-38-00 GMT-0400,64.3,64.39,64.3,64.39,64.39,0.0
2022-08-02-04-46-00 GMT-0400,64.31,64.31,64.31,64.31,64.31,0.0
2022-08-02-04-48-00 GMT-0400,64.31,64.34,64.3,64.3,64.3,0.0
2022-08-02-05-02-00 GMT-0400,64.3,64.3,64.29,64.29,64.29,0.0
2022-08-02-05-08-00 GMT-0400,64.29,64.35,64.29,64.35,64.35,0.0
2022-08-02-05-24-00 GMT-0400,64.31,64.35,64.31,64.31,64.31,0.0
2022-08-02-05-26-00 GMT-0400,64.31,64.31,64.3,64.3,64.3,0.0
2022-08-02-05-30-00 GMT-0400,64.35,64.35,64.3,64.31,64.31,0.0
2022-08-02-05-32-00 GMT-0400,64.34,64.37,64.34,64.37,64.37,0.0
2022-08-02-05-34-00 GMT-0400,64.35,64.38,64.31,64.31,64.31,0.0
2022-08-02-05-44-00 GMT-0400,64.33,64.33,64.33,64.33,64.33,0.0
2022-08-02-05-46-00 GMT-0400,64.33,64.33,64.28,64.28,64.28,0.0
2022-08-02-06-00-00 GMT-0400,64.28,64.32,64.28,64.28,64.28,0.0
2022-08-02-06-14-00 GMT-0400,64.3,64.32,64.3,64.3,64.3,0.0
2022-08-02-06-16-00 GMT-0400,64.29,64.3,64.29,64.3,64.3,0.0
2022-08-02-06-22-00 GMT-0400,64.3,64.33,64.3,64.33,64.33,0.0
