Datetime,Open,High,Low,Close,Adj Close,Volume
2021-09-03-04-02-00 GMT-0400,302.3,302.3,302.07,302.09,302.09,0
2021-09-03-04-04-00 GMT-0400,302.13,302.5,302.13,302.29,302.29,0
2021-09-03-04-06-00 GMT-0400,302.47,302.58,302.47,302.58,302.58,0
2021-09-03-04-08-00 GMT-0400,302.3,302.3,302.17,302.17,302.17,0
2021-09-03-04-10-00 GMT-0400,302.3,302.44,302.3,302.44,302.44,0
2021-09-03-04-12-00 GMT-0400,302.2,302.3,302.17,302.3,302.3,0
2021-09-03-04-14-00 GMT-0400,302.3,302.44,302.2,302.43,302.43,0
2021-09-03-04-16-00 GMT-0400,302.35,302.35,302.35,302.35,302.35,0
2021-09-03-04-18-00 GMT-0400,302.35,302.35,302.34,302.34,302.34,0
2021-09-03-04-20-00 GMT-0400,302.34,302.34,302.2,302.2,302.2,0
2021-09-03-04-22-00 GMT-0400,302.35,302.35,302.27,302.27,302.27,0
2021-09-03-04-24-00 GMT-0400,302.2,302.2,302.17,302.17,302.17,0
2021-09-03-04-28-00 GMT-0400,302.17,302.27,302.17,302.25,302.25,0
2021-09-03-04-30-00 GMT-0400,302.27,302.27,302.26,302.26,302.26,0
2021-09-03-04-34-00 GMT-0400,302.27,302.27,302.17,302.17,302.17,0
2021-09-03-04-36-00 GMT-0400,302.17,302.17,302.06,302.09,302.09,0
2021-09-03-04-38-00 GMT-0400,302.22,302.24,302.22,302.24,302.24,0
2021-09-03-04-42-00 GMT-0400,302.08,302.08,302.07,302.07,302.07,0
2021-09-03-04-44-00 GMT-0400,302.15,302.15,301.99,301.99,301.99,0
2021-09-03-04-46-00 GMT-0400,301.97,301.97,301.91,301.91,301.91,0
2021-09-03-04-48-00 GMT-0400,301.94,302.0,301.94,302.0,302.0,0
2021-09-03-04-50-00 GMT-0400,301.8,301.8,301.7,301.75,301.75,0
2021-09-03-04-52-00 GMT-0400,301.77,301.77,301.73,301.73,301.73,0
2021-09-03-04-58-00 GMT-0400,301.7,301.7,301.65,301.66,301.66,0
2021-09-03-05-00-00 GMT-0400,301.7,301.74,301.7,301.74,301.74,0
2021-09-03-05-02-00 GMT-0400,301.7,301.72,301.66,301.7,301.7,0
2021-09-03-05-06-00 GMT-0400,301.7,301.7,301.66,301.66,301.66,0
2021-09-03-05-10-00 GMT-0400,301.73,301.75,301.73,301.75,301.75,0
2021-09-03-05-12-00 GMT-0400,301.8,302.04,301.79,301.79,301.79,0
2021-09-03-05-14-00 GMT-0400,301.84,301.92,301.84,301.92,301.92,0
2021-09-03-05-16-00 GMT-0400,301.7,301.72,301.7,301.7,301.7,0
2021-09-03-05-28-00 GMT-0400,301.89,301.91,301.89,301.91,301.91,0
2021-09-03-05-30-00 GMT-0400,301.92,301.95,301.9,301.95,301.95,0
2021-09-03-05-32-00 GMT-0400,301.95,301.97,301.95,301.95,301.95,0
2021-09-03-05-34-00 GMT-0400,301.95,302.0,301.94,302.0,302.0,0
2021-09-03-05-38-00 GMT-0400,301.95,301.95,301.74,301.74,301.74,0
2021-09-03-05-40-00 GMT-0400,301.74,301.97,301.74,301.97,301.97,0
2021-09-03-05-42-00 GMT-0400,301.95,301.95,301.94,301.94,301.94,0
2021-09-03-05-44-00 GMT-0400,301.94,301.94,301.94,301.94,301.94,0
2021-09-03-05-46-00 GMT-0400,301.97,301.97,301.94,301.94,301.94,0
2021-09-03-05-50-00 GMT-0400,301.9,301.94,301.9,301.94,301.94,0
2021-09-03-05-52-00 GMT-0400,301.93,301.93,301.93,301.93,301.93,0
2021-09-03-05-54-00 GMT-0400,301.9,301.92,301.9,301.92,301.92,0
2021-09-03-05-56-00 GMT-0400,301.91,301.91,301.91,301.91,301.91,0
2021-09-03-05-58-00 GMT-0400,301.87,301.92,301.87,301.92,301.92,0
2021-09-03-06-02-00 GMT-0400,301.87,301.93,301.87,301.92,301.92,0
2021-09-03-06-04-00 GMT-0400,301.87,301.87,301.86,301.86,301.86,0
2021-09-03-06-06-00 GMT-0400,301.89,301.9,301.89,301.9,301.9,0
2021-09-03-06-08-00 GMT-0400,301.85,301.85,301.8,301.8,301.8,0
2021-09-03-06-10-00 GMT-0400,301.83,301.88,301.8,301.88,301.88,0
2021-09-03-06-12-00 GMT-0400,301.87,301.88,301.87,301.88,301.88,0
2021-09-03-06-14-00 GMT-0400,301.87,301.87,301.87,301.87,301.87,0
2021-09-03-06-20-00 GMT-0400,301.87,301.9,301.87,301.9,301.9,0
2021-09-03-06-28-00 GMT-0400,301.97,301.97,301.97,301.97,301.97,0
2021-09-03-06-32-00 GMT-0400,301.97,301.98,301.9,301.98,301.98,0
2021-09-03-06-34-00 GMT-0400,301.98,301.98,301.98,301.98,301.98,0
2021-09-03-06-50-00 GMT-0400,301.9,301.98,301.9,301.91,301.91,0
2021-09-03-06-56-00 GMT-0400,301.92,301.98,301.9,301.97,301.97,0
2021-09-03-06-58-00 GMT-0400,301.96,301.99,301.91,301.99,301.99,0
2021-09-03-07-00-00 GMT-0400,301.91,302.0,301.81,301.9,301.9,0
2021-09-03-07-02-00 GMT-0400,301.9,301.9,301.85,301.85,301.85,0
2021-09-03-07-04-00 GMT-0400,301.9,301.95,301.9,301.95,301.95,0
2021-09-03-07-06-00 GMT-0400,301.93,301.95,301.86,301.86,301.86,0
2021-09-03-07-08-00 GMT-0400,301.85,301.88,301.85,301.87,301.87,0
2021-09-03-07-10-00 GMT-0400,301.87,301.93,301.85,301.93,301.93,0
2021-09-03-07-12-00 GMT-0400,301.9,301.93,301.85,301.9,301.9,0
2021-09-03-07-14-00 GMT-0400,301.95,301.97,301.91,301.91,301.91,0
2021-09-03-07-16-00 GMT-0400,301.95,301.95,301.9,301.95,301.95,0
2021-09-03-07-18-00 GMT-0400,301.95,301.96,301.95,301.95,301.95,0
2021-09-03-07-22-00 GMT-0400,301.94,301.97,301.94,301.95,301.95,0
2021-09-03-07-24-00 GMT-0400,301.95,301.97,301.94,301.96,301.96,0
2021-09-03-07-26-00 GMT-0400,301.96,301.97,301.95,301.97,301.97,0
2021-09-03-07-28-00 GMT-0400,301.97,301.97,301.96,301.97,301.97,0
2021-09-03-07-30-00 GMT-0400,301.97,301.97,301.92,301.93,301.93,0
2021-09-03-07-32-00 GMT-0400,301.95,301.97,301.95,301.97,301.97,0
2021-09-03-07-34-00 GMT-0400,301.94,301.99,301.94,301.98,301.98,0
2021-09-03-07-36-00 GMT-0400,301.99,301.99,301.93,301.93,301.93,0
2021-09-03-07-38-00 GMT-0400,301.95,301.95,301.95,301.95,301.95,0
2021-09-03-07-40-00 GMT-0400,301.94,302.0,301.91,301.95,301.95,0
2021-09-03-07-42-00 GMT-0400,301.95,302.0,301.95,301.96,301.96,0
2021-09-03-07-44-00 GMT-0400,302.0,302.0,301.91,301.95,301.95,0
2021-09-03-07-46-00 GMT-0400,301.92,302.0,301.92,301.97,301.97,0
2021-09-03-07-48-00 GMT-0400,301.98,301.99,301.95,301.95,301.95,0
2021-09-03-07-50-00 GMT-0400,301.95,301.99,301.91,301.93,301.93,0
2021-09-03-07-52-00 GMT-0400,301.98,301.98,301.76,301.76,301.76,0
2021-09-03-07-54-00 GMT-0400,301.875,301.875,301.72,301.78,301.78,0
2021-09-03-07-56-00 GMT-0400,301.76,301.76,301.66,301.66,301.66,0
2021-09-03-07-58-00 GMT-0400,301.67,301.67,301.65,301.67,301.67,0
2021-09-03-08-00-00 GMT-0400,301.96,302.0,301.51,301.65,301.65,0
2021-09-03-08-02-00 GMT-0400,301.65,301.82,301.65,301.78,301.78,0
2021-09-03-08-04-00 GMT-0400,301.81,301.87,301.77,301.84,301.84,0
2021-09-03-08-06-00 GMT-0400,301.84,301.85,301.82,301.85,301.85,0
2021-09-03-08-08-00 GMT-0400,301.82,301.84,301.75,301.75,301.75,0
2021-09-03-08-10-00 GMT-0400,301.74,301.74,301.61,301.61,301.61,0
2021-09-03-08-12-00 GMT-0400,301.61,301.65,301.55,301.65,301.65,0
2021-09-03-08-14-00 GMT-0400,301.61,301.65,301.61,301.64,301.64,0
2021-09-03-08-16-00 GMT-0400,301.55,301.75,301.55,301.75,301.75,0
2021-09-03-08-18-00 GMT-0400,301.76,301.81,301.65,301.76,301.76,0
2021-09-03-08-20-00 GMT-0400,301.76,301.76,301.7,301.76,301.76,0
2021-09-03-08-22-00 GMT-0400,301.79,301.79,301.7,301.72,301.72,0
2021-09-03-08-24-00 GMT-0400,301.75,301.78,301.71,301.78,301.78,0
2021-09-03-08-26-00 GMT-0400,301.776,301.78,301.71,301.75,301.75,0
2021-09-03-08-28-00 GMT-0400,301.79,301.79,301.74,301.74,301.74,0
2021-09-03-08-30-00 GMT-0400,301.79,302.5,301.74,301.74,301.74,0
2021-09-03-08-32-00 GMT-0400,302.0,302.49,301.98,302.3,302.3,0
2021-09-03-08-34-00 GMT-0400,302.36,302.48,302.22,302.37,302.37,0
2021-09-03-08-36-00 GMT-0400,302.39,302.4,301.85,301.85,301.85,0
2021-09-03-08-38-00 GMT-0400,301.98,301.98,300.52,301.57,301.57,0
2021-09-03-08-40-00 GMT-0400,301.34,301.45,300.42,301.0,301.0,0
2021-09-03-08-42-00 GMT-0400,301.09,301.36,301.0,301.23,301.23,0
2021-09-03-08-44-00 GMT-0400,301.3,301.37,300.72,300.72,300.72,0
2021-09-03-08-46-00 GMT-0400,300.97,301.49,300.83,301.13,301.13,0
2021-09-03-08-48-00 GMT-0400,301.37,301.5,301.0,301.45,301.45,0
2021-09-03-08-50-00 GMT-0400,301.5,301.5,301.33,301.33,301.33,0
2021-09-03-08-52-00 GMT-0400,301.22,301.55,301.2,301.5,301.5,0
2021-09-03-08-54-00 GMT-0400,301.5,301.57,301.4,301.4,301.4,0
2021-09-03-08-56-00 GMT-0400,301.53,302.05,301.52,301.97,301.97,0
2021-09-03-08-58-00 GMT-0400,301.83,302.08,301.6,301.6,301.6,0
2021-09-03-09-00-00 GMT-0400,301.89,301.89,301.35,301.66,301.66,0
2021-09-03-09-02-00 GMT-0400,301.89,301.89,301.5,301.8,301.8,0
2021-09-03-09-04-00 GMT-0400,301.705,301.8,301.5,301.8,301.8,0
2021-09-03-09-06-00 GMT-0400,301.8,301.91,301.55,301.735,301.735,0
2021-09-03-09-08-00 GMT-0400,301.735,301.92,301.55,301.728,301.728,0
2021-09-03-09-10-00 GMT-0400,301.91,301.91,301.5,301.65,301.65,0
2021-09-03-09-12-00 GMT-0400,301.605,301.85,301.51,301.72,301.72,0
2021-09-03-09-14-00 GMT-0400,301.68,301.76,301.5527,301.73,301.73,0
2021-09-03-09-16-00 GMT-0400,301.63,301.74,301.51,301.73,301.73,0
2021-09-03-09-18-00 GMT-0400,301.53,301.73,301.4,301.73,301.73,0
2021-09-03-09-20-00 GMT-0400,301.73,301.73,301.0,301.01,301.01,0
2021-09-03-09-22-00 GMT-0400,301.0,301.62,300.26,301.01,301.01,0
2021-09-03-09-24-00 GMT-0400,301.01,301.97,300.76,301.495,301.495,0
2021-09-03-09-26-00 GMT-0400,301.31,301.6,301.15,301.3,301.3,0
2021-09-03-09-28-00 GMT-0400,301.15,301.16,301.0,301.0,301.0,0
2021-09-03-09-30-00 GMT-0400,300.989990234375,301.8500061035156,300.8900146484375,301.1000061035156,301.1000061035156,1243473
2021-09-03-09-32-00 GMT-0400,301.04998779296875,301.45001220703125,300.8999938964844,300.9549865722656,300.9549865722656,134500
2021-09-03-09-34-00 GMT-0400,301.0,301.0,300.5400085449219,300.5400085449219,300.5400085449219,124450
2021-09-03-09-36-00 GMT-0400,300.6799011230469,300.7799987792969,300.3949890136719,300.45001220703125,300.45001220703125,87108
2021-09-03-09-38-00 GMT-0400,300.6099853515625,300.8500061035156,300.5,300.739990234375,300.739990234375,99641
2021-09-03-09-40-00 GMT-0400,300.67999267578125,301.0899963378906,300.6499938964844,301.0199890136719,301.0199890136719,104476
2021-09-03-09-42-00 GMT-0400,300.92999267578125,301.1427001953125,300.5899963378906,300.6199951171875,300.6199951171875,112607
2021-09-03-09-44-00 GMT-0400,300.625,300.80999755859375,300.5400085449219,300.7699890136719,300.7699890136719,94630
2021-09-03-09-46-00 GMT-0400,300.67999267578125,300.67999267578125,300.3299865722656,300.3500061035156,300.3500061035156,100506
2021-09-03-09-48-00 GMT-0400,300.5,300.54998779296875,300.3999938964844,300.5314025878906,300.5314025878906,84219
2021-09-03-09-50-00 GMT-0400,300.5,300.57000732421875,300.360107421875,300.4700012207031,300.4700012207031,81509
2021-09-03-09-52-00 GMT-0400,300.42999267578125,300.44000244140625,300.2699890136719,300.32000732421875,300.32000732421875,81950
2021-09-03-09-54-00 GMT-0400,300.5,300.57501220703125,300.3999938964844,300.45001220703125,300.45001220703125,92099
2021-09-03-09-56-00 GMT-0400,300.45330810546875,301.2099914550781,300.44000244140625,301.1400146484375,301.1400146484375,112584
2021-09-03-09-58-00 GMT-0400,301.25,301.6935119628906,301.2200012207031,301.6935119628906,301.6935119628906,112612
2021-09-03-10-00-00 GMT-0400,301.70001220703125,302.0,301.5799865722656,301.81500244140625,301.81500244140625,134040
2021-09-03-10-02-00 GMT-0400,301.79998779296875,302.4200134277344,301.75,302.2300109863281,302.2300109863281,171116
2021-09-03-10-04-00 GMT-0400,302.2300109863281,302.3900146484375,301.9901123046875,302.07989501953125,302.07989501953125,129967
2021-09-03-10-06-00 GMT-0400,302.04998779296875,302.1300048828125,301.9200134277344,302.0199890136719,302.0199890136719,70549
2021-09-03-10-08-00 GMT-0400,302.0299987792969,302.1400146484375,301.9200134277344,301.9800109863281,301.9800109863281,56142
2021-09-03-10-10-00 GMT-0400,301.9800109863281,301.9800109863281,301.6199951171875,301.6650085449219,301.6650085449219,91487
2021-09-03-10-12-00 GMT-0400,301.66448974609375,301.8399963378906,301.5899963378906,301.7200012207031,301.7200012207031,64956
2021-09-03-10-14-00 GMT-0400,301.7200012207031,301.72900390625,301.4599914550781,301.4800109863281,301.4800109863281,60061
2021-09-03-10-16-00 GMT-0400,301.4861145019531,301.69000244140625,301.42999267578125,301.5150146484375,301.5150146484375,45738
2021-09-03-10-18-00 GMT-0400,301.5,301.6000061035156,301.3432922363281,301.3500061035156,301.3500061035156,49020
2021-09-03-10-20-00 GMT-0400,301.3500061035156,301.4100036621094,301.20001220703125,301.2799987792969,301.2799987792969,75027
2021-09-03-10-22-00 GMT-0400,301.260009765625,301.6400146484375,301.260009765625,301.6000061035156,301.6000061035156,59876
2021-09-03-10-24-00 GMT-0400,301.5799865722656,301.639892578125,301.4700012207031,301.625,301.625,33907
2021-09-03-10-26-00 GMT-0400,301.6199951171875,301.7900085449219,301.5799865722656,301.6698913574219,301.6698913574219,66310
2021-09-03-10-28-00 GMT-0400,301.6700134277344,301.6700134277344,301.4100036621094,301.5138854980469,301.5138854980469,76820
2021-09-03-10-30-00 GMT-0400,301.510009765625,301.8399963378906,301.45001220703125,301.8299865722656,301.8299865722656,49657
2021-09-03-10-32-00 GMT-0400,301.8299865722656,301.94000244140625,301.6700134277344,301.7900085449219,301.7900085449219,57008
2021-09-03-10-34-00 GMT-0400,301.7300109863281,301.8800048828125,301.69171142578125,301.8800048828125,301.8800048828125,53561
2021-09-03-10-36-00 GMT-0400,301.8800048828125,301.8800048828125,301.44000244140625,301.5199890136719,301.5199890136719,60910
2021-09-03-10-38-00 GMT-0400,301.5299987792969,301.6000061035156,301.3399963378906,301.3699951171875,301.3699951171875,84986
2021-09-03-10-40-00 GMT-0400,301.364990234375,301.44000244140625,301.2934875488281,301.4100036621094,301.4100036621094,56296
2021-09-03-10-42-00 GMT-0400,301.3999938964844,301.5899963378906,301.3450012207031,301.5704040527344,301.5704040527344,55616
2021-09-03-10-44-00 GMT-0400,301.57000732421875,301.70489501953125,301.42999267578125,301.5199890136719,301.5199890136719,58773
2021-09-03-10-46-00 GMT-0400,301.510009765625,301.70989990234375,301.45001220703125,301.6700134277344,301.6700134277344,30293
2021-09-03-10-48-00 GMT-0400,301.67999267578125,301.81829833984375,301.6400146484375,301.7041015625,301.7041015625,44368
2021-09-03-10-50-00 GMT-0400,301.67999267578125,301.7099914550781,301.3999938964844,301.5085144042969,301.5085144042969,71252
2021-09-03-10-52-00 GMT-0400,301.510009765625,301.6099853515625,301.4800109863281,301.55999755859375,301.55999755859375,43822
2021-09-03-10-54-00 GMT-0400,301.6099853515625,301.67999267578125,301.5400085449219,301.6199951171875,301.6199951171875,55544
2021-09-03-10-56-00 GMT-0400,301.6400146484375,301.8299865722656,301.6400146484375,301.80999755859375,301.80999755859375,46715
2021-09-03-10-58-00 GMT-0400,301.80499267578125,301.8900146484375,301.7300109863281,301.760009765625,301.760009765625,43299
2021-09-03-11-00-00 GMT-0400,301.7699890136719,301.7699890136719,301.510009765625,301.6340026855469,301.6340026855469,44494
2021-09-03-11-02-00 GMT-0400,301.6300048828125,301.7300109863281,301.55999755859375,301.55999755859375,301.55999755859375,30672
2021-09-03-11-04-00 GMT-0400,301.5799865722656,301.8800048828125,301.5765075683594,301.8399963378906,301.8399963378906,43832
2021-09-03-11-06-00 GMT-0400,301.8699951171875,302.04998779296875,301.8599853515625,302.0150146484375,302.0150146484375,62118
2021-09-03-11-08-00 GMT-0400,302.0736999511719,302.0899963378906,301.9200134277344,302.010009765625,302.010009765625,41363
2021-09-03-11-10-00 GMT-0400,302.010009765625,302.1700134277344,301.9800109863281,302.1600036621094,302.1600036621094,37545
2021-09-03-11-12-00 GMT-0400,302.17498779296875,302.29998779296875,302.1700134277344,302.2099914550781,302.2099914550781,62877
2021-09-03-11-14-00 GMT-0400,302.2099914550781,302.3299865722656,302.19000244140625,302.3299865722656,302.3299865722656,46455
2021-09-03-11-16-00 GMT-0400,302.30999755859375,302.44000244140625,302.239990234375,302.2698974609375,302.2698974609375,69754
2021-09-03-11-18-00 GMT-0400,302.2650146484375,302.2900085449219,302.1700134277344,302.2799987792969,302.2799987792969,56813
2021-09-03-11-20-00 GMT-0400,302.2699890136719,302.5199890136719,302.17999267578125,302.5199890136719,302.5199890136719,76683
2021-09-03-11-22-00 GMT-0400,302.55999755859375,302.5899963378906,302.43121337890625,302.43121337890625,302.43121337890625,41742
2021-09-03-11-24-00 GMT-0400,302.42999267578125,302.5325012207031,302.3699951171875,302.510009765625,302.510009765625,49777
2021-09-03-11-26-00 GMT-0400,302.5,302.6000061035156,302.4599914550781,302.4599914550781,302.4599914550781,37557
2021-09-03-11-28-00 GMT-0400,302.43011474609375,302.45001220703125,302.239990234375,302.27978515625,302.27978515625,48855
2021-09-03-11-30-00 GMT-0400,302.2699890136719,302.29998779296875,302.0799865722656,302.2777099609375,302.2777099609375,76802
2021-09-03-11-32-00 GMT-0400,302.2799987792969,302.3500061035156,302.239990234375,302.32830810546875,302.32830810546875,36553
2021-09-03-11-34-00 GMT-0400,302.3399963378906,302.3699951171875,302.20001220703125,302.30999755859375,302.30999755859375,31440
2021-09-03-11-36-00 GMT-0400,302.3299865722656,302.33819580078125,302.2699890136719,302.2699890136719,302.2699890136719,26017
2021-09-03-11-38-00 GMT-0400,302.2799987792969,302.3901062011719,302.20001220703125,302.260009765625,302.260009765625,38569
2021-09-03-11-40-00 GMT-0400,302.239990234375,302.3699951171875,302.2300109863281,302.29998779296875,302.29998779296875,29268
2021-09-03-11-42-00 GMT-0400,302.2900085449219,302.3399963378906,302.2250061035156,302.2297058105469,302.2297058105469,20962
