Datetime,Open,High,Low,Close,Adj Close,Volume
2022-02-24-04-01-00 GMT-0500,53.0,53.12,53.0,53.0,53.0,0
2022-02-24-04-02-00 GMT-0500,53.0,53.0,53.0,53.0,53.0,0
2022-02-24-04-05-00 GMT-0500,53.0,53.01,53.0,53.01,53.01,0
2022-02-24-04-15-00 GMT-0500,52.95,52.96,52.95,52.96,52.96,0
2022-02-24-04-16-00 GMT-0500,52.96,52.96,52.96,52.96,52.96,0
2022-02-24-04-17-00 GMT-0500,52.66,52.66,52.66,52.66,52.66,0
2022-02-24-04-22-00 GMT-0500,52.97,52.97,52.97,52.97,52.97,0
2022-02-24-04-24-00 GMT-0500,53.0,53.04,53.0,53.0,53.0,0
2022-02-24-04-26-00 GMT-0500,53.05,53.05,53.05,53.05,53.05,0
2022-02-24-04-30-00 GMT-0500,52.95,52.95,52.92,52.92,52.92,0
2022-02-24-04-33-00 GMT-0500,52.96,52.96,52.92,52.92,52.92,0
2022-02-24-04-34-00 GMT-0500,52.92,52.92,52.92,52.92,52.92,0
2022-02-24-04-36-00 GMT-0500,52.92,52.93,52.92,52.93,52.93,0
2022-02-24-04-39-00 GMT-0500,52.9,52.9,52.9,52.9,52.9,0
2022-02-24-04-41-00 GMT-0500,52.87,52.87,52.87,52.87,52.87,0
2022-02-24-04-42-00 GMT-0500,52.86,52.86,52.86,52.86,52.86,0
2022-02-24-04-43-00 GMT-0500,52.92,52.96,52.92,52.96,52.96,0
2022-02-24-04-50-00 GMT-0500,52.9,52.9,52.88,52.88,52.88,0
2022-02-24-04-51-00 GMT-0500,52.92,52.94,52.88,52.94,52.94,0
2022-02-24-04-53-00 GMT-0500,52.88,52.88,52.88,52.88,52.88,0
2022-02-24-04-56-00 GMT-0500,52.8,52.8,52.8,52.8,52.8,0
2022-02-24-04-58-00 GMT-0500,52.83,52.94,52.68,52.94,52.94,0
2022-02-24-05-01-00 GMT-0500,52.94,52.94,52.94,52.94,52.94,0
2022-02-24-05-05-00 GMT-0500,52.93,52.93,52.93,52.93,52.93,0
2022-02-24-05-06-00 GMT-0500,52.86,52.86,52.85,52.86,52.86,0
2022-02-24-05-12-00 GMT-0500,52.86,52.86,52.66,52.76,52.76,0
2022-02-24-05-13-00 GMT-0500,52.76,52.8,52.76,52.8,52.8,0
2022-02-24-05-14-00 GMT-0500,52.76,52.76,52.76,52.76,52.76,0
2022-02-24-05-19-00 GMT-0500,52.82,52.82,52.82,52.82,52.82,0
2022-02-24-05-24-00 GMT-0500,52.8,52.9,52.8,52.9,52.9,0
2022-02-24-05-33-00 GMT-0500,52.9,52.94,52.9,52.94,52.94,0
2022-02-24-05-34-00 GMT-0500,52.85,52.94,52.85,52.93,52.93,0
2022-02-24-05-37-00 GMT-0500,52.93,52.93,52.88,52.88,52.88,0
2022-02-24-05-45-00 GMT-0500,52.8,52.9,52.6,52.9,52.9,0
2022-02-24-05-49-00 GMT-0500,52.89,52.89,52.89,52.89,52.89,0
2022-02-24-06-10-00 GMT-0500,52.88,52.88,52.77,52.77,52.77,0
2022-02-24-06-12-00 GMT-0500,52.79,52.8,52.79,52.8,52.8,0
2022-02-24-06-18-00 GMT-0500,52.76,52.8,52.76,52.78,52.78,0
2022-02-24-06-22-00 GMT-0500,52.89,52.89,52.78,52.78,52.78,0
2022-02-24-06-30-00 GMT-0500,52.89,52.89,52.87,52.87,52.87,0
2022-02-24-06-33-00 GMT-0500,52.75,52.75,52.7,52.7,52.7,0
2022-02-24-06-34-00 GMT-0500,52.7,52.7,52.7,52.7,52.7,0
2022-02-24-06-38-00 GMT-0500,52.61,52.61,52.61,52.61,52.61,0
2022-02-24-06-39-00 GMT-0500,52.7,52.7,52.61,52.65,52.65,0
2022-02-24-06-42-00 GMT-0500,52.65,52.65,52.65,52.65,52.65,0
2022-02-24-06-43-00 GMT-0500,52.71,52.71,52.71,52.71,52.71,0
2022-02-24-06-44-00 GMT-0500,52.73,52.76,52.71,52.76,52.76,0
2022-02-24-06-48-00 GMT-0500,52.77,52.77,52.77,52.77,52.77,0
2022-02-24-06-52-00 GMT-0500,52.78,52.78,52.55,52.6,52.6,0
2022-02-24-06-53-00 GMT-0500,52.78,52.78,52.78,52.78,52.78,0
2022-02-24-06-54-00 GMT-0500,52.79,52.79,52.79,52.79,52.79,0
2022-02-24-06-56-00 GMT-0500,52.8,52.83,52.79,52.83,52.83,0
2022-02-24-06-59-00 GMT-0500,52.81,52.81,52.81,52.81,52.81,0
2022-02-24-07-00-00 GMT-0500,52.83,52.86,52.23,52.76,52.76,0
2022-02-24-07-03-00 GMT-0500,52.76,52.79,52.76,52.79,52.79,0
2022-02-24-07-04-00 GMT-0500,52.79,52.8,52.76,52.76,52.76,0
2022-02-24-07-06-00 GMT-0500,52.73,52.78,52.71,52.78,52.78,0
2022-02-24-07-07-00 GMT-0500,52.77,52.77,52.68,52.7,52.7,0
2022-02-24-07-08-00 GMT-0500,52.7,52.71,52.7,52.71,52.71,0
2022-02-24-07-09-00 GMT-0500,52.67,52.67,52.67,52.67,52.67,0
2022-02-24-07-10-00 GMT-0500,52.75,52.75,52.67,52.75,52.75,0
2022-02-24-07-11-00 GMT-0500,52.68,52.77,52.65,52.65,52.65,0
2022-02-24-07-13-00 GMT-0500,52.71,52.71,52.68,52.71,52.71,0
2022-02-24-07-15-00 GMT-0500,52.74,52.75,52.74,52.75,52.75,0
2022-02-24-07-16-00 GMT-0500,52.71,52.71,52.67,52.67,52.67,0
2022-02-24-07-18-00 GMT-0500,52.7,52.71,52.67,52.71,52.71,0
2022-02-24-07-19-00 GMT-0500,52.69,52.7,52.69,52.7,52.7,0
2022-02-24-07-21-00 GMT-0500,52.7,52.71,52.7,52.7,52.7,0
2022-02-24-07-22-00 GMT-0500,52.7,52.72,52.7,52.7,52.7,0
2022-02-24-07-23-00 GMT-0500,52.7,52.7,52.69,52.69,52.69,0
2022-02-24-07-26-00 GMT-0500,52.72,52.74,52.72,52.74,52.74,0
2022-02-24-07-28-00 GMT-0500,52.74,52.74,52.74,52.74,52.74,0
2022-02-24-07-30-00 GMT-0500,52.74,52.75,52.73,52.75,52.75,0
2022-02-24-07-31-00 GMT-0500,52.75,52.75,52.75,52.75,52.75,0
2022-02-24-07-32-00 GMT-0500,52.73,52.73,52.7,52.7,52.7,0
