Datetime,Open,High,Low,Close,Adj Close,Volume
2022-02-07-04-00-00 GMT-0500,227.5,228.19,227.5,228.01,228.01,0
2022-02-07-04-02-00 GMT-0500,227.97,228.01,227.62,227.62,227.62,0
2022-02-07-04-06-00 GMT-0500,227.61,227.65,227.0,227.49,227.49,0
2022-02-07-04-12-00 GMT-0500,227.0,227.0,227.0,227.0,227.0,0
2022-02-07-04-20-00 GMT-0500,227.0,227.0,226.7,226.92,226.92,0
2022-02-07-04-30-00 GMT-0500,226.92,226.99,226.9,226.99,226.99,0
2022-02-07-04-36-00 GMT-0500,226.84,226.84,226.84,226.84,226.84,0
2022-02-07-04-42-00 GMT-0500,226.9,226.9,226.9,226.9,226.9,0
2022-02-07-04-48-00 GMT-0500,226.42,226.42,226.02,226.02,226.02,0
2022-02-07-04-50-00 GMT-0500,226.7,226.7,226.7,226.7,226.7,0
2022-02-07-05-10-00 GMT-0500,226.73,226.73,226.73,226.73,226.73,0
2022-02-07-05-14-00 GMT-0500,226.97,226.99,226.7,226.99,226.99,0
2022-02-07-05-30-00 GMT-0500,227.0,227.01,226.84,226.84,226.84,0
2022-02-07-05-32-00 GMT-0500,227.01,227.01,226.96,226.96,226.96,0
2022-02-07-05-34-00 GMT-0500,226.77,226.77,226.71,226.75,226.75,0
2022-02-07-05-36-00 GMT-0500,226.98,227.3,226.8,227.0,227.0,0
2022-02-07-05-46-00 GMT-0500,227.01,227.01,227.01,227.01,227.01,0
2022-02-07-05-48-00 GMT-0500,227.35,227.49,227.35,227.49,227.49,0
2022-02-07-06-12-00 GMT-0500,227.49,227.49,227.49,227.49,227.49,0
2022-02-07-06-14-00 GMT-0500,227.25,227.25,227.25,227.25,227.25,0
2022-02-07-06-24-00 GMT-0500,227.1,227.1,227.0,227.0,227.0,0
2022-02-07-06-26-00 GMT-0500,227.2,227.2,227.2,227.2,227.2,0
2022-02-07-06-34-00 GMT-0500,227.1,227.5,227.1,227.5,227.5,0
2022-02-07-06-46-00 GMT-0500,227.24,227.24,227.24,227.24,227.24,0
2022-02-07-06-50-00 GMT-0500,227.37,227.5,227.37,227.5,227.5,0
2022-02-07-06-52-00 GMT-0500,227.5,227.5,227.5,227.5,227.5,0
2022-02-07-06-58-00 GMT-0500,227.75,227.75,227.67,227.73,227.73,0
2022-02-07-07-00-00 GMT-0500,227.83,228.21,227.69,227.69,227.69,0
2022-02-07-07-04-00 GMT-0500,228.28,228.28,228.0,228.0,228.0,0
2022-02-07-07-08-00 GMT-0500,228.14,228.3,228.14,228.3,228.3,0
2022-02-07-07-16-00 GMT-0500,228.29,228.3,228.29,228.3,228.3,0
2022-02-07-07-20-00 GMT-0500,227.99,228.3,227.99,228.3,228.3,0
2022-02-07-07-26-00 GMT-0500,227.84,228.1,227.84,228.1,228.1,0
2022-02-07-07-28-00 GMT-0500,228.29,228.29,228.29,228.29,228.29,0
2022-02-07-07-32-00 GMT-0500,227.83,228.29,227.83,228.29,228.29,0
2022-02-07-07-34-00 GMT-0500,228.29,228.39,228.29,228.39,228.39,0
