Datetime,Open,High,Low,Close,Adj Close,Volume
2021-09-14-04-00-00 GMT-0400,149.45,150.32,149.45,149.74,149.74,0
2021-09-14-04-01-00 GMT-0400,149.85,149.94,149.83,149.94,149.94,0
2021-09-14-04-02-00 GMT-0400,149.94,149.98,149.87,149.87,149.87,0
2021-09-14-04-03-00 GMT-0400,149.9,149.98,149.88,149.94,149.94,0
2021-09-14-04-04-00 GMT-0400,149.91,149.94,149.86,149.9,149.9,0
2021-09-14-04-05-00 GMT-0400,149.87,149.88,149.84,149.84,149.84,0
2021-09-14-04-06-00 GMT-0400,149.84,149.84,149.8,149.81,149.81,0
2021-09-14-04-07-00 GMT-0400,149.81,149.81,149.63,149.69,149.69,0
2021-09-14-04-08-00 GMT-0400,149.69,149.69,149.55,149.66,149.66,0
2021-09-14-04-09-00 GMT-0400,149.66,149.68,149.55,149.56,149.56,0
2021-09-14-04-10-00 GMT-0400,149.6,149.69,149.6,149.69,149.69,0
2021-09-14-04-11-00 GMT-0400,149.6,149.68,149.56,149.62,149.62,0
2021-09-14-04-12-00 GMT-0400,149.61,149.69,149.61,149.62,149.62,0
2021-09-14-04-13-00 GMT-0400,149.69,149.69,149.63,149.69,149.69,0
2021-09-14-04-14-00 GMT-0400,149.7,149.77,149.62,149.62,149.62,0
2021-09-14-04-15-00 GMT-0400,149.69,149.69,149.69,149.69,149.69,0
2021-09-14-04-16-00 GMT-0400,149.69,149.71,149.67,149.68,149.68,0
2021-09-14-04-17-00 GMT-0400,149.68,149.69,149.65,149.67,149.67,0
2021-09-14-04-18-00 GMT-0400,149.67,149.69,149.6,149.69,149.69,0
2021-09-14-04-19-00 GMT-0400,149.67,149.68,149.64,149.64,149.64,0
2021-09-14-04-20-00 GMT-0400,149.65,149.66,149.63,149.66,149.66,0
2021-09-14-04-21-00 GMT-0400,149.64,149.68,149.63,149.63,149.63,0
2021-09-14-04-22-00 GMT-0400,149.68,149.68,149.66,149.66,149.66,0
2021-09-14-04-23-00 GMT-0400,149.66,149.68,149.66,149.67,149.67,0
2021-09-14-04-26-00 GMT-0400,149.65,149.67,149.65,149.65,149.65,0
2021-09-14-04-27-00 GMT-0400,149.66,149.69,149.65,149.69,149.69,0
2021-09-14-04-28-00 GMT-0400,149.7,149.71,149.66,149.7,149.7,0
2021-09-14-04-29-00 GMT-0400,149.68,149.73,149.67,149.73,149.73,0
2021-09-14-04-30-00 GMT-0400,149.73,149.78,149.73,149.78,149.78,0
2021-09-14-04-31-00 GMT-0400,149.82,149.84,149.81,149.83,149.83,0
2021-09-14-04-32-00 GMT-0400,149.83,149.83,149.82,149.83,149.83,0
2021-09-14-04-33-00 GMT-0400,149.82,149.84,149.81,149.84,149.84,0
2021-09-14-04-34-00 GMT-0400,149.84,149.94,149.84,149.94,149.94,0
2021-09-14-04-35-00 GMT-0400,149.94,149.94,149.85,149.85,149.85,0
2021-09-14-04-36-00 GMT-0400,149.85,149.94,149.85,149.94,149.94,0
2021-09-14-04-37-00 GMT-0400,149.93,149.93,149.85,149.9,149.9,0
2021-09-14-04-38-00 GMT-0400,149.87,149.87,149.86,149.86,149.86,0
2021-09-14-04-39-00 GMT-0400,149.93,149.93,149.8,149.8,149.8,0
2021-09-14-04-40-00 GMT-0400,149.8,149.93,149.8,149.93,149.93,0
2021-09-14-04-41-00 GMT-0400,149.93,150.0,149.9,150.0,150.0,0
2021-09-14-04-42-00 GMT-0400,149.99,150.04,149.96,149.97,149.97,0
2021-09-14-04-43-00 GMT-0400,150.04,150.04,150.03,150.03,150.03,0
2021-09-14-04-44-00 GMT-0400,150.0,150.0,149.96,149.99,149.99,0
2021-09-14-04-45-00 GMT-0400,149.97,149.99,149.96,149.99,149.99,0
2021-09-14-04-46-00 GMT-0400,149.99,150.01,149.99,150.01,150.01,0
2021-09-14-04-47-00 GMT-0400,150.02,150.02,149.96,149.99,149.99,0
2021-09-14-04-48-00 GMT-0400,149.99,149.99,149.96,149.96,149.96,0
