Datetime,Open,High,Low,Close,Adj Close,Volume
2022-09-26-04-00-00 GMT-0400,113.73,113.86,111.11,113.33,113.33,0
2022-09-26-04-02-00 GMT-0400,113.3,113.78,113.02,113.26,113.26,0
2022-09-26-04-04-00 GMT-0400,113.26,113.43,113.17,113.3,113.3,0
2022-09-26-04-06-00 GMT-0400,113.29,113.49,113.27,113.3,113.3,0
2022-09-26-04-08-00 GMT-0400,113.37,113.5,113.3,113.42,113.42,0
2022-09-26-04-10-00 GMT-0400,113.27,113.42,113.27,113.42,113.42,0
2022-09-26-04-12-00 GMT-0400,113.43,113.47,113.27,113.39,113.39,0
2022-09-26-04-14-00 GMT-0400,113.39,113.44,113.31,113.34,113.34,0
2022-09-26-04-16-00 GMT-0400,113.35,113.5,113.35,113.5,113.5,0
2022-09-26-04-18-00 GMT-0400,113.48,113.54,113.31,113.41,113.41,0
2022-09-26-04-20-00 GMT-0400,113.4,113.56,113.39,113.56,113.56,0
2022-09-26-04-22-00 GMT-0400,113.56,113.75,113.55,113.75,113.75,0
2022-09-26-04-24-00 GMT-0400,113.76,113.86,113.76,113.86,113.86,0
2022-09-26-04-26-00 GMT-0400,113.84,113.85,113.82,113.85,113.85,0
2022-09-26-04-28-00 GMT-0400,113.83,113.91,113.79,113.88,113.88,0
2022-09-26-04-30-00 GMT-0400,113.78,113.92,113.77,113.9,113.9,0
2022-09-26-04-32-00 GMT-0400,113.9,113.9,113.89,113.89,113.89,0
2022-09-26-04-34-00 GMT-0400,113.78,113.88,113.78,113.81,113.81,0
2022-09-26-04-36-00 GMT-0400,113.8,113.8,113.69,113.69,113.69,0
2022-09-26-04-38-00 GMT-0400,113.65,113.78,113.61,113.76,113.76,0
2022-09-26-04-40-00 GMT-0400,113.62,113.64,113.62,113.62,113.62,0
2022-09-26-04-42-00 GMT-0400,113.62,113.64,113.58,113.59,113.59,0
2022-09-26-04-44-00 GMT-0400,113.61,113.79,113.61,113.79,113.79,0
2022-09-26-04-46-00 GMT-0400,113.79,113.79,113.59,113.59,113.59,0
2022-09-26-04-48-00 GMT-0400,113.61,113.61,113.6,113.6,113.6,0
2022-09-26-04-50-00 GMT-0400,113.62,113.79,113.62,113.79,113.79,0
2022-09-26-04-52-00 GMT-0400,113.77,113.77,113.76,113.76,113.76,0
2022-09-26-04-54-00 GMT-0400,113.75,113.75,113.64,113.7,113.7,0
2022-09-26-04-56-00 GMT-0400,113.73,113.87,113.7,113.87,113.87,0
2022-09-26-04-58-00 GMT-0400,113.86,113.87,113.78,113.83,113.83,0
2022-09-26-05-00-00 GMT-0400,113.86,113.88,113.81,113.86,113.86,0
2022-09-26-05-02-00 GMT-0400,113.86,113.87,113.86,113.87,113.87,0
2022-09-26-05-04-00 GMT-0400,113.85,113.86,113.78,113.78,113.78,0
2022-09-26-05-06-00 GMT-0400,113.82,113.82,113.65,113.7,113.7,0
2022-09-26-05-08-00 GMT-0400,113.66,113.79,113.66,113.7,113.7,0
