Datetime,Open,High,Low,Close,Adj Close,Volume
2022-08-11-04-00-00 GMT-0400,93.78,93.78,92.93,93.49,93.49,0
2022-08-11-04-01-00 GMT-0400,93.5,93.5,93.29,93.4,93.4,0
2022-08-11-04-02-00 GMT-0400,93.39,93.46,93.36,93.37,93.37,0
2022-08-11-04-03-00 GMT-0400,93.37,93.4,93.35,93.37,93.37,0
2022-08-11-04-04-00 GMT-0400,93.37,93.38,93.31,93.33,93.33,0
2022-08-11-04-05-00 GMT-0400,93.32,93.4,93.32,93.37,93.37,0
2022-08-11-04-06-00 GMT-0400,93.39,93.49,93.36,93.47,93.47,0
2022-08-11-04-07-00 GMT-0400,93.5,93.5,93.4,93.4,93.4,0
2022-08-11-04-08-00 GMT-0400,93.34,93.38,93.34,93.38,93.38,0
2022-08-11-04-09-00 GMT-0400,93.35,93.39,93.35,93.39,93.39,0
2022-08-11-04-10-00 GMT-0400,93.4,93.4,93.4,93.4,93.4,0
2022-08-11-04-11-00 GMT-0400,93.37,93.4,93.37,93.39,93.39,0
2022-08-11-04-12-00 GMT-0400,93.44,93.57,93.43,93.45,93.45,0
2022-08-11-04-13-00 GMT-0400,93.57,93.6,93.51,93.59,93.59,0
2022-08-11-04-14-00 GMT-0400,93.59,93.6,93.51,93.59,93.59,0
2022-08-11-04-15-00 GMT-0400,93.58,93.6,93.51,93.6,93.6,0
2022-08-11-04-16-00 GMT-0400,93.6,93.6,93.58,93.59,93.59,0
2022-08-11-04-17-00 GMT-0400,93.56,93.68,93.56,93.66,93.66,0
2022-08-11-04-18-00 GMT-0400,93.66,93.7,93.53,93.6,93.6,0
2022-08-11-04-19-00 GMT-0400,93.53,93.6,93.53,93.58,93.58,0
2022-08-11-04-20-00 GMT-0400,93.55,93.55,93.5,93.5,93.5,0
2022-08-11-04-21-00 GMT-0400,93.51,93.55,93.41,93.55,93.55,0
2022-08-11-04-22-00 GMT-0400,93.45,93.5,93.4,93.45,93.45,0
2022-08-11-04-23-00 GMT-0400,93.5,93.6,93.49,93.55,93.55,0
2022-08-11-04-24-00 GMT-0400,93.5,93.51,93.45,93.47,93.47,0
2022-08-11-04-25-00 GMT-0400,93.47,93.52,93.47,93.52,93.52,0
2022-08-11-04-27-00 GMT-0400,93.48,93.5,93.48,93.5,93.5,0
2022-08-11-04-28-00 GMT-0400,93.5,93.52,93.5,93.52,93.52,0
2022-08-11-04-29-00 GMT-0400,93.45,93.45,93.43,93.43,93.43,0
2022-08-11-04-30-00 GMT-0400,93.41,93.41,93.4,93.4,93.4,0
2022-08-11-04-31-00 GMT-0400,93.45,93.5,93.45,93.45,93.45,0
2022-08-11-04-32-00 GMT-0400,93.52,93.54,93.52,93.54,93.54,0
2022-08-11-04-34-00 GMT-0400,93.52,93.55,93.52,93.55,93.55,0
2022-08-11-04-35-00 GMT-0400,93.56,93.56,93.55,93.55,93.55,0
2022-08-11-04-36-00 GMT-0400,93.57,93.6,93.53,93.53,93.53,0
2022-08-11-04-38-00 GMT-0400,93.54,93.57,93.54,93.54,93.54,0
2022-08-11-04-39-00 GMT-0400,93.55,93.55,93.53,93.54,93.54,0
2022-08-11-04-41-00 GMT-0400,93.55,93.62,93.55,93.6,93.6,0
