Datetime,Open,High,Low,Close,Adj Close,Volume
2022-12-27 04:00:00-05:00,23.37,23.8,23.37,23.8,23.8,0
2022-12-27 04:02:00-05:00,23.79,23.8,23.71,23.8,23.8,0
2022-12-27 04:04:00-05:00,23.8,23.8,23.71,23.75,23.75,0
2022-12-27 04:06:00-05:00,23.77,23.85,23.77,23.85,23.85,0
2022-12-27 04:08:00-05:00,23.86,23.86,23.77,23.77,23.77,0
2022-12-27 04:10:00-05:00,23.77,23.77,23.7,23.71,23.71,0
2022-12-27 04:14:00-05:00,23.73,23.83,23.73,23.83,23.83,0
2022-12-27 04:16:00-05:00,23.83,23.83,23.78,23.8,23.8,0
2022-12-27 04:20:00-05:00,23.8,23.8,23.78,23.79,23.79,0
2022-12-27 04:28:00-05:00,23.85,23.85,23.84,23.85,23.85,0
2022-12-27 04:30:00-05:00,23.84,23.84,23.8,23.8,23.8,0
2022-12-27 04:32:00-05:00,23.82,23.89,23.82,23.89,23.89,0
2022-12-27 04:34:00-05:00,23.87,23.95,23.87,23.92,23.92,0
2022-12-27 04:36:00-05:00,23.92,23.92,23.9,23.9,23.9,0
2022-12-27 04:40:00-05:00,23.9,23.93,23.9,23.93,23.93,0
2022-12-27 04:42:00-05:00,23.94,23.98,23.94,23.97,23.97,0
2022-12-27 04:44:00-05:00,23.97,24.05,23.96,24.0,24.0,0
2022-12-27 04:46:00-05:00,24.07,24.08,24.0,24.0,24.0,0
2022-12-27 04:48:00-05:00,24.02,24.04,24.0,24.04,24.04,0
2022-12-27 04:50:00-05:00,24.02,24.09,24.02,24.08,24.08,0
2022-12-27 04:52:00-05:00,24.09,24.09,24.06,24.06,24.06,0
2022-12-27 04:54:00-05:00,24.09,24.09,24.06,24.09,24.09,0
2022-12-27 04:56:00-05:00,24.05,24.05,24.0,24.0,24.0,0
2022-12-27 04:58:00-05:00,24.05,24.08,24.05,24.08,24.08,0
2022-12-27 05:02:00-05:00,24.07,24.07,24.07,24.07,24.07,0
2022-12-27 05:04:00-05:00,24.03,24.03,23.99,23.99,23.99,0
2022-12-27 05:06:00-05:00,24.0,24.0,23.91,23.91,23.91,0
2022-12-27 05:12:00-05:00,23.92,23.93,23.9,23.93,23.93,0
2022-12-27 05:14:00-05:00,23.93,23.95,23.91,23.95,23.95,0
2022-12-27 05:16:00-05:00,23.91,23.91,23.91,23.91,23.91,0
2022-12-27 05:20:00-05:00,23.97,23.97,23.93,23.93,23.93,0
2022-12-27 05:26:00-05:00,23.98,24.0,23.98,24.0,24.0,0
2022-12-27 05:44:00-05:00,24.01,24.01,23.91,23.91,23.91,0
2022-12-27 05:48:00-05:00,23.91,23.92,23.9,23.9,23.9,0
2022-12-27 05:58:00-05:00,23.88,23.88,23.88,23.88,23.88,0
2022-12-27 06:02:00-05:00,23.89,23.9,23.89,23.9,23.9,0
2022-12-27 06:12:00-05:00,23.96,23.96,23.94,23.94,23.94,0
2022-12-27 06:24:00-05:00,23.98,24.0,23.98,23.99,23.99,0
2022-12-27 06:30:00-05:00,23.89,23.89,23.88,23.89,23.89,0
2022-12-27 06:46:00-05:00,23.9,23.9,23.89,23.89,23.89,0
2022-12-27 06:48:00-05:00,23.9,23.9,23.88,23.9,23.9,0
2022-12-27 06:56:00-05:00,23.91,23.92,23.91,23.92,23.92,0
2022-12-27 07:00:00-05:00,23.89,23.9,23.88,23.89,23.89,0
2022-12-27 07:02:00-05:00,23.89,23.89,23.87,23.89,23.89,0
2022-12-27 07:06:00-05:00,23.82,23.82,23.77,23.77,23.77,0
2022-12-27 07:08:00-05:00,23.77,23.79,23.73,23.73,23.73,0
2022-12-27 07:10:00-05:00,23.71,23.71,23.68,23.68,23.68,0
