Datetime,Open,High,Low,Close,Adj Close,Volume
2021-12-16-04-00-00 GMT-0500,263.98,263.98,263.98,263.98,263.98,0
2021-12-16-04-10-00 GMT-0500,263.69,263.69,263.69,263.69,263.69,0
2021-12-16-04-12-00 GMT-0500,263.69,263.69,263.67,263.67,263.67,0
2021-12-16-04-18-00 GMT-0500,263.67,263.67,263.67,263.67,263.67,0
2021-12-16-04-24-00 GMT-0500,263.67,263.7,263.6,263.6,263.6,0
2021-12-16-04-26-00 GMT-0500,263.64,263.68,263.64,263.67,263.67,0
2021-12-16-04-30-00 GMT-0500,263.05,263.05,262.99,262.99,262.99,0
2021-12-16-04-34-00 GMT-0500,262.8,262.8,262.74,262.74,262.74,0
2021-12-16-04-36-00 GMT-0500,262.74,262.75,262.74,262.75,262.75,0
2021-12-16-04-38-00 GMT-0500,262.75,262.75,262.53,262.53,262.53,0
2021-12-16-04-40-00 GMT-0500,262.74,262.74,262.74,262.74,262.74,0
2021-12-16-04-42-00 GMT-0500,262.52,262.53,262.52,262.53,262.53,0
2021-12-16-04-44-00 GMT-0500,262.53,262.53,262.53,262.53,262.53,0
2021-12-16-04-50-00 GMT-0500,262.75,262.77,262.75,262.75,262.75,0
2021-12-16-04-52-00 GMT-0500,262.55,262.55,262.55,262.55,262.55,0
2021-12-16-04-56-00 GMT-0500,262.55,262.55,262.53,262.53,262.53,0
2021-12-16-05-02-00 GMT-0500,262.93,262.93,262.53,262.87,262.87,0
2021-12-16-05-06-00 GMT-0500,262.87,262.87,262.87,262.87,262.87,0
2021-12-16-05-12-00 GMT-0500,262.85,262.87,262.85,262.87,262.87,0
2021-12-16-05-16-00 GMT-0500,262.72,262.72,262.72,262.72,262.72,0
2021-12-16-05-18-00 GMT-0500,262.35,262.35,262.35,262.35,262.35,0
2021-12-16-05-26-00 GMT-0500,262.75,262.87,262.75,262.87,262.87,0
2021-12-16-05-40-00 GMT-0500,262.75,262.75,262.75,262.75,262.75,0
2021-12-16-05-46-00 GMT-0500,262.53,262.53,262.35,262.35,262.35,0
2021-12-16-05-56-00 GMT-0500,262.75,262.85,262.7,262.85,262.85,0
2021-12-16-05-58-00 GMT-0500,262.85,262.85,262.85,262.85,262.85,0
2021-12-16-06-16-00 GMT-0500,262.91,263.0,262.54,262.54,262.54,0
2021-12-16-06-20-00 GMT-0500,262.57,263.0,262.54,262.96,262.96,0
2021-12-16-06-26-00 GMT-0500,262.6,262.6,262.6,262.6,262.6,0
2021-12-16-06-32-00 GMT-0500,262.99,262.99,262.96,262.99,262.99,0
2021-12-16-06-34-00 GMT-0500,262.96,263.0,262.96,263.0,263.0,0
2021-12-16-06-38-00 GMT-0500,262.63,262.63,262.63,262.63,262.63,0
2021-12-16-06-40-00 GMT-0500,263.0,263.0,262.62,262.62,262.62,0
2021-12-16-06-42-00 GMT-0500,262.92,263.0,262.9,263.0,263.0,0
2021-12-16-06-44-00 GMT-0500,263.0,263.0,262.72,262.72,262.72,0
2021-12-16-06-46-00 GMT-0500,262.61,262.61,262.6,262.6,262.6,0
2021-12-16-06-52-00 GMT-0500,262.9,263.37,262.9,263.37,263.37,0
2021-12-16-06-58-00 GMT-0500,263.3,263.3,263.3,263.3,263.3,0
2021-12-16-07-00-00 GMT-0500,262.65,263.32,262.65,262.66,262.66,0
2021-12-16-07-02-00 GMT-0500,262.97,263.04,262.67,263.01,263.01,0
2021-12-16-07-04-00 GMT-0500,263.01,263.24,263.0,263.01,263.01,0
2021-12-16-07-06-00 GMT-0500,263.01,263.36,263.01,263.01,263.01,0
2021-12-16-07-10-00 GMT-0500,263.25,263.25,263.01,263.01,263.01,0
2021-12-16-07-12-00 GMT-0500,263.01,263.04,263.01,263.04,263.04,0
2021-12-16-07-14-00 GMT-0500,263.02,263.1,263.02,263.1,263.1,0
2021-12-16-07-16-00 GMT-0500,263.03,263.3,263.01,263.3,263.3,0
2021-12-16-07-20-00 GMT-0500,263.3,263.3,263.0,263.0,263.0,0
2021-12-16-07-24-00 GMT-0500,263.24,263.24,263.24,263.24,263.24,0
2021-12-16-07-26-00 GMT-0500,263.0,263.21,263.0,263.21,263.21,0
2021-12-16-07-28-00 GMT-0500,263.0,263.3,263.0,263.3,263.3,0
2021-12-16-07-30-00 GMT-0500,263.36,263.38,263.0,263.37,263.37,0
2021-12-16-07-34-00 GMT-0500,263.0,263.25,263.0,263.24,263.24,0
2021-12-16-07-36-00 GMT-0500,263.24,263.28,262.7,262.7,262.7,0
2021-12-16-07-38-00 GMT-0500,262.96,262.99,262.96,262.99,262.99,0
2021-12-16-07-40-00 GMT-0500,262.99,263.0,262.99,262.99,262.99,0
2021-12-16-07-44-00 GMT-0500,262.77,262.91,262.52,262.91,262.91,0
2021-12-16-07-48-00 GMT-0500,262.95,262.99,262.71,262.71,262.71,0
2021-12-16-07-50-00 GMT-0500,262.71,262.86,262.71,262.86,262.86,0
2021-12-16-07-52-00 GMT-0500,262.89,263.0,262.89,263.0,263.0,0
2021-12-16-07-54-00 GMT-0500,262.95,263.0,262.85,263.0,263.0,0
2021-12-16-07-56-00 GMT-0500,262.85,263.0,262.85,262.93,262.93,0
2021-12-16-07-58-00 GMT-0500,263.0,263.0,262.85,262.85,262.85,0
2021-12-16-08-00-00 GMT-0500,263.37,263.5,262.5,262.67,262.67,0
2021-12-16-08-02-00 GMT-0500,262.61,262.8499,260.69,262.73,262.73,0
2021-12-16-08-04-00 GMT-0500,262.73,262.84,261.82,261.93,261.93,0
2021-12-16-08-06-00 GMT-0500,261.57,261.93,260.95,260.95,260.95,0
2021-12-16-08-08-00 GMT-0500,260.95,261.23,259.43,259.45,259.45,0
2021-12-16-08-10-00 GMT-0500,259.43,260.62,259.43,260.62,260.62,0
2021-12-16-08-12-00 GMT-0500,260.62,261.0,260.51,260.58,260.58,0
2021-12-16-08-14-00 GMT-0500,260.62,260.75,259.94,260.08,260.08,0
2021-12-16-08-16-00 GMT-0500,259.42,260.02,259.42,260.02,260.02,0
2021-12-16-08-20-00 GMT-0500,260.02,260.31,259.291,260.31,260.31,0
2021-12-16-08-22-00 GMT-0500,260.25,260.8,259.86,260.03,260.03,0
2021-12-16-08-24-00 GMT-0500,260.03,260.5,259.99,259.99,259.99,0
2021-12-16-08-26-00 GMT-0500,260.03,260.9999,259.6,260.08,260.08,0
2021-12-16-08-28-00 GMT-0500,260.09,260.09,260.04,260.04,260.04,0
2021-12-16-08-30-00 GMT-0500,260.04,260.25,260.04,260.2,260.2,0
2021-12-16-08-32-00 GMT-0500,260.68,260.68,260.2,260.5,260.5,0
2021-12-16-08-34-00 GMT-0500,260.7,260.7,259.74,259.85,259.85,0
2021-12-16-08-36-00 GMT-0500,259.8,260.0,259.46,259.6,259.6,0
2021-12-16-08-38-00 GMT-0500,259.92,260.0,259.14,260.0,260.0,0
2021-12-16-08-40-00 GMT-0500,260.0,260.0,259.14,260.0,260.0,0
2021-12-16-08-42-00 GMT-0500,260.0,260.0,259.94,259.97,259.97,0
2021-12-16-08-44-00 GMT-0500,259.97,260.0,259.14,260.0,260.0,0
2021-12-16-08-46-00 GMT-0500,259.92,259.92,259.5,259.5,259.5,0
2021-12-16-08-48-00 GMT-0500,259.5,259.5,258.87,259.0,259.0,0
2021-12-16-08-50-00 GMT-0500,259.0,260.4,259.0,259.12,259.12,0
2021-12-16-08-52-00 GMT-0500,259.62,260.0,259.24,259.24,259.24,0
2021-12-16-08-54-00 GMT-0500,259.34,259.34,259.0,259.02,259.02,0
2021-12-16-08-56-00 GMT-0500,259.85,259.85,259.85,259.85,259.85,0
2021-12-16-08-58-00 GMT-0500,259.96,260.0,259.5,259.85,259.85,0
2021-12-16-09-00-00 GMT-0500,260.0,260.0,259.75,259.75,259.75,0
2021-12-16-09-02-00 GMT-0500,260.0,260.0,259.5,259.95,259.95,0
2021-12-16-09-04-00 GMT-0500,259.95,260.0,259.5,259.5,259.5,0
2021-12-16-09-06-00 GMT-0500,259.5,260.0,259.5,259.5,259.5,0
2021-12-16-09-08-00 GMT-0500,259.5,260.0,259.0,259.0,259.0,0
2021-12-16-09-10-00 GMT-0500,259.5,259.8,258.715,258.715,258.715,0
2021-12-16-09-12-00 GMT-0500,258.87,259.0,258.02,258.275,258.275,0
2021-12-16-09-14-00 GMT-0500,258.68,258.87,258.68,258.87,258.87,0
2021-12-16-09-30-00 GMT-0500,260.0,261.34991455078125,258.7699890136719,259.0025939941406,259.0025939941406,253441
2021-12-16-09-32-00 GMT-0500,259.125,259.125,258.29998779296875,258.760009765625,258.760009765625,32072
2021-12-16-09-34-00 GMT-0500,258.44000244140625,258.9100036621094,257.6700134277344,258.25,258.25,83326
2021-12-16-09-36-00 GMT-0500,258.260009765625,258.54998779296875,256.9200134277344,257.3800048828125,257.3800048828125,55991
2021-12-16-09-38-00 GMT-0500,257.4100036621094,257.9100036621094,256.82000732421875,257.4100036621094,257.4100036621094,40703
2021-12-16-09-40-00 GMT-0500,257.4800109863281,258.0,256.5,256.760009765625,256.760009765625,48756
2021-12-16-09-42-00 GMT-0500,256.7597961425781,257.4739990234375,256.3500061035156,257.3700866699219,257.3700866699219,40833
2021-12-16-09-44-00 GMT-0500,257.4100036621094,259.4100036621094,257.0899963378906,259.3500061035156,259.3500061035156,45567
2021-12-16-09-46-00 GMT-0500,259.05999755859375,259.05999755859375,258.45001220703125,259.0556945800781,259.0556945800781,26752
2021-12-16-09-48-00 GMT-0500,259.20001220703125,260.30999755859375,258.4599914550781,260.1499938964844,260.1499938964844,28089
2021-12-16-09-50-00 GMT-0500,260.1600036621094,260.2799987792969,259.30499267578125,259.4599914550781,259.4599914550781,26592
2021-12-16-09-52-00 GMT-0500,259.5350036621094,259.7898864746094,258.4800109863281,258.9100036621094,258.9100036621094,26889
2021-12-16-09-54-00 GMT-0500,259.0799865722656,259.2099914550781,258.8599853515625,258.94000244140625,258.94000244140625,10510
2021-12-16-09-56-00 GMT-0500,258.93499755859375,259.2900085449219,258.57000732421875,258.57000732421875,258.57000732421875,37467
2021-12-16-09-58-00 GMT-0500,258.6499938964844,258.9700012207031,258.2984924316406,258.5,258.5,22468
2021-12-16-10-00-00 GMT-0500,258.5400085449219,258.6300048828125,257.7959899902344,257.8800048828125,257.8800048828125,24450
2021-12-16-10-02-00 GMT-0500,258.0299987792969,258.3999938964844,257.3699951171875,258.0736999511719,258.0736999511719,27783
2021-12-16-10-04-00 GMT-0500,258.05499267578125,258.5,257.8599853515625,258.489990234375,258.489990234375,13931
2021-12-16-10-06-00 GMT-0500,258.510009765625,258.55999755859375,257.6499938964844,257.8999938964844,257.8999938964844,24001
2021-12-16-10-08-00 GMT-0500,258.07000732421875,258.7300109863281,257.6499938964844,257.6499938964844,257.6499938964844,39623
2021-12-16-10-10-00 GMT-0500,257.5799865722656,257.9049987792969,257.17999267578125,257.8299865722656,257.8299865722656,28271
2021-12-16-10-12-00 GMT-0500,257.69000244140625,257.69000244140625,257.20001220703125,257.4200134277344,257.4200134277344,24328
2021-12-16-10-14-00 GMT-0500,257.2699890136719,258.45001220703125,257.2200012207031,258.2099914550781,258.2099914550781,29504
2021-12-16-10-16-00 GMT-0500,258.0614929199219,258.1300048828125,257.1000061035156,257.1000061035156,257.1000061035156,34345
2021-12-16-10-18-00 GMT-0500,257.0899963378906,258.0,257.0899963378906,257.70001220703125,257.70001220703125,25463
2021-12-16-10-20-00 GMT-0500,257.6600036621094,258.1499938964844,257.4700012207031,257.4700012207031,257.4700012207031,16444
2021-12-16-10-22-00 GMT-0500,257.6400146484375,258.0,257.5899963378906,257.9800109863281,257.9800109863281,13277
2021-12-16-10-24-00 GMT-0500,258.0199890136719,258.5199890136719,258.0,258.45001220703125,258.45001220703125,14770
2021-12-16-10-26-00 GMT-0500,258.5299987792969,258.7200012207031,258.42999267578125,258.7200012207031,258.7200012207031,14406
2021-12-16-10-28-00 GMT-0500,258.75,259.1000061035156,258.73199462890625,258.8800048828125,258.8800048828125,11203
2021-12-16-10-30-00 GMT-0500,258.9800109863281,259.70001220703125,258.9100036621094,258.9100036621094,258.9100036621094,18805
2021-12-16-10-32-00 GMT-0500,258.9599914550781,259.260009765625,258.760009765625,258.8900146484375,258.8900146484375,12036
2021-12-16-10-34-00 GMT-0500,259.05999755859375,259.49639892578125,259.05999755859375,259.20001220703125,259.20001220703125,12894
2021-12-16-10-36-00 GMT-0500,259.05999755859375,259.2300109863281,258.80999755859375,259.1650085449219,259.1650085449219,13267
2021-12-16-10-38-00 GMT-0500,259.0899963378906,259.2149963378906,258.7300109863281,258.7349853515625,258.7349853515625,12561
2021-12-16-10-40-00 GMT-0500,258.6400146484375,259.1199951171875,258.32000732421875,258.5450134277344,258.5450134277344,15283
2021-12-16-10-42-00 GMT-0500,258.5199890136719,258.8279113769531,258.4800109863281,258.69000244140625,258.69000244140625,14293
2021-12-16-10-44-00 GMT-0500,258.5199890136719,259.0199890136719,258.4800109863281,258.8299865722656,258.8299865722656,12262
2021-12-16-10-46-00 GMT-0500,258.739990234375,259.0199890136719,258.5899963378906,258.6600036621094,258.6600036621094,13118
2021-12-16-10-48-00 GMT-0500,258.79998779296875,259.2550048828125,258.70001220703125,259.2200012207031,259.2200012207031,13869
2021-12-16-10-50-00 GMT-0500,259.1000061035156,259.1549987792969,258.6000061035156,258.7699890136719,258.7699890136719,10388
2021-12-16-10-52-00 GMT-0500,258.7727966308594,259.0299987792969,258.7727966308594,258.82000732421875,258.82000732421875,5655
2021-12-16-10-54-00 GMT-0500,258.3949890136719,258.5,258.385009765625,258.385009765625,258.385009765625,23994
2021-12-16-10-56-00 GMT-0500,258.29998779296875,258.3999938964844,258.1099853515625,258.2699890136719,258.2699890136719,4179
2021-12-16-10-58-00 GMT-0500,257.92498779296875,258.0799865722656,257.69000244140625,258.0400085449219,258.0400085449219,29593
2021-12-16-11-00-00 GMT-0500,257.9700012207031,258.0799865722656,257.4100036621094,257.45001220703125,257.45001220703125,23040
2021-12-16-11-02-00 GMT-0500,257.3800048828125,257.6048889160156,256.69000244140625,256.7300109863281,256.7300109863281,27131
2021-12-16-11-04-00 GMT-0500,256.760009765625,256.95001220703125,256.54998779296875,256.82000732421875,256.82000732421875,16080
2021-12-16-11-06-00 GMT-0500,256.7799987792969,256.7799987792969,256.3599853515625,256.4100036621094,256.4100036621094,25240
2021-12-16-11-08-00 GMT-0500,256.3599853515625,256.55999755859375,256.17999267578125,256.3262023925781,256.3262023925781,34120
2021-12-16-11-10-00 GMT-0500,256.3500061035156,256.3500061035156,255.64999389648438,255.69000244140625,255.69000244140625,26330
2021-12-16-11-12-00 GMT-0500,255.75,255.88999938964844,255.0,255.0,255.0,33730
2021-12-16-11-14-00 GMT-0500,255.05990600585938,255.22000122070312,254.85000610351562,255.1300048828125,255.1300048828125,48269
2021-12-16-11-16-00 GMT-0500,255.14999389648438,255.60000610351562,255.05999755859375,255.23500061035156,255.23500061035156,27321
2021-12-16-11-18-00 GMT-0500,255.1750030517578,255.414306640625,254.89999389648438,255.414306640625,255.414306640625,20475
2021-12-16-11-20-00 GMT-0500,255.38499450683594,255.74000549316406,255.35000610351562,255.6649932861328,255.6649932861328,34313
2021-12-16-11-22-00 GMT-0500,255.47000122070312,255.7100067138672,255.27999877929688,255.4600067138672,255.4600067138672,16252
2021-12-16-11-24-00 GMT-0500,255.38499450683594,255.5,255.23500061035156,255.5,255.5,16245
2021-12-16-11-26-00 GMT-0500,255.51499938964844,255.64999389648438,255.05999755859375,255.12489318847656,255.12489318847656,17701
2021-12-16-11-28-00 GMT-0500,255.00999450683594,255.47999572753906,254.8509979248047,255.30499267578125,255.30499267578125,36782
2021-12-16-11-30-00 GMT-0500,255.27999877929688,255.35000610351562,254.6999969482422,254.7050018310547,254.7050018310547,22595
2021-12-16-11-32-00 GMT-0500,254.66000366210938,254.74000549316406,254.36000061035156,254.6300048828125,254.6300048828125,21834
