Datetime,Open,High,Low,Close,Adj Close,Volume
2022-05-31-04-00-00 GMT-0400,195.22,196.0,194.83,195.24,195.24,0
2022-05-31-04-02-00 GMT-0400,195.0,195.17,195.0,195.08,195.08,0
2022-05-31-04-04-00 GMT-0400,195.08,195.33,195.08,195.33,195.33,0
2022-05-31-04-06-00 GMT-0400,195.33,195.49,195.33,195.49,195.49,0
2022-05-31-04-08-00 GMT-0400,195.35,195.49,195.34,195.41,195.41,0
2022-05-31-04-10-00 GMT-0400,195.51,195.51,195.41,195.41,195.41,0
2022-05-31-04-12-00 GMT-0400,195.42,195.55,195.41,195.5,195.5,0
2022-05-31-04-14-00 GMT-0400,195.43,195.6,195.33,195.5,195.5,0
2022-05-31-04-16-00 GMT-0400,195.67,195.74,195.59,195.59,195.59,0
2022-05-31-04-18-00 GMT-0400,195.6,196.24,195.6,195.71,195.71,0
2022-05-31-04-20-00 GMT-0400,195.8,195.8,195.56,195.56,195.56,0
2022-05-31-04-22-00 GMT-0400,195.56,195.7,195.52,195.7,195.7,0
2022-05-31-04-24-00 GMT-0400,195.7,195.77,195.55,195.77,195.77,0
2022-05-31-04-26-00 GMT-0400,195.77,196.25,195.77,196.25,196.25,0
2022-05-31-04-28-00 GMT-0400,196.05,196.05,195.95,195.95,195.95,0
2022-05-31-04-30-00 GMT-0400,196.1,196.22,195.95,195.96,195.96,0
2022-05-31-04-32-00 GMT-0400,196.01,196.25,195.95,195.97,195.97,0
2022-05-31-04-34-00 GMT-0400,196.13,196.13,195.88,195.91,195.91,0
2022-05-31-04-36-00 GMT-0400,195.86,195.9,195.73,195.9,195.9,0
2022-05-31-04-38-00 GMT-0400,195.92,196.07,195.78,196.07,196.07,0
2022-05-31-04-40-00 GMT-0400,196.17,196.27,195.95,196.27,196.27,0
2022-05-31-04-42-00 GMT-0400,196.27,196.49,196.27,196.34,196.34,0
2022-05-31-04-44-00 GMT-0400,196.22,196.46,196.0,196.26,196.26,0
2022-05-31-04-46-00 GMT-0400,196.02,196.26,196.02,196.24,196.24,0
2022-05-31-04-48-00 GMT-0400,196.2,196.34,196.2,196.34,196.34,0
2022-05-31-04-50-00 GMT-0400,196.3,196.34,196.3,196.34,196.34,0
2022-05-31-04-52-00 GMT-0400,196.19,196.29,196.09,196.14,196.14,0
2022-05-31-04-54-00 GMT-0400,196.19,196.19,196.14,196.14,196.14,0
2022-05-31-04-56-00 GMT-0400,196.14,196.28,195.91,196.04,196.04,0
2022-05-31-04-58-00 GMT-0400,196.0,196.0,195.98,196.0,196.0,0
2022-05-31-05-00-00 GMT-0400,195.98,196.0,195.65,195.8,195.8,0
2022-05-31-05-02-00 GMT-0400,195.69,195.79,195.5,195.79,195.79,0
2022-05-31-05-04-00 GMT-0400,195.7,195.7,195.5,195.5,195.5,0
2022-05-31-05-06-00 GMT-0400,195.51,195.54,195.46,195.5,195.5,0
2022-05-31-05-08-00 GMT-0400,195.41,195.42,195.41,195.41,195.41,0
2022-05-31-05-10-00 GMT-0400,195.41,195.49,195.17,195.2,195.2,0
2022-05-31-05-12-00 GMT-0400,195.2,195.2,195.0,195.03,195.03,0
2022-05-31-05-14-00 GMT-0400,195.01,195.04,195.0,195.0,195.0,0
2022-05-31-05-16-00 GMT-0400,194.88,195.0,194.65,194.65,194.65,0
2022-05-31-05-18-00 GMT-0400,194.8,194.9,194.68,194.7,194.7,0
2022-05-31-05-20-00 GMT-0400,194.7,194.78,194.7,194.72,194.72,0
2022-05-31-05-22-00 GMT-0400,194.8,194.8,194.62,194.62,194.62,0
2022-05-31-05-24-00 GMT-0400,194.62,194.62,194.18,194.18,194.18,0
2022-05-31-05-26-00 GMT-0400,194.29,194.79,194.27,194.42,194.42,0
2022-05-31-05-28-00 GMT-0400,194.46,194.9,194.46,194.72,194.72,0
2022-05-31-05-30-00 GMT-0400,194.72,194.99,194.65,194.99,194.99,0
2022-05-31-05-32-00 GMT-0400,194.98,194.98,194.72,194.72,194.72,0
2022-05-31-05-34-00 GMT-0400,194.9,194.93,194.31,194.31,194.31,0
2022-05-31-05-36-00 GMT-0400,194.58,194.58,194.31,194.31,194.31,0
2022-05-31-05-38-00 GMT-0400,194.42,194.42,194.12,194.32,194.32,0
2022-05-31-05-40-00 GMT-0400,194.2,194.43,194.2,194.42,194.42,0
2022-05-31-05-42-00 GMT-0400,194.37,194.37,194.12,194.12,194.12,0
2022-05-31-05-44-00 GMT-0400,194.37,194.48,194.37,194.37,194.37,0
2022-05-31-05-46-00 GMT-0400,194.59,194.8,194.27,194.8,194.8,0
2022-05-31-05-48-00 GMT-0400,194.5,194.5,194.37,194.47,194.47,0
2022-05-31-05-50-00 GMT-0400,194.47,194.51,194.35,194.36,194.36,0
2022-05-31-05-52-00 GMT-0400,194.44,194.44,194.44,194.44,194.44,0
2022-05-31-05-54-00 GMT-0400,194.53,194.55,194.47,194.55,194.55,0
2022-05-31-05-56-00 GMT-0400,194.55,194.55,194.45,194.55,194.55,0
2022-05-31-05-58-00 GMT-0400,194.47,194.47,194.35,194.35,194.35,0
2022-05-31-06-00-00 GMT-0400,194.58,194.58,194.35,194.35,194.35,0
2022-05-31-06-02-00 GMT-0400,194.47,194.47,194.47,194.47,194.47,0
2022-05-31-06-04-00 GMT-0400,194.32,194.32,194.23,194.23,194.23,0
2022-05-31-06-06-00 GMT-0400,194.3,194.32,194.2,194.2,194.2,0
2022-05-31-06-08-00 GMT-0400,194.43,194.5,194.2,194.5,194.5,0
2022-05-31-06-10-00 GMT-0400,194.5,194.54,194.5,194.5,194.5,0
2022-05-31-06-12-00 GMT-0400,194.5,194.5,194.32,194.33,194.33,0
2022-05-31-06-14-00 GMT-0400,194.32,194.5,194.27,194.5,194.5,0
2022-05-31-06-16-00 GMT-0400,194.54,194.61,194.49,194.55,194.55,0
2022-05-31-06-18-00 GMT-0400,194.69,194.69,194.5,194.55,194.55,0
2022-05-31-06-20-00 GMT-0400,194.55,194.55,194.3,194.31,194.31,0
2022-05-31-06-22-00 GMT-0400,194.48,194.48,194.25,194.25,194.25,0
2022-05-31-06-24-00 GMT-0400,194.24,194.42,194.24,194.26,194.26,0
2022-05-31-06-26-00 GMT-0400,194.26,194.42,194.26,194.31,194.31,0
2022-05-31-06-28-00 GMT-0400,194.3,194.31,194.3,194.31,194.31,0
