Datetime,Open,High,Low,Close,Adj Close,Volume
2022-03-07 04:38:00-05:00,35.17,35.17,35.0,35.0,35.0,0
2022-03-07 05:10:00-05:00,35.0,35.0,35.0,35.0,35.0,0
2022-03-07 05:44:00-05:00,34.74,34.74,34.74,34.74,34.74,0
2022-03-07 06:56:00-05:00,35.0,36.11,35.0,36.11,36.11,0
2022-03-07 06:58:00-05:00,36.05,37.0,36.05,37.0,37.0,0
2022-03-07 07:00:00-05:00,36.0,36.54,35.5,35.6,35.6,0
2022-03-07 07:02:00-05:00,36.53,36.79,36.4,36.5,36.5,0
2022-03-07 07:08:00-05:00,37.0,37.0,36.5,36.5,36.5,0
2022-03-07 07:12:00-05:00,36.5,36.52,36.45,36.45,36.45,0
2022-03-07 07:14:00-05:00,36.72,36.9,36.57,36.57,36.57,0
2022-03-07 07:16:00-05:00,36.83,36.83,36.45,36.5,36.5,0
2022-03-07 07:20:00-05:00,36.5,36.6,36.48,36.48,36.48,0
2022-03-07 07:22:00-05:00,36.48,36.5,36.48,36.5,36.5,0
2022-03-07 07:26:00-05:00,36.57,36.57,36.57,36.57,36.57,0
2022-03-07 07:30:00-05:00,36.66,36.66,36.66,36.66,36.66,0
2022-03-07 07:38:00-05:00,36.73,36.85,36.7,36.85,36.85,0
2022-03-07 07:40:00-05:00,36.85,36.85,36.5,36.79,36.79,0
2022-03-07 07:42:00-05:00,36.66,36.66,36.5,36.52,36.52,0
2022-03-07 07:46:00-05:00,36.56,36.56,36.51,36.51,36.51,0
2022-03-07 07:48:00-05:00,36.52,36.53,36.5,36.5,36.5,0
2022-03-07 07:50:00-05:00,36.5,36.5,36.42,36.42,36.42,0
2022-03-07 07:52:00-05:00,36.49,36.49,36.49,36.49,36.49,0
2022-03-07 07:54:00-05:00,36.49,36.49,36.4,36.4,36.4,0
2022-03-07 07:58:00-05:00,36.41,36.42,36.41,36.42,36.42,0
2022-03-07 08:00:00-05:00,36.48,36.85,36.0,36.29,36.29,0
2022-03-07 08:02:00-05:00,36.23,36.23,36.1,36.1,36.1,0
2022-03-07 08:04:00-05:00,36.1,36.1,36.1,36.1,36.1,0
2022-03-07 08:08:00-05:00,36.27,36.29,36.24,36.25,36.25,0
2022-03-07 08:10:00-05:00,36.11,36.12,36.0,36.0,36.0,0
2022-03-07 08:12:00-05:00,35.88,36.0,35.88,35.88,35.88,0
2022-03-07 08:14:00-05:00,35.88,35.88,35.57,35.63,35.63,0
2022-03-07 08:20:00-05:00,36.0,36.0,36.0,36.0,36.0,0
2022-03-07 08:24:00-05:00,36.12,36.12,36.0,36.0,36.0,0
2022-03-07 08:30:00-05:00,36.24,36.29,36.24,36.25,36.25,0
2022-03-07 08:32:00-05:00,36.28,36.28,36.25,36.25,36.25,0
2022-03-07 08:34:00-05:00,36.4,36.41,36.28,36.41,36.41,0
2022-03-07 08:38:00-05:00,36.28,36.28,36.28,36.28,36.28,0
2022-03-07 08:42:00-05:00,36.2512,36.3001,36.25,36.25,36.25,0
2022-03-07 08:48:00-05:00,36.36,36.4,36.35,36.38,36.38,0
2022-03-07 08:58:00-05:00,36.2501,36.2501,36.25,36.25,36.25,0
2022-03-07 09:10:00-05:00,36.3,36.3,36.14,36.14,36.14,0
2022-03-07 09:12:00-05:00,36.26,36.33,36.22,36.33,36.33,0
2022-03-07 09:30:00-05:00,37.25,37.33000183105469,36.97999954223633,37.130001068115234,37.130001068115234,516189
2022-03-07 09:32:00-05:00,37.15999984741211,37.20000076293945,36.849998474121094,37.0099983215332,37.0099983215332,119871
2022-03-07 09:34:00-05:00,37.02000045776367,37.75,37.02000045776367,37.7400016784668,37.7400016784668,171605
2022-03-07 09:36:00-05:00,37.755001068115234,37.97999954223633,37.69499969482422,37.83000183105469,37.83000183105469,138685
2022-03-07 09:38:00-05:00,37.790000915527344,38.06999969482422,37.790000915527344,37.81999969482422,37.81999969482422,102133
2022-03-07 09:40:00-05:00,37.81999969482422,37.81999969482422,37.36000061035156,37.5099983215332,37.5099983215332,109827
2022-03-07 09:42:00-05:00,37.459999084472656,37.599998474121094,37.119998931884766,37.20000076293945,37.20000076293945,105861
2022-03-07 09:44:00-05:00,37.220001220703125,37.54999923706055,37.09000015258789,37.310001373291016,37.310001373291016,159644
2022-03-07 09:46:00-05:00,37.310001373291016,37.33000183105469,36.7599983215332,36.83000183105469,36.83000183105469,150085
2022-03-07 09:48:00-05:00,36.810001373291016,37.040000915527344,36.69010162353516,36.97499847412109,36.97499847412109,107610
2022-03-07 09:50:00-05:00,36.970001220703125,37.130001068115234,36.900001525878906,36.959999084472656,36.959999084472656,108101
2022-03-07 09:52:00-05:00,36.95000076293945,36.97999954223633,36.72999954223633,36.78499984741211,36.78499984741211,84949
2022-03-07 09:54:00-05:00,36.790000915527344,36.84000015258789,36.56999969482422,36.58000183105469,36.58000183105469,35470
2022-03-07 09:56:00-05:00,36.59000015258789,36.650001525878906,36.2400016784668,36.2599983215332,36.2599983215332,63444
2022-03-07 09:58:00-05:00,36.279998779296875,36.279998779296875,35.900001525878906,35.900001525878906,35.900001525878906,66025
2022-03-07 10:00:00-05:00,35.93000030517578,36.02000045776367,35.814998626708984,35.845001220703125,35.845001220703125,65951
2022-03-07 10:02:00-05:00,35.845001220703125,35.959999084472656,35.70000076293945,35.88999938964844,35.88999938964844,85941
2022-03-07 10:04:00-05:00,35.900001525878906,36.16999816894531,35.814998626708984,36.02000045776367,36.02000045776367,88182
2022-03-07 10:06:00-05:00,36.04499816894531,36.04499816894531,35.95000076293945,35.97999954223633,35.97999954223633,77655
2022-03-07 10:08:00-05:00,35.98500061035156,36.07500076293945,35.900001525878906,36.0,36.0,52636
2022-03-07 10:10:00-05:00,35.97999954223633,36.09000015258789,35.83000183105469,35.83000183105469,35.83000183105469,58776
2022-03-07 10:12:00-05:00,35.82500076293945,35.939300537109375,35.82500076293945,35.88999938964844,35.88999938964844,35735
2022-03-07 10:14:00-05:00,35.904998779296875,35.9900016784668,35.900001525878906,35.939998626708984,35.939998626708984,60252
2022-03-07 10:16:00-05:00,35.939998626708984,35.939998626708984,35.790000915527344,35.790000915527344,35.790000915527344,39304
2022-03-07 10:18:00-05:00,35.790000915527344,35.790000915527344,35.5099983215332,35.53990173339844,35.53990173339844,117789
2022-03-07 10:20:00-05:00,35.540000915527344,35.689998626708984,35.4900016784668,35.4900016784668,35.4900016784668,32422
2022-03-07 10:22:00-05:00,35.4900016784668,35.689998626708984,35.459999084472656,35.599998474121094,35.599998474121094,28178
2022-03-07 10:24:00-05:00,35.59000015258789,35.59000015258789,35.33000183105469,35.36000061035156,35.36000061035156,44617
2022-03-07 10:26:00-05:00,35.380001068115234,35.400001525878906,35.16999816894531,35.16999816894531,35.16999816894531,48029
2022-03-07 10:28:00-05:00,35.16999816894531,35.560001373291016,35.150001525878906,35.560001373291016,35.560001373291016,48370
2022-03-07 10:30:00-05:00,35.53189849853516,35.7599983215332,35.5,35.61000061035156,35.61000061035156,72312
2022-03-07 10:32:00-05:00,35.6150016784668,35.650001525878906,35.5,35.529998779296875,35.529998779296875,32865
2022-03-07 10:34:00-05:00,35.54999923706055,35.599998474121094,35.45000076293945,35.470001220703125,35.470001220703125,63826
2022-03-07 10:36:00-05:00,35.4900016784668,35.59000015258789,35.349998474121094,35.36000061035156,35.36000061035156,40673
2022-03-07 10:38:00-05:00,35.33000183105469,35.42499923706055,35.275001525878906,35.369998931884766,35.369998931884766,28094
2022-03-07 10:40:00-05:00,35.38999938964844,35.4900016784668,35.349998474121094,35.36000061035156,35.36000061035156,20269
2022-03-07 10:42:00-05:00,35.345001220703125,35.345001220703125,35.13999938964844,35.174598693847656,35.174598693847656,45616
2022-03-07 10:44:00-05:00,35.150001525878906,35.34000015258789,35.14500045776367,35.29999923706055,35.29999923706055,42181
2022-03-07 10:46:00-05:00,35.279998779296875,35.279998779296875,35.06230163574219,35.09000015258789,35.09000015258789,43585
2022-03-07 10:48:00-05:00,35.099998474121094,35.13999938964844,35.040000915527344,35.06999969482422,35.06999969482422,33211
2022-03-07 10:50:00-05:00,35.060001373291016,35.11000061035156,34.970001220703125,35.029998779296875,35.029998779296875,30912
2022-03-07 10:52:00-05:00,35.040000915527344,35.125,34.9900016784668,35.0099983215332,35.0099983215332,35566
2022-03-07 10:54:00-05:00,35.0,35.0,34.880001068115234,34.93000030517578,34.93000030517578,45863
2022-03-07 10:56:00-05:00,34.939998626708984,35.04999923706055,34.93000030517578,35.0099983215332,35.0099983215332,26086
2022-03-07 10:58:00-05:00,35.01499938964844,35.25559997558594,35.01499938964844,35.17499923706055,35.17499923706055,28712
2022-03-07 11:00:00-05:00,35.150001525878906,35.380001068115234,35.13999938964844,35.329498291015625,35.329498291015625,58368
2022-03-07 11:02:00-05:00,35.33000183105469,35.339298248291016,35.189998626708984,35.279998779296875,35.279998779296875,44528
2022-03-07 11:04:00-05:00,35.290000915527344,35.57500076293945,35.290000915527344,35.540000915527344,35.540000915527344,46764
2022-03-07 11:06:00-05:00,35.52000045776367,35.61000061035156,35.459999084472656,35.459999084472656,35.459999084472656,39169
2022-03-07 11:08:00-05:00,35.439998626708984,35.459999084472656,35.3650016784668,35.400001525878906,35.400001525878906,39586
2022-03-07 11:10:00-05:00,35.41999816894531,35.604400634765625,35.41400146484375,35.47999954223633,35.47999954223633,20538
2022-03-07 11:12:00-05:00,35.459999084472656,35.560001373291016,35.459999084472656,35.529998779296875,35.529998779296875,25098
2022-03-07 11:14:00-05:00,35.529998779296875,35.549800872802734,35.45000076293945,35.529998779296875,35.529998779296875,20498
2022-03-07 11:16:00-05:00,35.58000183105469,35.61000061035156,35.58000183105469,35.61000061035156,35.61000061035156,24588
2022-03-07 11:18:00-05:00,35.61000061035156,35.68000030517578,35.564998626708984,35.58000183105469,35.58000183105469,17907
2022-03-07 11:20:00-05:00,35.56999969482422,35.6619987487793,35.5099983215332,35.54999923706055,35.54999923706055,39090
2022-03-07 11:22:00-05:00,35.54999923706055,35.720001220703125,35.54249954223633,35.70000076293945,35.70000076293945,22266
2022-03-07 11:24:00-05:00,35.685001373291016,35.810001373291016,35.685001373291016,35.7599983215332,35.7599983215332,21320
2022-03-07 11:26:00-05:00,35.74509811401367,35.814998626708984,35.66999816894531,35.66999816894531,35.66999816894531,19045
2022-03-07 11:28:00-05:00,35.66999816894531,35.66999816894531,35.560001373291016,35.56999969482422,35.56999969482422,20104
2022-03-07 11:30:00-05:00,35.584999084472656,35.584999084472656,35.40999984741211,35.470001220703125,35.470001220703125,44153
2022-03-07 11:32:00-05:00,35.48500061035156,35.584999084472656,35.41999816894531,35.5,35.5,29504
2022-03-07 11:34:00-05:00,35.5099983215332,35.5099983215332,35.439998626708984,35.4900016784668,35.4900016784668,23695
2022-03-07 11:36:00-05:00,35.47999954223633,35.59000015258789,35.459999084472656,35.57500076293945,35.57500076293945,29104
2022-03-07 11:38:00-05:00,35.56999969482422,35.58000183105469,35.47999954223633,35.529998779296875,35.529998779296875,29609
2022-03-07 11:40:00-05:00,35.52000045776367,35.599998474121094,35.470001220703125,35.599998474121094,35.599998474121094,20456
2022-03-07 11:42:00-05:00,35.56999969482422,35.65999984741211,35.5,35.5,35.5,18094
2022-03-07 11:44:00-05:00,35.5,35.630001068115234,35.43000030517578,35.625,35.625,28912
2022-03-07 11:46:00-05:00,35.64120101928711,35.77000045776367,35.63999938964844,35.72999954223633,35.72999954223633,35665
2022-03-07 11:48:00-05:00,35.709999084472656,35.790000915527344,35.650001525878906,35.689998626708984,35.689998626708984,16873
2022-03-07 11:50:00-05:00,35.68000030517578,35.70000076293945,35.470001220703125,35.529998779296875,35.529998779296875,62322
2022-03-07 11:52:00-05:00,35.529998779296875,35.5906982421875,35.5,35.560001373291016,35.560001373291016,18250
2022-03-07 11:54:00-05:00,35.540000915527344,35.54999923706055,35.41999816894531,35.45000076293945,35.45000076293945,42663
2022-03-07 11:56:00-05:00,35.43000030517578,35.5,35.36000061035156,35.5,35.5,36784
2022-03-07 11:58:00-05:00,35.5,35.529998779296875,35.375,35.459999084472656,35.459999084472656,39314
2022-03-07 12:00:00-05:00,35.439998626708984,35.439998626708984,35.2400016784668,35.310001373291016,35.310001373291016,28146
2022-03-07 12:02:00-05:00,35.290000915527344,35.290000915527344,35.16999816894531,35.2400016784668,35.2400016784668,24916
2022-03-07 12:04:00-05:00,35.2400016784668,35.328399658203125,35.22999954223633,35.30500030517578,35.30500030517578,24805
2022-03-07 12:06:00-05:00,35.29999923706055,35.310001373291016,35.209999084472656,35.22999954223633,35.22999954223633,27457
2022-03-07 12:08:00-05:00,35.22999954223633,35.29999923706055,35.220001220703125,35.279998779296875,35.279998779296875,41727
2022-03-07 12:10:00-05:00,35.27000045776367,35.349998474121094,35.22999954223633,35.349998474121094,35.349998474121094,14297
2022-03-07 12:12:00-05:00,35.36000061035156,35.40999984741211,35.27000045776367,35.27000045776367,35.27000045776367,18159
2022-03-07 12:14:00-05:00,35.25,35.380001068115234,35.209999084472656,35.380001068115234,35.380001068115234,18114
2022-03-07 12:16:00-05:00,35.38999938964844,35.41999816894531,35.209999084472656,35.2400016784668,35.2400016784668,19337
2022-03-07 12:18:00-05:00,35.220001220703125,35.220001220703125,35.13999938964844,35.220001220703125,35.220001220703125,19286
2022-03-07 12:20:00-05:00,35.22999954223633,35.290000915527344,35.099998474121094,35.11000061035156,35.11000061035156,17165
2022-03-07 12:22:00-05:00,35.11000061035156,35.119998931884766,35.04999923706055,35.099998474121094,35.099998474121094,13493
2022-03-07 12:24:00-05:00,35.119998931884766,35.150001525878906,35.09000015258789,35.09000015258789,35.09000015258789,17022
2022-03-07 12:26:00-05:00,35.095001220703125,35.15999984741211,35.08000183105469,35.119998931884766,35.119998931884766,13473
2022-03-07 12:28:00-05:00,35.099998474121094,35.18000030517578,35.06999969482422,35.18000030517578,35.18000030517578,11047
2022-03-07 12:30:00-05:00,35.150001525878906,35.150001525878906,35.016998291015625,35.04999923706055,35.04999923706055,10675
2022-03-07 12:32:00-05:00,35.04999923706055,35.09000015258789,35.02000045776367,35.060001373291016,35.060001373291016,8858
2022-03-07 12:34:00-05:00,35.06999969482422,35.09000015258789,35.040000915527344,35.060001373291016,35.060001373291016,18351
2022-03-07 12:36:00-05:00,35.04990005493164,35.08000183105469,35.0099983215332,35.08000183105469,35.08000183105469,19235
2022-03-07 12:38:00-05:00,35.08000183105469,35.150001525878906,35.04999923706055,35.099998474121094,35.099998474121094,19674
2022-03-07 12:40:00-05:00,35.099998474121094,35.290000915527344,35.09000015258789,35.220001220703125,35.220001220703125,22750
2022-03-07 12:42:00-05:00,35.220001220703125,35.29999923706055,35.189998626708984,35.28099822998047,35.28099822998047,19217
2022-03-07 12:44:00-05:00,35.290000915527344,35.29999923706055,35.15999984741211,35.275001525878906,35.275001525878906,25670
2022-03-07 12:46:00-05:00,35.27989959716797,35.369998931884766,35.27000045776367,35.349998474121094,35.349998474121094,19278
2022-03-07 12:48:00-05:00,35.380001068115234,35.470001220703125,35.34000015258789,35.439998626708984,35.439998626708984,11557
2022-03-07 12:50:00-05:00,35.43000030517578,35.56890106201172,35.38999938964844,35.45500183105469,35.45500183105469,10002
2022-03-07 12:52:00-05:00,35.439998626708984,35.45000076293945,35.349998474121094,35.369998931884766,35.369998931884766,8562
2022-03-07 12:54:00-05:00,35.349998474121094,35.349998474121094,35.2400016784668,35.279998779296875,35.279998779296875,7817
2022-03-07 12:56:00-05:00,35.290000915527344,35.29499816894531,35.13999938964844,35.20000076293945,35.20000076293945,8962
2022-03-07 12:58:00-05:00,35.20000076293945,35.22999954223633,35.060001373291016,35.060001373291016,35.060001373291016,46705
2022-03-07 13:00:00-05:00,35.04999923706055,35.099998474121094,35.029998779296875,35.08000183105469,35.08000183105469,22120
2022-03-07 13:02:00-05:00,35.08000183105469,35.27000045776367,35.08000183105469,35.15999984741211,35.15999984741211,14887
2022-03-07 13:04:00-05:00,35.150001525878906,35.279998779296875,35.099998474121094,35.279998779296875,35.279998779296875,25571
2022-03-07 13:06:00-05:00,35.27000045776367,35.310001373291016,35.20000076293945,35.310001373291016,35.310001373291016,15908
2022-03-07 13:08:00-05:00,35.33000183105469,35.349998474121094,35.2400016784668,35.255001068115234,35.255001068115234,15134
2022-03-07 13:10:00-05:00,35.255001068115234,35.290000915527344,35.189998626708984,35.209999084472656,35.209999084472656,11586
2022-03-07 13:12:00-05:00,35.189998626708984,35.290000915527344,35.189998626708984,35.25,35.25,6332
2022-03-07 13:14:00-05:00,35.25,35.25,35.130001068115234,35.13999938964844,35.13999938964844,26644
2022-03-07 13:16:00-05:00,35.150001525878906,35.2599983215332,35.130001068115234,35.2400016784668,35.2400016784668,53955
2022-03-07 13:18:00-05:00,35.2400016784668,35.369998931884766,35.22999954223633,35.22999954223633,35.22999954223633,16191
2022-03-07 13:20:00-05:00,35.22999954223633,35.2400016784668,35.060001373291016,35.084999084472656,35.084999084472656,27377
2022-03-07 13:22:00-05:00,35.084999084472656,35.20000076293945,35.040000915527344,35.20000076293945,35.20000076293945,12962
2022-03-07 13:24:00-05:00,35.185001373291016,35.20000076293945,35.10499954223633,35.16999816894531,35.16999816894531,16379
2022-03-07 13:26:00-05:00,35.15999984741211,35.15999984741211,35.095001220703125,35.099998474121094,35.099998474121094,19298
2022-03-07 13:28:00-05:00,35.099998474121094,35.130001068115234,35.02000045776367,35.029998779296875,35.029998779296875,19304
2022-03-07 13:30:00-05:00,35.02000045776367,35.040000915527344,34.959999084472656,34.97999954223633,34.97999954223633,18817
2022-03-07 13:32:00-05:00,35.0,35.06999969482422,34.904998779296875,34.904998779296875,34.904998779296875,42453
2022-03-07 13:34:00-05:00,34.900001525878906,34.91999816894531,34.83000183105469,34.85499954223633,34.85499954223633,17336
2022-03-07 13:36:00-05:00,34.86000061035156,34.869998931884766,34.779998779296875,34.79999923706055,34.79999923706055,22786
2022-03-07 13:38:00-05:00,34.81999969482422,34.935001373291016,34.779998779296875,34.88999938964844,34.88999938964844,31625
2022-03-07 13:40:00-05:00,34.900001525878906,35.060001373291016,34.86000061035156,35.060001373291016,35.060001373291016,24934
2022-03-07 13:42:00-05:00,35.040000915527344,35.130001068115234,35.040000915527344,35.060001373291016,35.060001373291016,11377
2022-03-07 13:44:00-05:00,35.060001373291016,35.119998931884766,35.0,35.119998931884766,35.119998931884766,26377
2022-03-07 13:46:00-05:00,35.13999938964844,35.209999084472656,35.10499954223633,35.10499954223633,35.10499954223633,17800
2022-03-07 13:48:00-05:00,35.09000015258789,35.189998626708984,35.08000183105469,35.189998626708984,35.189998626708984,18960
2022-03-07 13:50:00-05:00,35.189998626708984,35.290000915527344,35.119998931884766,35.125,35.125,14707
2022-03-07 13:52:00-05:00,35.13999938964844,35.15999984741211,35.02000045776367,35.040000915527344,35.040000915527344,14173
