Datetime,Open,High,Low,Close,Adj Close,Volume
2021-03-23-04-00-00 GMT-0400,236.09,237.0,236.09,236.35,236.35,0
2021-03-23-04-02-00 GMT-0400,236.29,236.46,236.29,236.41,236.41,0
2021-03-23-04-04-00 GMT-0400,236.38,236.38,236.1,236.1,236.1,0
2021-03-23-04-06-00 GMT-0400,236.09,236.19,235.89,235.89,235.89,0
2021-03-23-04-08-00 GMT-0400,235.98,235.98,235.98,235.98,235.98,0
2021-03-23-04-10-00 GMT-0400,235.99,235.99,235.99,235.99,235.99,0
2021-03-23-04-12-00 GMT-0400,235.99,236.09,235.99,236.09,236.09,0
2021-03-23-04-14-00 GMT-0400,236.09,236.09,235.89,235.89,235.89,0
2021-03-23-04-18-00 GMT-0400,235.8,235.9,235.79,235.9,235.9,0
2021-03-23-04-20-00 GMT-0400,235.99,236.01,235.98,235.98,235.98,0
2021-03-23-04-22-00 GMT-0400,235.98,235.98,235.98,235.98,235.98,0
2021-03-23-04-26-00 GMT-0400,235.99,235.99,235.99,235.99,235.99,0
2021-03-23-04-28-00 GMT-0400,235.99,235.99,235.99,235.99,235.99,0
2021-03-23-04-30-00 GMT-0400,235.98,236.02,235.98,236.02,236.02,0
2021-03-23-04-32-00 GMT-0400,235.95,235.95,235.89,235.92,235.92,0
2021-03-23-04-34-00 GMT-0400,235.89,235.9,235.89,235.9,235.9,0
2021-03-23-04-36-00 GMT-0400,235.9,235.9,235.9,235.9,235.9,0
2021-03-23-04-38-00 GMT-0400,235.9,235.95,235.9,235.95,235.95,0
2021-03-23-04-40-00 GMT-0400,235.89,236.07,235.79,236.07,236.07,0
2021-03-23-04-42-00 GMT-0400,236.07,236.1,236.07,236.07,236.07,0
2021-03-23-04-44-00 GMT-0400,236.07,236.1,235.9,236.1,236.1,0
2021-03-23-04-46-00 GMT-0400,235.9,235.9,235.9,235.9,235.9,0
2021-03-23-04-48-00 GMT-0400,236.09,236.1,235.99,235.99,235.99,0
2021-03-23-04-50-00 GMT-0400,236.01,236.1,235.99,236.09,236.09,0
2021-03-23-04-54-00 GMT-0400,236.28,236.28,236.1,236.2,236.2,0
2021-03-23-04-58-00 GMT-0400,236.13,236.2,236.13,236.2,236.2,0
2021-03-23-05-00-00 GMT-0400,236.21,236.21,236.21,236.21,236.21,0
2021-03-23-05-02-00 GMT-0400,236.29,236.29,236.22,236.22,236.22,0
2021-03-23-05-06-00 GMT-0400,236.31,236.31,236.31,236.31,236.31,0
2021-03-23-05-10-00 GMT-0400,236.32,236.33,236.32,236.33,236.33,0
2021-03-23-05-14-00 GMT-0400,236.39,236.39,236.31,236.31,236.31,0
2021-03-23-05-16-00 GMT-0400,236.34,236.34,236.34,236.34,236.34,0
2021-03-23-05-18-00 GMT-0400,236.32,236.32,236.32,236.32,236.32,0
2021-03-23-05-20-00 GMT-0400,236.31,236.31,235.99,236.01,236.01,0
2021-03-23-05-22-00 GMT-0400,235.82,235.94,235.75,235.94,235.94,0
2021-03-23-05-24-00 GMT-0400,235.91,235.91,235.66,235.77,235.77,0
2021-03-23-05-26-00 GMT-0400,235.78,235.78,235.74,235.74,235.74,0
2021-03-23-05-28-00 GMT-0400,235.69,235.7,235.39,235.39,235.39,0
2021-03-23-05-30-00 GMT-0400,235.29,235.29,235.11,235.21,235.21,0
2021-03-23-05-32-00 GMT-0400,235.14,235.18,235.09,235.1,235.1,0
2021-03-23-05-34-00 GMT-0400,235.09,235.09,235.0,235.01,235.01,0
2021-03-23-05-36-00 GMT-0400,235.01,235.01,235.0,235.0,235.0,0
2021-03-23-05-38-00 GMT-0400,235.0,235.0,234.99,234.99,234.99,0
2021-03-23-05-40-00 GMT-0400,234.96,235.18,234.96,235.18,235.18,0
2021-03-23-05-42-00 GMT-0400,235.18,235.18,235.18,235.18,235.18,0
2021-03-23-05-44-00 GMT-0400,235.18,235.19,235.05,235.18,235.18,0
2021-03-23-05-46-00 GMT-0400,235.29,235.29,235.19,235.2,235.2,0
2021-03-23-05-48-00 GMT-0400,235.2,235.2,235.2,235.2,235.2,0
2021-03-23-05-50-00 GMT-0400,235.15,235.25,235.11,235.11,235.11,0
2021-03-23-05-52-00 GMT-0400,235.24,235.34,235.15,235.28,235.28,0
2021-03-23-05-54-00 GMT-0400,235.19,235.19,235.01,235.01,235.01,0
2021-03-23-05-56-00 GMT-0400,235.01,235.01,235.01,235.01,235.01,0
2021-03-23-05-58-00 GMT-0400,235.0,235.0,235.0,235.0,235.0,0
2021-03-23-06-02-00 GMT-0400,235.01,235.19,235.0,235.18,235.18,0
2021-03-23-06-04-00 GMT-0400,235.15,235.15,235.04,235.04,235.04,0
2021-03-23-06-08-00 GMT-0400,235.15,235.48,235.15,235.39,235.39,0
2021-03-23-06-10-00 GMT-0400,235.39,235.79,235.38,235.79,235.79,0
2021-03-23-06-12-00 GMT-0400,235.78,235.78,235.53,235.61,235.61,0
2021-03-23-06-14-00 GMT-0400,235.59,235.59,235.59,235.59,235.59,0
2021-03-23-06-16-00 GMT-0400,235.68,235.68,235.67,235.67,235.67,0
2021-03-23-06-18-00 GMT-0400,235.66,235.66,235.66,235.66,235.66,0
2021-03-23-06-20-00 GMT-0400,235.46,235.46,235.46,235.46,235.46,0
2021-03-23-06-24-00 GMT-0400,235.66,235.66,235.49,235.49,235.49,0
2021-03-23-06-26-00 GMT-0400,235.49,235.49,235.25,235.25,235.25,0
2021-03-23-06-28-00 GMT-0400,235.33,235.33,235.26,235.26,235.26,0
2021-03-23-06-30-00 GMT-0400,235.25,235.5,235.25,235.5,235.5,0
2021-03-23-06-34-00 GMT-0400,235.29,235.29,235.29,235.29,235.29,0
2021-03-23-06-36-00 GMT-0400,235.29,235.39,235.29,235.38,235.38,0
2021-03-23-06-38-00 GMT-0400,235.49,235.68,235.49,235.54,235.54,0
2021-03-23-06-46-00 GMT-0400,235.54,235.79,235.54,235.79,235.79,0
2021-03-23-06-48-00 GMT-0400,235.79,236.0,235.79,235.95,235.95,0
2021-03-23-06-50-00 GMT-0400,235.99,236.15,235.89,236.0,236.0,0
2021-03-23-06-52-00 GMT-0400,236.0,236.0,236.0,236.0,236.0,0
