Datetime,Open,High,Low,Close,Adj Close,Volume
2022-01-07-04-00-00 GMT-0500,556.0,556.0,551.71,552.15,552.15,0
2022-01-07-04-02-00 GMT-0500,552.27,552.27,552.15,552.27,552.27,0
2022-01-07-04-04-00 GMT-0500,552.57,553.07,550.48,550.5,550.5,0
2022-01-07-04-06-00 GMT-0500,550.46,550.5,550.22,550.22,550.22,0
2022-01-07-04-08-00 GMT-0500,550.42,550.77,550.24,550.43,550.43,0
2022-01-07-04-12-00 GMT-0500,551.8,551.8,551.8,551.8,551.8,0
2022-01-07-04-14-00 GMT-0500,551.01,552.0,551.01,552.0,552.0,0
2022-01-07-04-16-00 GMT-0500,551.01,551.03,551.01,551.01,551.01,0
2022-01-07-04-18-00 GMT-0500,551.03,551.03,551.03,551.03,551.03,0
2022-01-07-04-20-00 GMT-0500,551.01,551.01,551.01,551.01,551.01,0
2022-01-07-04-22-00 GMT-0500,551.01,551.55,550.41,551.11,551.11,0
2022-01-07-04-24-00 GMT-0500,552.09,552.09,552.09,552.09,552.09,0
2022-01-07-04-28-00 GMT-0500,552.0,552.0,551.11,551.11,551.11,0
2022-01-07-04-30-00 GMT-0500,551.11,551.14,551.11,551.14,551.14,0
2022-01-07-04-34-00 GMT-0500,552.77,552.77,552.77,552.77,552.77,0
2022-01-07-04-36-00 GMT-0500,552.77,553.65,552.77,553.65,553.65,0
2022-01-07-04-38-00 GMT-0500,552.77,553.53,552.5,553.53,553.53,0
2022-01-07-04-40-00 GMT-0500,553.14,553.4,553.14,553.4,553.4,0
2022-01-07-04-42-00 GMT-0500,552.5,553.17,552.5,553.17,553.17,0
2022-01-07-04-46-00 GMT-0500,553.9,553.9,553.9,553.9,553.9,0
2022-01-07-04-50-00 GMT-0500,552.58,552.58,552.35,552.35,552.35,0
2022-01-07-04-52-00 GMT-0500,552.88,552.88,552.44,552.64,552.64,0
2022-01-07-04-54-00 GMT-0500,553.23,553.84,552.05,553.0,553.0,0
2022-01-07-04-56-00 GMT-0500,553.08,553.08,553.0,553.0,553.0,0
2022-01-07-04-58-00 GMT-0500,553.5,553.56,553.0,553.0,553.0,0
2022-01-07-05-02-00 GMT-0500,553.01,553.01,553.0,553.0,553.0,0
2022-01-07-05-06-00 GMT-0500,553.3,553.3,553.3,553.3,553.3,0
2022-01-07-05-08-00 GMT-0500,553.78,553.78,553.78,553.78,553.78,0
2022-01-07-05-14-00 GMT-0500,553.94,554.04,553.91,554.04,554.04,0
2022-01-07-05-16-00 GMT-0500,553.95,553.95,553.81,553.81,553.81,0
2022-01-07-05-20-00 GMT-0500,554.0,554.0,554.0,554.0,554.0,0
2022-01-07-05-22-00 GMT-0500,553.83,554.0,553.83,554.0,554.0,0
2022-01-07-05-24-00 GMT-0500,554.27,554.46,554.14,554.41,554.41,0
2022-01-07-05-26-00 GMT-0500,554.29,555.3,554.29,555.3,555.3,0
2022-01-07-05-28-00 GMT-0500,554.53,554.53,554.26,554.35,554.35,0
2022-01-07-05-32-00 GMT-0500,554.37,554.86,554.37,554.86,554.86,0
2022-01-07-05-36-00 GMT-0500,554.86,554.86,554.86,554.86,554.86,0
