Datetime,Open,High,Low,Close,Adj Close,Volume
2021-10-08 04:00:00-04:00,95.1,95.1,94.74,94.79,94.79,0
2021-10-08 04:04:00-04:00,94.41,94.76,94.41,94.76,94.76,0
2021-10-08 04:08:00-04:00,94.36,94.36,94.2,94.25,94.25,0
2021-10-08 04:10:00-04:00,94.25,94.36,94.16,94.27,94.27,0
2021-10-08 04:12:00-04:00,94.27,94.27,94.27,94.27,94.27,0
2021-10-08 04:14:00-04:00,94.27,94.31,94.07,94.13,94.13,0
2021-10-08 04:18:00-04:00,94.13,94.13,94.13,94.13,94.13,0
2021-10-08 04:24:00-04:00,94.16,94.22,94.16,94.22,94.22,0
2021-10-08 04:26:00-04:00,94.15,94.15,94.14,94.14,94.14,0
2021-10-08 04:30:00-04:00,94.16,94.16,94.13,94.14,94.14,0
2021-10-08 04:34:00-04:00,94.1,94.77,94.1,94.71,94.71,0
2021-10-08 04:36:00-04:00,94.71,94.85,94.61,94.61,94.61,0
2021-10-08 04:38:00-04:00,94.8,94.81,94.8,94.81,94.81,0
2021-10-08 04:40:00-04:00,94.81,94.81,94.81,94.81,94.81,0
2021-10-08 04:56:00-04:00,94.61,94.61,94.61,94.61,94.61,0
2021-10-08 05:04:00-04:00,94.66,94.66,94.62,94.62,94.62,0
2021-10-08 05:06:00-04:00,94.63,94.63,94.6,94.6,94.6,0
2021-10-08 05:10:00-04:00,94.55,94.55,94.53,94.53,94.53,0
2021-10-08 05:12:00-04:00,94.57,94.57,94.53,94.53,94.53,0
2021-10-08 05:14:00-04:00,94.53,94.53,94.51,94.51,94.51,0
2021-10-08 05:16:00-04:00,94.53,94.53,94.5,94.5,94.5,0
2021-10-08 05:26:00-04:00,94.54,94.54,94.54,94.54,94.54,0
2021-10-08 05:30:00-04:00,94.51,94.6,94.5,94.6,94.6,0
2021-10-08 05:44:00-04:00,94.51,94.6,94.51,94.6,94.6,0
2021-10-08 05:52:00-04:00,94.51,94.63,94.51,94.6,94.6,0
2021-10-08 06:00:00-04:00,94.63,94.63,94.63,94.63,94.63,0
2021-10-08 06:18:00-04:00,94.77,94.8,94.77,94.8,94.8,0
2021-10-08 06:22:00-04:00,94.78,94.78,94.78,94.78,94.78,0
2021-10-08 06:30:00-04:00,94.83,94.87,94.78,94.87,94.87,0
2021-10-08 06:36:00-04:00,94.78,94.8,94.77,94.8,94.8,0
2021-10-08 06:46:00-04:00,94.8,94.82,94.8,94.82,94.82,0
2021-10-08 06:50:00-04:00,94.82,94.94,94.81,94.94,94.94,0
2021-10-08 07:00:00-04:00,94.91,95.0,94.8,95.0,95.0,0
2021-10-08 07:02:00-04:00,94.98,95.01,94.98,95.0,95.0,0
2021-10-08 07:04:00-04:00,94.98,94.98,94.95,94.98,94.98,0
2021-10-08 07:06:00-04:00,94.98,94.98,94.98,94.98,94.98,0
2021-10-08 07:10:00-04:00,94.89,94.89,94.89,94.89,94.89,0
2021-10-08 07:12:00-04:00,94.98,95.1,94.95,95.1,95.1,0
2021-10-08 07:16:00-04:00,94.84,95.2,94.8,95.2,95.2,0
2021-10-08 07:18:00-04:00,95.32,95.38,95.1,95.1,95.1,0
2021-10-08 07:20:00-04:00,95.11,95.49,95.11,95.49,95.49,0
2021-10-08 07:26:00-04:00,95.43,95.45,95.43,95.45,95.45,0
2021-10-08 07:28:00-04:00,95.39,95.44,95.39,95.44,95.44,0
2021-10-08 07:30:00-04:00,95.37,95.37,95.14,95.31,95.31,0
2021-10-08 07:32:00-04:00,95.44,95.45,95.44,95.45,95.45,0
2021-10-08 07:36:00-04:00,95.34,95.39,95.34,95.39,95.39,0
2021-10-08 07:40:00-04:00,95.28,95.28,95.28,95.28,95.28,0
2021-10-08 07:46:00-04:00,95.36,95.36,95.3,95.3,95.3,0
2021-10-08 07:52:00-04:00,95.13,95.13,94.99,94.99,94.99,0
2021-10-08 07:56:00-04:00,94.86,94.86,94.86,94.86,94.86,0
2021-10-08 08:00:00-04:00,95.2,95.3,94.8,94.99,94.99,0
2021-10-08 08:04:00-04:00,95.21,95.3,95.21,95.3,95.3,0
2021-10-08 08:06:00-04:00,95.23,95.3,95.2,95.28,95.28,0
2021-10-08 08:10:00-04:00,95.2999,95.2999,95.25,95.25,95.25,0
2021-10-08 08:12:00-04:00,95.2,95.38,95.2,95.38,95.38,0
2021-10-08 08:18:00-04:00,95.2,95.2,95.2,95.2,95.2,0
2021-10-08 08:20:00-04:00,95.18,95.19,95.18,95.19,95.19,0
2021-10-08 08:24:00-04:00,95.14,95.34,95.14,95.34,95.34,0
2021-10-08 08:28:00-04:00,95.3,95.5,95.0,95.21,95.21,0
2021-10-08 08:32:00-04:00,95.3,95.56,95.0,95.0,95.0,0
2021-10-08 08:34:00-04:00,94.95,94.95,94.93,94.93,94.93,0
2021-10-08 08:36:00-04:00,95.3,95.99,95.3,95.99,95.99,0
2021-10-08 08:38:00-04:00,96.0,96.04,95.98,95.98,95.98,0
2021-10-08 08:42:00-04:00,95.95,96.0,95.95,95.99,95.99,0
2021-10-08 08:46:00-04:00,96.0,96.0,95.65,95.99,95.99,0
2021-10-08 08:48:00-04:00,96.0,96.0,95.3,95.3,95.3,0
2021-10-08 08:50:00-04:00,95.96,95.9899,95.51,95.51,95.51,0
2021-10-08 08:52:00-04:00,95.35,95.5,95.31,95.5,95.5,0
2021-10-08 08:54:00-04:00,95.9899,95.9899,95.45,95.5,95.5,0
2021-10-08 08:56:00-04:00,95.5,95.63,95.45,95.63,95.63,0
2021-10-08 08:58:00-04:00,95.99,95.99,95.3,95.7,95.7,0
2021-10-08 09:00:00-04:00,95.56,95.99,95.51,95.9899,95.9899,0
2021-10-08 09:02:00-04:00,95.51,95.51,95.5,95.5,95.5,0
2021-10-08 09:04:00-04:00,95.62,95.75,95.6,95.7,95.7,0
2021-10-08 09:06:00-04:00,95.75,95.75,95.6,95.74,95.74,0
2021-10-08 09:08:00-04:00,95.75,95.75,95.5,95.5,95.5,0
2021-10-08 09:10:00-04:00,95.3182,95.39,95.3182,95.39,95.39,0
2021-10-08 09:12:00-04:00,95.5,95.5,95.38,95.38,95.38,0
2021-10-08 09:16:00-04:00,95.46,95.59,95.46,95.59,95.59,0
2021-10-08 09:18:00-04:00,95.46,95.46,95.46,95.46,95.46,0
2021-10-08 09:22:00-04:00,95.45,95.9353,95.45,95.9353,95.9353,0
2021-10-08 09:24:00-04:00,95.45,95.88,95.45,95.88,95.88,0
2021-10-08 09:26:00-04:00,95.88,96.2,95.52,96.2,96.2,0
2021-10-08 09:28:00-04:00,95.95,96.22,95.95,96.21,96.21,0
2021-10-08 09:30:00-04:00,96.0,96.77999877929688,95.81999969482422,96.66000366210938,96.66000366210938,392025
2021-10-08 09:32:00-04:00,96.62000274658205,97.0,95.81999969482422,95.88500213623048,95.88500213623048,162604
2021-10-08 09:34:00-04:00,95.87999725341797,96.06999969482422,95.30000305175781,95.75,95.75,111457
2021-10-08 09:36:00-04:00,95.71499633789062,95.94000244140624,95.10009765625,95.30500030517578,95.30500030517578,56239
2021-10-08 09:38:00-04:00,95.27999877929688,95.5199966430664,94.6500015258789,95.37999725341795,95.37999725341795,51486
2021-10-08 09:40:00-04:00,95.5,96.02999877929688,95.5,95.8000030517578,95.8000030517578,62295
2021-10-08 09:42:00-04:00,95.80000305175781,95.94000244140625,95.51000213623047,95.72000122070312,95.72000122070312,48863
2021-10-08 09:44:00-04:00,95.68000030517578,96.02999877929688,95.38999938964844,95.83999633789062,95.83999633789062,112693
2021-10-08 09:46:00-04:00,95.77999877929688,95.86000061035156,95.51000213623048,95.66000366210938,95.66000366210938,75609
2021-10-08 09:48:00-04:00,95.55999755859376,95.79000091552734,95.0999984741211,95.79000091552734,95.79000091552734,74603
2021-10-08 09:50:00-04:00,95.76000213623048,95.8499984741211,95.48999786376952,95.5500030517578,95.5500030517578,53773
2021-10-08 09:52:00-04:00,95.5199966430664,95.5999984741211,94.7300033569336,94.87989807128906,94.87989807128906,84054
2021-10-08 09:54:00-04:00,94.81999969482422,95.04000091552734,94.5,94.88999938964844,94.88999938964844,144577
2021-10-08 09:56:00-04:00,94.87000274658205,94.97000122070312,94.75,94.97000122070312,94.97000122070312,72448
2021-10-08 09:58:00-04:00,94.97000122070312,95.06999969482422,94.43000030517578,94.44000244140625,94.44000244140625,71352
2021-10-08 10:00:00-04:00,94.4999008178711,94.83000183105469,94.31999969482422,94.69499969482422,94.69499969482422,68889
2021-10-08 10:02:00-04:00,94.68280029296875,95.08999633789062,94.44000244140625,95.01000213623047,95.01000213623047,89589
2021-10-08 10:04:00-04:00,95.08000183105467,95.4000015258789,94.95999908447266,95.30999755859376,95.30999755859376,62025
2021-10-08 10:06:00-04:00,95.30000305175781,95.30000305175781,94.87999725341797,95.1500015258789,95.1500015258789,60975
2021-10-08 10:08:00-04:00,95.16169738769531,95.47000122070312,95.13999938964844,95.36000061035156,95.36000061035156,52275
2021-10-08 10:10:00-04:00,95.37000274658205,95.44000244140624,95.07109832763672,95.13999938964844,95.13999938964844,55285
2021-10-08 10:12:00-04:00,95.1449966430664,95.66000366210938,95.05000305175781,95.1500015258789,95.1500015258789,92674
2021-10-08 10:14:00-04:00,95.12000274658205,95.1500015258789,94.80999755859376,95.04000091552734,95.04000091552734,39436
2021-10-08 10:16:00-04:00,95.05000305175781,95.68000030517578,95.02999877929688,95.54499816894531,95.54499816894531,50785
2021-10-08 10:18:00-04:00,95.5199966430664,95.5199966430664,94.93000030517578,95.05500030517578,95.05500030517578,55702
2021-10-08 10:20:00-04:00,95.0199966430664,95.16999816894531,94.94999694824219,95.15499877929688,95.15499877929688,25990
2021-10-08 10:22:00-04:00,95.18900299072266,95.87999725341795,95.16500091552734,95.6999969482422,95.6999969482422,80982
2021-10-08 10:24:00-04:00,95.79000091552734,95.94000244140624,95.72000122070312,95.81999969482422,95.81999969482422,24375
2021-10-08 10:26:00-04:00,95.8000030517578,95.95999908447266,95.79000091552734,95.93499755859376,95.93499755859376,39879
2021-10-08 10:28:00-04:00,95.91000366210938,96.1698989868164,95.7699966430664,95.94000244140625,95.94000244140625,54684
2021-10-08 10:30:00-04:00,95.97000122070312,96.31999969482422,95.94000244140625,96.2699966430664,96.2699966430664,53252
2021-10-08 10:32:00-04:00,96.33999633789062,96.45999908447266,95.5999984741211,95.63999938964844,95.63999938964844,63607
2021-10-08 10:34:00-04:00,95.61000061035156,95.6500015258789,95.16999816894531,95.27069854736328,95.27069854736328,32914
2021-10-08 10:36:00-04:00,95.2750015258789,95.45999908447266,95.25,95.43000030517578,95.43000030517578,24221
2021-10-08 10:38:00-04:00,95.41000366210938,95.53990173339844,95.29840087890624,95.4198989868164,95.4198989868164,31077
2021-10-08 10:40:00-04:00,95.41999816894533,95.45999908447266,95.2300033569336,95.41000366210938,95.41000366210938,38249
2021-10-08 10:42:00-04:00,95.38009643554688,95.38009643554688,94.9000015258789,94.91000366210938,94.91000366210938,33807
2021-10-08 10:44:00-04:00,94.91999816894533,94.98999786376952,94.68000030517578,94.68000030517578,94.68000030517578,39426
2021-10-08 10:46:00-04:00,94.69499969482422,94.80000305175781,94.5999984741211,94.79000091552734,94.79000091552734,28946
2021-10-08 10:48:00-04:00,94.70999908447266,94.77989959716797,94.62999725341797,94.72000122070312,94.72000122070312,19155
2021-10-08 10:50:00-04:00,94.70999908447266,94.91000366210938,94.68000030517578,94.91000366210938,94.91000366210938,31517
2021-10-08 10:52:00-04:00,94.91000366210938,95.1500015258789,94.91000366210938,95.13500213623048,95.13500213623048,31791
2021-10-08 10:54:00-04:00,95.1500015258789,95.20999908447266,95.01000213623047,95.0999984741211,95.0999984741211,25057
2021-10-08 10:56:00-04:00,95.0999984741211,95.12000274658205,94.9000015258789,94.96499633789062,94.96499633789062,23864
2021-10-08 10:58:00-04:00,94.95999908447266,95.19000244140624,94.83000183105467,95.13999938964844,95.13999938964844,25466
2021-10-08 11:00:00-04:00,95.1050033569336,95.2300033569336,94.91999816894533,95.2300033569336,95.2300033569336,16170
2021-10-08 11:02:00-04:00,95.25,95.61109924316406,95.25,95.5199966430664,95.5199966430664,28933
2021-10-08 11:04:00-04:00,95.4800033569336,95.4800033569336,94.87999725341795,94.87999725341795,94.87999725341795,36986
2021-10-08 11:06:00-04:00,94.90499877929688,95.06999969482422,94.8000030517578,94.8000030517578,94.8000030517578,38034
2021-10-08 11:08:00-04:00,94.77999877929688,95.16999816894531,94.7300033569336,95.1500015258789,95.1500015258789,34737
2021-10-08 11:10:00-04:00,95.12000274658205,95.12000274658205,94.83000183105467,94.9499969482422,94.9499969482422,13806
2021-10-08 11:12:00-04:00,94.9800033569336,95.04000091552734,94.77999877929688,94.77999877929688,94.77999877929688,15472
2021-10-08 11:14:00-04:00,94.76000213623048,94.94000244140624,94.76000213623048,94.94000244140624,94.94000244140624,17958
2021-10-08 11:16:00-04:00,94.9499969482422,95.06999969482422,94.87000274658205,94.87000274658205,94.87000274658205,16447
2021-10-08 11:18:00-04:00,94.87000274658205,94.95999908447266,94.79000091552734,94.86000061035156,94.86000061035156,16193
2021-10-08 11:20:00-04:00,94.83000183105469,94.94000244140625,94.66380310058594,94.8499984741211,94.8499984741211,80024
2021-10-08 11:22:00-04:00,94.88999938964844,95.0,94.70999908447266,95.0,95.0,49168
2021-10-08 11:24:00-04:00,94.93000030517578,95.0199966430664,94.68000030517578,94.86499786376953,94.86499786376953,42415
2021-10-08 11:26:00-04:00,94.84100341796876,95.3000030517578,94.84100341796876,95.3000030517578,95.3000030517578,20890
2021-10-08 11:28:00-04:00,95.26000213623048,95.58999633789062,95.23999786376952,95.55999755859376,95.55999755859376,38471
2021-10-08 11:30:00-04:00,95.5199966430664,95.52300262451172,95.36000061035156,95.43990325927734,95.43990325927734,16464
2021-10-08 11:32:00-04:00,95.44999694824219,95.4800033569336,95.19000244140625,95.2300033569336,95.2300033569336,10582
2021-10-08 11:34:00-04:00,95.19000244140624,95.19000244140624,94.75,94.75,94.75,36249
