Datetime,Open,High,Low,Close,Adj Close,Volume
2021-10-12-04-00-00 GMT-0400,357.83,357.83,357.33,357.4,357.4,0
2021-10-12-04-01-00 GMT-0400,357.42,357.7,357.42,357.65,357.65,0
2021-10-12-04-02-00 GMT-0400,357.66,357.66,357.58,357.6,357.6,0
2021-10-12-04-03-00 GMT-0400,357.59,357.59,357.48,357.54,357.54,0
2021-10-12-04-04-00 GMT-0400,357.6,357.6,357.43,357.43,357.43,0
2021-10-12-04-05-00 GMT-0400,357.4,357.4,357.28,357.28,357.28,0
2021-10-12-04-06-00 GMT-0400,357.3,357.5,357.3,357.47,357.47,0
2021-10-12-04-07-00 GMT-0400,357.44,357.44,357.44,357.44,357.44,0
2021-10-12-04-08-00 GMT-0400,357.49,357.49,357.45,357.45,357.45,0
2021-10-12-04-09-00 GMT-0400,357.4,357.4,357.34,357.39,357.39,0
2021-10-12-04-10-00 GMT-0400,357.43,357.48,357.42,357.48,357.48,0
2021-10-12-04-11-00 GMT-0400,357.45,357.5,357.44,357.5,357.5,0
2021-10-12-04-13-00 GMT-0400,357.42,357.42,357.27,357.32,357.32,0
2021-10-12-04-15-00 GMT-0400,357.37,357.39,357.37,357.39,357.39,0
2021-10-12-04-16-00 GMT-0400,357.32,357.32,357.23,357.27,357.27,0
2021-10-12-04-17-00 GMT-0400,357.2,357.25,357.2,357.25,357.25,0
2021-10-12-04-18-00 GMT-0400,357.25,357.25,357.1,357.1,357.1,0
2021-10-12-04-19-00 GMT-0400,357.21,357.21,357.17,357.17,357.17,0
2021-10-12-04-20-00 GMT-0400,357.15,357.27,357.09,357.27,357.27,0
2021-10-12-04-21-00 GMT-0400,357.3,357.42,357.3,357.4,357.4,0
2021-10-12-04-22-00 GMT-0400,357.41,357.51,357.41,357.46,357.46,0
2021-10-12-04-23-00 GMT-0400,357.48,357.77,357.48,357.74,357.74,0
2021-10-12-04-24-00 GMT-0400,357.68,357.83,357.68,357.77,357.77,0
2021-10-12-04-25-00 GMT-0400,357.84,357.87,357.74,357.74,357.74,0
2021-10-12-04-26-00 GMT-0400,357.71,357.72,357.71,357.72,357.72,0
2021-10-12-04-27-00 GMT-0400,357.66,357.68,357.62,357.62,357.62,0
2021-10-12-04-28-00 GMT-0400,357.58,357.59,357.54,357.59,357.59,0
2021-10-12-04-29-00 GMT-0400,357.61,357.74,357.61,357.74,357.74,0
2021-10-12-04-30-00 GMT-0400,357.74,357.77,357.68,357.75,357.75,0
2021-10-12-04-31-00 GMT-0400,357.72,357.76,357.71,357.76,357.76,0
2021-10-12-04-32-00 GMT-0400,357.68,357.69,357.67,357.67,357.67,0
2021-10-12-04-33-00 GMT-0400,357.58,357.62,357.56,357.62,357.62,0
2021-10-12-04-34-00 GMT-0400,357.72,357.76,357.72,357.76,357.76,0
2021-10-12-04-35-00 GMT-0400,357.78,357.82,357.74,357.75,357.75,0
2021-10-12-04-36-00 GMT-0400,357.77,357.87,357.77,357.87,357.87,0
2021-10-12-04-37-00 GMT-0400,357.88,357.89,357.75,357.75,357.75,0
2021-10-12-04-38-00 GMT-0400,357.77,357.8,357.74,357.8,357.8,0
2021-10-12-04-39-00 GMT-0400,357.77,357.84,357.75,357.84,357.84,0
2021-10-12-04-40-00 GMT-0400,357.87,357.92,357.87,357.92,357.92,0
2021-10-12-04-41-00 GMT-0400,357.92,357.92,357.91,357.91,357.91,0
2021-10-12-04-42-00 GMT-0400,357.94,357.99,357.87,357.87,357.87,0
2021-10-12-04-43-00 GMT-0400,357.9,357.9,357.85,357.85,357.85,0
2021-10-12-04-44-00 GMT-0400,357.88,357.88,357.87,357.87,357.87,0
2021-10-12-04-45-00 GMT-0400,357.95,358.05,357.95,357.96,357.96,0
2021-10-12-04-46-00 GMT-0400,357.98,358.14,357.98,358.06,358.06,0
2021-10-12-04-47-00 GMT-0400,358.1,358.2,358.1,358.12,358.12,0
2021-10-12-04-48-00 GMT-0400,358.19,358.26,358.19,358.26,358.26,0
2021-10-12-04-49-00 GMT-0400,358.3,358.33,358.25,358.26,358.26,0
2021-10-12-04-50-00 GMT-0400,358.3,358.41,358.29,358.38,358.38,0
2021-10-12-04-51-00 GMT-0400,358.43,358.48,358.43,358.46,358.46,0
2021-10-12-04-52-00 GMT-0400,358.35,358.35,358.29,358.31,358.31,0
2021-10-12-04-53-00 GMT-0400,358.31,358.33,358.25,358.3,358.3,0
2021-10-12-04-54-00 GMT-0400,358.3,358.32,358.26,358.27,358.27,0
2021-10-12-04-55-00 GMT-0400,358.27,358.32,358.27,358.32,358.32,0
2021-10-12-04-56-00 GMT-0400,358.33,358.33,358.28,358.28,358.28,0
2021-10-12-04-57-00 GMT-0400,358.27,358.33,358.27,358.33,358.33,0
2021-10-12-04-58-00 GMT-0400,358.35,358.35,358.33,358.33,358.33,0
2021-10-12-05-00-00 GMT-0400,358.39,358.47,358.39,358.47,358.47,0
2021-10-12-05-01-00 GMT-0400,358.5,358.5,358.43,358.47,358.47,0
2021-10-12-05-02-00 GMT-0400,358.49,358.64,358.45,358.64,358.64,0
2021-10-12-05-03-00 GMT-0400,358.64,358.64,358.52,358.52,358.52,0
2021-10-12-05-04-00 GMT-0400,358.53,358.63,358.53,358.62,358.62,0
2021-10-12-05-05-00 GMT-0400,358.62,358.71,358.61,358.71,358.71,0
2021-10-12-05-06-00 GMT-0400,358.71,358.85,358.71,358.83,358.83,0
2021-10-12-05-07-00 GMT-0400,358.83,358.83,358.79,358.81,358.81,0
2021-10-12-05-08-00 GMT-0400,358.83,358.87,358.74,358.8,358.8,0
2021-10-12-05-09-00 GMT-0400,358.75,358.75,358.64,358.64,358.64,0
2021-10-12-05-10-00 GMT-0400,358.64,358.65,358.57,358.65,358.65,0
2021-10-12-05-11-00 GMT-0400,358.61,358.61,358.57,358.57,358.57,0
2021-10-12-05-12-00 GMT-0400,358.57,358.64,358.57,358.64,358.64,0
2021-10-12-05-13-00 GMT-0400,358.7,358.72,358.7,358.72,358.72,0
2021-10-12-05-14-00 GMT-0400,358.75,358.8,358.75,358.8,358.8,0
2021-10-12-05-16-00 GMT-0400,359.05,359.06,359.04,359.04,359.04,0
2021-10-12-05-17-00 GMT-0400,359.08,359.08,359.0,359.08,359.08,0
2021-10-12-05-18-00 GMT-0400,359.08,359.17,359.06,359.15,359.15,0
2021-10-12-05-19-00 GMT-0400,359.11,359.13,359.06,359.07,359.07,0
2021-10-12-05-20-00 GMT-0400,359.07,359.12,359.02,359.05,359.05,0
2021-10-12-05-21-00 GMT-0400,359.09,359.11,359.07,359.07,359.07,0
2021-10-12-05-22-00 GMT-0400,359.08,359.08,359.05,359.05,359.05,0
2021-10-12-05-23-00 GMT-0400,359.09,359.16,359.05,359.1,359.1,0
2021-10-12-05-24-00 GMT-0400,359.05,359.05,359.05,359.05,359.05,0
2021-10-12-05-25-00 GMT-0400,359.0,359.0,358.98,358.98,358.98,0
2021-10-12-05-26-00 GMT-0400,359.06,359.08,359.05,359.05,359.05,0
2021-10-12-05-27-00 GMT-0400,359.07,359.08,359.04,359.08,359.08,0
2021-10-12-05-28-00 GMT-0400,359.11,359.11,359.11,359.11,359.11,0
2021-10-12-05-29-00 GMT-0400,359.04,359.06,359.04,359.06,359.06,0
2021-10-12-05-30-00 GMT-0400,359.04,359.06,359.0,359.03,359.03,0
2021-10-12-05-31-00 GMT-0400,359.05,359.08,359.04,359.04,359.04,0
2021-10-12-05-32-00 GMT-0400,359.09,359.11,359.04,359.1,359.1,0
2021-10-12-05-33-00 GMT-0400,359.08,359.08,359.0,359.0,359.0,0
2021-10-12-05-34-00 GMT-0400,358.99,359.05,358.99,359.05,359.05,0
2021-10-12-05-35-00 GMT-0400,359.05,359.05,359.0,359.0,359.0,0
2021-10-12-05-36-00 GMT-0400,358.99,359.02,358.99,359.0,359.0,0
2021-10-12-05-37-00 GMT-0400,358.96,358.99,358.92,358.98,358.98,0
2021-10-12-05-38-00 GMT-0400,358.93,358.96,358.93,358.95,358.95,0
2021-10-12-05-39-00 GMT-0400,358.93,358.93,358.9,358.9,358.9,0
2021-10-12-05-40-00 GMT-0400,358.9,358.9,358.86,358.86,358.86,0
2021-10-12-05-41-00 GMT-0400,358.95,359.03,358.93,359.03,359.03,0
2021-10-12-05-42-00 GMT-0400,359.01,359.01,358.96,358.96,358.96,0
2021-10-12-05-43-00 GMT-0400,358.95,358.97,358.95,358.97,358.97,0
2021-10-12-05-44-00 GMT-0400,359.01,359.01,359.0,359.0,359.0,0
2021-10-12-05-45-00 GMT-0400,358.98,359.0,358.98,359.0,359.0,0
2021-10-12-05-46-00 GMT-0400,359.03,359.08,358.99,358.99,358.99,0
2021-10-12-05-47-00 GMT-0400,359.01,359.02,358.95,358.96,358.96,0
2021-10-12-05-48-00 GMT-0400,358.95,358.96,358.93,358.96,358.96,0
2021-10-12-05-49-00 GMT-0400,359.0,359.02,359.0,359.02,359.02,0
2021-10-12-05-50-00 GMT-0400,359.02,359.07,359.02,359.07,359.07,0
2021-10-12-05-51-00 GMT-0400,359.07,359.07,359.04,359.04,359.04,0
2021-10-12-05-52-00 GMT-0400,359.13,359.16,359.13,359.14,359.14,0
2021-10-12-05-54-00 GMT-0400,359.05,359.08,359.05,359.07,359.07,0
2021-10-12-05-55-00 GMT-0400,359.04,359.08,359.02,359.05,359.05,0
2021-10-12-05-57-00 GMT-0400,359.07,359.07,359.07,359.07,359.07,0
2021-10-12-05-59-00 GMT-0400,359.01,359.01,358.97,358.97,358.97,0
2021-10-12-06-02-00 GMT-0400,359.02,359.02,359.01,359.01,359.01,0
2021-10-12-06-03-00 GMT-0400,359.1,359.25,359.1,359.25,359.25,0
2021-10-12-06-04-00 GMT-0400,359.13,359.13,359.1,359.11,359.11,0
2021-10-12-06-05-00 GMT-0400,359.09,359.09,359.09,359.09,359.09,0
