Datetime,Open,High,Low,Close,Adj Close,Volume
2022-05-10 04:00:00-04:00,23.75,23.75,23.75,23.75,23.75,0
2022-05-10 04:01:00-04:00,23.58,23.58,23.31,23.31,23.31,0
2022-05-10 04:03:00-04:00,23.95,23.95,23.95,23.95,23.95,0
2022-05-10 04:07:00-04:00,23.94,23.94,23.89,23.89,23.89,0
2022-05-10 04:08:00-04:00,23.9,23.9,23.9,23.9,23.9,0
2022-05-10 04:12:00-04:00,23.89,23.89,23.89,23.89,23.89,0
2022-05-10 04:13:00-04:00,23.94,23.97,23.88,23.97,23.97,0
2022-05-10 04:15:00-04:00,23.97,23.97,23.97,23.97,23.97,0
2022-05-10 04:18:00-04:00,23.98,23.98,23.98,23.98,23.98,0
2022-05-10 04:21:00-04:00,23.98,23.98,23.86,23.86,23.86,0
2022-05-10 04:30:00-04:00,23.96,23.96,23.96,23.96,23.96,0
2022-05-10 04:41:00-04:00,23.86,23.86,23.83,23.83,23.83,0
2022-05-10 04:42:00-04:00,23.79,23.79,23.79,23.79,23.79,0
2022-05-10 04:43:00-04:00,23.77,23.78,23.77,23.78,23.78,0
2022-05-10 04:46:00-04:00,23.67,23.67,23.67,23.67,23.67,0
2022-05-10 04:48:00-04:00,23.78,23.78,23.78,23.78,23.78,0
2022-05-10 04:50:00-04:00,23.77,23.78,23.75,23.75,23.75,0
2022-05-10 04:58:00-04:00,23.74,23.74,23.74,23.74,23.74,0
2022-05-10 05:05:00-04:00,23.76,23.76,23.76,23.76,23.76,0
2022-05-10 05:08:00-04:00,23.75,23.75,23.74,23.74,23.74,0
2022-05-10 05:15:00-04:00,23.81,23.81,23.77,23.77,23.77,0
2022-05-10 05:19:00-04:00,23.78,23.78,23.76,23.76,23.76,0
2022-05-10 05:22:00-04:00,23.78,23.78,23.67,23.72,23.72,0
2022-05-10 05:26:00-04:00,23.71,23.73,23.66,23.73,23.73,0
2022-05-10 05:37:00-04:00,23.73,23.73,23.67,23.67,23.67,0
2022-05-10 05:40:00-04:00,23.78,23.86,23.77,23.86,23.86,0
2022-05-10 05:45:00-04:00,23.88,23.88,23.86,23.86,23.86,0
2022-05-10 05:46:00-04:00,23.98,23.99,23.88,23.88,23.88,0
2022-05-10 05:47:00-04:00,23.87,23.87,23.87,23.87,23.87,0
2022-05-10 05:48:00-04:00,23.86,23.86,23.85,23.85,23.85,0
2022-05-10 05:52:00-04:00,23.84,23.84,23.8,23.8,23.8,0
2022-05-10 06:22:00-04:00,23.7,23.7,23.7,23.7,23.7,0
2022-05-10 07:00:00-04:00,23.59,23.77,23.52,23.73,23.73,0
2022-05-10 07:01:00-04:00,23.72,23.72,23.72,23.72,23.72,0
2022-05-10 07:02:00-04:00,23.66,23.66,23.66,23.66,23.66,0
2022-05-10 07:04:00-04:00,23.69,23.69,23.68,23.68,23.68,0
2022-05-10 07:06:00-04:00,23.66,23.66,23.52,23.52,23.52,0
2022-05-10 07:09:00-04:00,23.58,23.58,23.58,23.58,23.58,0
2022-05-10 07:10:00-04:00,23.58,23.58,23.53,23.55,23.55,0
2022-05-10 07:11:00-04:00,23.55,23.62,23.55,23.6,23.6,0
2022-05-10 07:12:00-04:00,23.56,23.56,23.55,23.55,23.55,0
2022-05-10 07:13:00-04:00,23.6,23.6,23.6,23.6,23.6,0
2022-05-10 07:16:00-04:00,23.61,23.61,23.61,23.61,23.61,0
2022-05-10 07:18:00-04:00,23.61,23.61,23.59,23.595,23.595,0
2022-05-10 07:19:00-04:00,23.59,23.6,23.59,23.59,23.59,0
2022-05-10 07:20:00-04:00,23.57,23.59,23.52,23.52,23.52,0
2022-05-10 07:23:00-04:00,23.54,23.54,23.54,23.54,23.54,0
