Datetime,Open,High,Low,Close,Adj Close,Volume
2021-02-04-04-00-00 GMT-0500,101.85,101.96,101.85,101.94,101.94,0
2021-02-04-04-02-00 GMT-0500,101.92,101.92,101.85,101.86,101.86,0
2021-02-04-04-04-00 GMT-0500,101.88,101.9,101.88,101.88,101.88,0
2021-02-04-04-06-00 GMT-0500,101.89,101.89,101.8,101.8,101.8,0
2021-02-04-04-08-00 GMT-0500,101.77,101.82,101.77,101.82,101.82,0
2021-02-04-04-10-00 GMT-0500,101.78,101.78,101.78,101.78,101.78,0
2021-02-04-04-12-00 GMT-0500,101.8,101.8,101.73,101.79,101.79,0
2021-02-04-04-14-00 GMT-0500,101.85,101.85,101.85,101.85,101.85,0
2021-02-04-04-16-00 GMT-0500,101.88,101.88,101.88,101.88,101.88,0
2021-02-04-04-20-00 GMT-0500,101.88,101.94,101.88,101.94,101.94,0
2021-02-04-04-22-00 GMT-0500,101.86,101.86,101.86,101.86,101.86,0
2021-02-04-04-24-00 GMT-0500,101.83,101.84,101.81,101.81,101.81,0
2021-02-04-04-26-00 GMT-0500,101.82,101.82,101.81,101.81,101.81,0
2021-02-04-04-28-00 GMT-0500,101.81,101.87,101.81,101.87,101.87,0
2021-02-04-04-30-00 GMT-0500,101.8,101.92,101.8,101.92,101.92,0
2021-02-04-04-32-00 GMT-0500,101.92,101.95,101.9,101.9,101.9,0
2021-02-04-04-34-00 GMT-0500,101.95,101.95,101.88,101.9,101.9,0
2021-02-04-04-36-00 GMT-0500,101.88,101.88,101.88,101.88,101.88,0
2021-02-04-04-38-00 GMT-0500,101.9,101.9,101.9,101.9,101.9,0
2021-02-04-04-40-00 GMT-0500,101.85,101.85,101.81,101.81,101.81,0
2021-02-04-04-42-00 GMT-0500,101.81,101.85,101.81,101.85,101.85,0
2021-02-04-04-48-00 GMT-0500,101.8,101.8,101.8,101.8,101.8,0
2021-02-04-04-52-00 GMT-0500,101.83,101.83,101.78,101.78,101.78,0
2021-02-04-04-56-00 GMT-0500,101.8,101.8,101.8,101.8,101.8,0
2021-02-04-04-58-00 GMT-0500,101.84,101.84,101.84,101.84,101.84,0
2021-02-04-05-00-00 GMT-0500,101.84,101.84,101.77,101.77,101.77,0
2021-02-04-05-04-00 GMT-0500,101.74,101.74,101.67,101.7,101.7,0
2021-02-04-05-06-00 GMT-0500,101.68,101.7,101.68,101.7,101.7,0
2021-02-04-05-10-00 GMT-0500,101.76,101.83,101.76,101.83,101.83,0
2021-02-04-05-12-00 GMT-0500,101.87,101.87,101.8,101.8,101.8,0
2021-02-04-05-14-00 GMT-0500,101.81,101.81,101.74,101.74,101.74,0
2021-02-04-05-16-00 GMT-0500,101.79,101.81,101.77,101.8,101.8,0
2021-02-04-05-18-00 GMT-0500,101.81,101.81,101.8,101.8,101.8,0
2021-02-04-05-20-00 GMT-0500,101.74,101.74,101.74,101.74,101.74,0
2021-02-04-05-24-00 GMT-0500,101.77,101.77,101.77,101.77,101.77,0
2021-02-04-05-26-00 GMT-0500,101.8,101.8,101.8,101.8,101.8,0
2021-02-04-05-30-00 GMT-0500,101.91,101.91,101.86,101.86,101.86,0
2021-02-04-05-32-00 GMT-0500,101.85,101.89,101.85,101.89,101.89,0
2021-02-04-05-34-00 GMT-0500,101.89,101.9,101.89,101.9,101.9,0
2021-02-04-05-36-00 GMT-0500,101.98,101.98,101.95,101.95,101.95,0
2021-02-04-05-38-00 GMT-0500,101.97,101.97,101.97,101.97,101.97,0
2021-02-04-05-40-00 GMT-0500,101.91,101.93,101.89,101.89,101.89,0
2021-02-04-05-44-00 GMT-0500,101.96,101.96,101.91,101.91,101.91,0
2021-02-04-05-46-00 GMT-0500,101.95,101.95,101.92,101.92,101.92,0
2021-02-04-05-48-00 GMT-0500,101.92,102.0,101.92,102.0,102.0,0
2021-02-04-05-50-00 GMT-0500,102.03,102.11,102.03,102.11,102.11,0
2021-02-04-05-52-00 GMT-0500,102.1,102.1,102.07,102.07,102.07,0
2021-02-04-05-54-00 GMT-0500,102.05,102.05,101.99,101.99,101.99,0
2021-02-04-05-56-00 GMT-0500,102.02,102.02,102.02,102.02,102.02,0
2021-02-04-05-58-00 GMT-0500,101.99,101.99,101.99,101.99,101.99,0
2021-02-04-06-00-00 GMT-0500,101.99,101.99,101.94,101.94,101.94,0
2021-02-04-06-04-00 GMT-0500,101.99,102.08,101.98,102.08,102.08,0
2021-02-04-06-06-00 GMT-0500,102.07,102.07,102.05,102.06,102.06,0
2021-02-04-06-10-00 GMT-0500,102.02,102.02,102.02,102.02,102.02,0
2021-02-04-06-12-00 GMT-0500,101.96,101.96,101.96,101.96,101.96,0
2021-02-04-06-14-00 GMT-0500,101.93,101.95,101.92,101.94,101.94,0
2021-02-04-06-16-00 GMT-0500,101.98,101.98,101.94,101.94,101.94,0
2021-02-04-06-22-00 GMT-0500,101.94,101.95,101.91,101.91,101.91,0
2021-02-04-06-24-00 GMT-0500,101.93,101.93,101.92,101.92,101.92,0
2021-02-04-06-26-00 GMT-0500,101.97,101.98,101.97,101.98,101.98,0
2021-02-04-06-28-00 GMT-0500,101.95,101.95,101.95,101.95,101.95,0
2021-02-04-06-32-00 GMT-0500,101.98,102.0,101.98,102.0,102.0,0
2021-02-04-06-34-00 GMT-0500,101.98,101.98,101.95,101.95,101.95,0
2021-02-04-06-38-00 GMT-0500,101.96,101.96,101.96,101.96,101.96,0
2021-02-04-06-40-00 GMT-0500,101.96,101.96,101.9,101.9,101.9,0
2021-02-04-06-42-00 GMT-0500,101.9,101.9,101.83,101.83,101.83,0
2021-02-04-06-44-00 GMT-0500,101.77,101.77,101.69,101.69,101.69,0
2021-02-04-06-46-00 GMT-0500,101.67,101.68,101.66,101.68,101.68,0
2021-02-04-06-48-00 GMT-0500,101.7,101.7,101.55,101.55,101.55,0
2021-02-04-06-50-00 GMT-0500,101.52,101.52,101.45,101.47,101.47,0
2021-02-04-06-52-00 GMT-0500,101.47,101.47,101.4,101.42,101.42,0
2021-02-04-06-54-00 GMT-0500,101.45,101.45,101.35,101.38,101.38,0
2021-02-04-06-56-00 GMT-0500,101.47,101.47,101.46,101.46,101.46,0
2021-02-04-06-58-00 GMT-0500,101.5,101.5,101.44,101.48,101.48,0
2021-02-04-07-00-00 GMT-0500,101.46,101.71,101.46,101.66,101.66,0
2021-02-04-07-02-00 GMT-0500,101.67,101.75,101.65,101.75,101.75,0
2021-02-04-07-04-00 GMT-0500,101.74,101.89,101.73,101.89,101.89,0
2021-02-04-07-06-00 GMT-0500,101.88,102.06,101.88,102.03,102.03,0
2021-02-04-07-08-00 GMT-0500,102.03,102.03,101.95,101.95,101.95,0
2021-02-04-07-10-00 GMT-0500,102.0,102.05,101.99,102.0,102.0,0
2021-02-04-07-12-00 GMT-0500,102.0,102.01,101.99,102.0,102.0,0
2021-02-04-07-14-00 GMT-0500,102.0,102.04,101.99,102.03,102.03,0
2021-02-04-07-16-00 GMT-0500,102.03,102.12,102.03,102.1,102.1,0
2021-02-04-07-18-00 GMT-0500,102.1,102.11,102.07,102.07,102.07,0
2021-02-04-07-20-00 GMT-0500,102.06,102.07,101.95,101.95,101.95,0
2021-02-04-07-22-00 GMT-0500,101.95,101.98,101.94,101.96,101.96,0
2021-02-04-07-24-00 GMT-0500,101.94,101.94,101.76,101.76,101.76,0
2021-02-04-07-26-00 GMT-0500,101.8,101.8,101.7,101.7,101.7,0
2021-02-04-07-28-00 GMT-0500,101.73,101.73,101.68,101.7,101.7,0
2021-02-04-07-30-00 GMT-0500,101.7,101.77,101.66,101.75,101.75,0
2021-02-04-07-32-00 GMT-0500,101.75,101.82,101.75,101.82,101.82,0
2021-02-04-07-34-00 GMT-0500,101.79,101.8,101.78,101.79,101.79,0
2021-02-04-07-36-00 GMT-0500,101.81,101.85,101.77,101.77,101.77,0
2021-02-04-07-38-00 GMT-0500,101.77,101.78,101.74,101.76,101.76,0
2021-02-04-07-40-00 GMT-0500,101.76,101.91,101.76,101.9,101.9,0
2021-02-04-07-42-00 GMT-0500,101.9,101.94,101.89,101.94,101.94,0
2021-02-04-07-44-00 GMT-0500,101.94,101.98,101.93,101.96,101.96,0
2021-02-04-07-46-00 GMT-0500,101.98,102.03,101.97,102.03,102.03,0
2021-02-04-07-48-00 GMT-0500,102.03,102.03,101.96,102.0,102.0,0
2021-02-04-07-50-00 GMT-0500,102.0,102.05,101.99,102.0,102.0,0
2021-02-04-07-52-00 GMT-0500,101.98,102.02,101.93,102.01,102.01,0
2021-02-04-07-54-00 GMT-0500,102.01,102.04,101.98,101.98,101.98,0
2021-02-04-07-56-00 GMT-0500,101.98,102.0,101.96,101.96,101.96,0
2021-02-04-07-58-00 GMT-0500,102.0,102.0,101.96,102.0,102.0,0
2021-02-04-08-00-00 GMT-0500,102.0,102.13,101.53,102.03,102.03,0
2021-02-04-08-02-00 GMT-0500,102.0,102.0,101.9,101.99,101.99,0
2021-02-04-08-04-00 GMT-0500,101.99,102.04,101.97,102.0,102.0,0
2021-02-04-08-06-00 GMT-0500,102.02,102.06,102.01,102.01,102.01,0
2021-02-04-08-08-00 GMT-0500,102.02,102.05,102.0,102.0,102.0,0
2021-02-04-08-10-00 GMT-0500,102.05,102.28,102.02,102.26,102.26,0
2021-02-04-08-12-00 GMT-0500,102.26,102.27,102.2,102.27,102.27,0
2021-02-04-08-14-00 GMT-0500,102.26,102.34,102.26,102.34,102.34,0
2021-02-04-08-16-00 GMT-0500,102.33,102.35,102.28,102.31,102.31,0
2021-02-04-08-18-00 GMT-0500,102.3,102.34,102.25,102.26,102.26,0
2021-02-04-08-20-00 GMT-0500,102.26,102.27,102.22,102.2596,102.2596,0
2021-02-04-08-22-00 GMT-0500,102.26,102.28,102.23,102.26,102.26,0
2021-02-04-08-24-00 GMT-0500,102.26,102.29,102.21,102.29,102.29,0
2021-02-04-08-26-00 GMT-0500,102.3,102.31,102.26,102.28,102.28,0
2021-02-04-08-28-00 GMT-0500,102.25,102.3,102.14,102.25,102.25,0
2021-02-04-08-30-00 GMT-0500,102.19,102.2901,102.15,102.2901,102.2901,0
2021-02-04-08-32-00 GMT-0500,102.27,102.3,102.2,102.2,102.2,0
2021-02-04-08-34-00 GMT-0500,102.2,102.21,102.0,102.0,102.0,0
2021-02-04-08-36-00 GMT-0500,102.02,102.09,102.0,102.08,102.08,0
2021-02-04-08-38-00 GMT-0500,102.08,102.1,101.98,101.98,101.98,0
2021-02-04-08-40-00 GMT-0500,102.0,102.12,101.91,102.12,102.12,0
