Datetime,Open,High,Low,Close,Adj Close,Volume
2021-07-20-04-00-00 GMT-0400,648.52,652.15,648.33,652.15,652.15,0
2021-07-20-04-02-00 GMT-0400,652.0,654.0,650.22,651.5,651.5,0
2021-07-20-04-04-00 GMT-0400,652.0,653.0,651.49,652.5,652.5,0
2021-07-20-04-06-00 GMT-0400,652.51,653.0,652.25,652.25,652.25,0
2021-07-20-04-08-00 GMT-0400,652.25,652.29,651.23,651.5,651.5,0
2021-07-20-04-10-00 GMT-0400,651.5,652.59,651.5,652.59,652.59,0
2021-07-20-04-12-00 GMT-0400,652.79,653.33,652.79,652.98,652.98,0
2021-07-20-04-14-00 GMT-0400,653.09,653.8,653.0,653.7,653.7,0
2021-07-20-04-16-00 GMT-0400,653.85,653.85,652.4,652.69,652.69,0
2021-07-20-04-18-00 GMT-0400,652.98,653.41,652.43,652.5,652.5,0
2021-07-20-04-20-00 GMT-0400,652.5,652.98,652.5,652.97,652.97,0
2021-07-20-04-22-00 GMT-0400,652.7,653.38,652.6,652.9,652.9,0
2021-07-20-04-24-00 GMT-0400,653.01,653.38,652.98,653.0,653.0,0
2021-07-20-04-26-00 GMT-0400,653.01,653.38,653.0,653.07,653.07,0
2021-07-20-04-28-00 GMT-0400,653.07,653.34,653.07,653.2,653.2,0
2021-07-20-04-30-00 GMT-0400,653.3,654.77,653.18,654.74,654.74,0
2021-07-20-04-32-00 GMT-0400,654.69,654.7,654.11,654.11,654.11,0
2021-07-20-04-34-00 GMT-0400,654.17,654.28,653.02,653.8,653.8,0
2021-07-20-04-36-00 GMT-0400,653.75,654.3,653.32,654.1,654.1,0
2021-07-20-04-38-00 GMT-0400,654.05,654.12,653.87,654.12,654.12,0
2021-07-20-04-40-00 GMT-0400,654.73,654.73,653.05,653.49,653.49,0
2021-07-20-04-42-00 GMT-0400,653.24,654.71,653.24,654.55,654.55,0
2021-07-20-04-44-00 GMT-0400,654.02,654.07,653.51,653.85,653.85,0
2021-07-20-04-46-00 GMT-0400,653.99,654.0,653.49,653.88,653.88,0
2021-07-20-04-48-00 GMT-0400,653.68,653.68,653.0,653.51,653.51,0
2021-07-20-04-50-00 GMT-0400,653.48,653.68,652.03,652.03,652.03,0
2021-07-20-04-52-00 GMT-0400,652.46,652.72,652.3,652.72,652.72,0
2021-07-20-04-54-00 GMT-0400,653.0,653.41,652.96,653.41,653.41,0
2021-07-20-04-56-00 GMT-0400,653.41,653.55,653.0,653.0,653.0,0
2021-07-20-04-58-00 GMT-0400,653.01,653.01,653.0,653.0,653.0,0
2021-07-20-05-00-00 GMT-0400,653.0,653.5,652.8,653.0,653.0,0
2021-07-20-05-02-00 GMT-0400,653.0,653.0,652.0,652.33,652.33,0
2021-07-20-05-04-00 GMT-0400,652.33,652.6,652.3,652.3,652.3,0
2021-07-20-05-06-00 GMT-0400,652.3,652.67,652.3,652.52,652.52,0
2021-07-20-05-08-00 GMT-0400,652.51,652.51,652.51,652.51,652.51,0
2021-07-20-05-10-00 GMT-0400,652.51,652.99,652.3,652.3,652.3,0
