Datetime,Open,High,Low,Close,Adj Close,Volume
2021-10-28-04-00-00 GMT-0400,55.1,55.15,55.07,55.15,55.15,0
2021-10-28-04-01-00 GMT-0400,55.24,55.24,55.1,55.15,55.15,0
2021-10-28-04-02-00 GMT-0400,55.14,55.19,55.1,55.15,55.15,0
2021-10-28-04-03-00 GMT-0400,55.15,55.16,55.15,55.16,55.16,0
2021-10-28-04-04-00 GMT-0400,55.18,55.19,55.15,55.19,55.19,0
2021-10-28-04-05-00 GMT-0400,55.19,55.19,55.17,55.17,55.17,0
2021-10-28-04-06-00 GMT-0400,55.17,55.17,55.17,55.17,55.17,0
2021-10-28-04-08-00 GMT-0400,55.17,55.17,55.12,55.14,55.14,0
2021-10-28-04-09-00 GMT-0400,55.14,55.14,55.14,55.14,55.14,0
2021-10-28-04-10-00 GMT-0400,55.14,55.14,55.06,55.06,55.06,0
2021-10-28-04-11-00 GMT-0400,55.06,55.1,55.05,55.06,55.06,0
2021-10-28-04-12-00 GMT-0400,55.06,55.08,55.06,55.08,55.08,0
2021-10-28-04-13-00 GMT-0400,55.06,55.06,55.05,55.06,55.06,0
2021-10-28-04-14-00 GMT-0400,55.05,55.06,55.05,55.06,55.06,0
2021-10-28-04-15-00 GMT-0400,55.06,55.06,55.05,55.05,55.05,0
2021-10-28-04-18-00 GMT-0400,55.06,55.06,55.06,55.06,55.06,0
2021-10-28-04-27-00 GMT-0400,55.05,55.05,54.97,54.97,54.97,0
2021-10-28-04-29-00 GMT-0400,55.0,55.0,55.0,55.0,55.0,0
2021-10-28-04-31-00 GMT-0400,55.04,55.06,55.04,55.06,55.06,0
2021-10-28-04-32-00 GMT-0400,55.04,55.04,55.0,55.0,55.0,0
2021-10-28-04-33-00 GMT-0400,55.04,55.04,55.04,55.04,55.04,0
2021-10-28-04-41-00 GMT-0400,55.03,55.03,55.0,55.0,55.0,0
2021-10-28-04-43-00 GMT-0400,55.0,55.04,55.0,55.04,55.04,0
2021-10-28-04-44-00 GMT-0400,55.02,55.02,55.0,55.0,55.0,0
2021-10-28-04-46-00 GMT-0400,55.01,55.02,54.93,55.02,55.02,0
2021-10-28-04-47-00 GMT-0400,55.02,55.02,54.98,54.98,54.98,0
2021-10-28-04-48-00 GMT-0400,55.0,55.0,54.97,54.97,54.97,0
2021-10-28-04-49-00 GMT-0400,54.97,55.04,54.97,55.04,55.04,0
2021-10-28-04-51-00 GMT-0400,55.04,55.04,55.02,55.02,55.02,0
2021-10-28-04-52-00 GMT-0400,55.03,55.03,55.03,55.03,55.03,0
2021-10-28-04-56-00 GMT-0400,55.04,55.05,55.04,55.05,55.05,0
2021-10-28-04-57-00 GMT-0400,55.0,55.0,54.95,54.95,54.95,0
2021-10-28-05-01-00 GMT-0400,55.09,55.13,55.09,55.13,55.13,0
2021-10-28-05-05-00 GMT-0400,55.14,55.14,55.12,55.14,55.14,0
2021-10-28-05-08-00 GMT-0400,55.12,55.15,55.12,55.15,55.15,0
2021-10-28-05-09-00 GMT-0400,55.14,55.14,55.1,55.1,55.1,0
2021-10-28-05-10-00 GMT-0400,55.1,55.1,55.1,55.1,55.1,0
2021-10-28-05-11-00 GMT-0400,55.1,55.11,55.1,55.11,55.11,0
2021-10-28-05-12-00 GMT-0400,55.06,55.06,55.0,55.0,55.0,0
2021-10-28-05-14-00 GMT-0400,55.08,55.11,55.0,55.09,55.09,0
2021-10-28-05-15-00 GMT-0400,55.07,55.07,55.06,55.06,55.06,0
2021-10-28-05-18-00 GMT-0400,55.05,55.05,55.01,55.01,55.01,0
2021-10-28-05-19-00 GMT-0400,55.01,55.01,54.97,54.97,54.97,0
2021-10-28-05-20-00 GMT-0400,54.97,54.97,54.96,54.96,54.96,0
2021-10-28-05-22-00 GMT-0400,54.97,55.11,54.97,55.11,55.11,0
2021-10-28-05-24-00 GMT-0400,55.09,55.09,55.0,55.0,55.0,0
2021-10-28-05-25-00 GMT-0400,55.0,55.04,55.0,55.0,55.0,0
2021-10-28-05-27-00 GMT-0400,55.0,55.0,54.96,54.96,54.96,0
2021-10-28-05-28-00 GMT-0400,54.99,54.99,54.99,54.99,54.99,0
2021-10-28-05-29-00 GMT-0400,55.0,55.11,55.0,55.06,55.06,0
2021-10-28-05-34-00 GMT-0400,55.1,55.13,55.1,55.1,55.1,0
2021-10-28-05-44-00 GMT-0400,55.12,55.12,55.1,55.1,55.1,0
2021-10-28-05-48-00 GMT-0400,55.14,55.14,55.1,55.14,55.14,0
2021-10-28-05-49-00 GMT-0400,55.11,55.11,55.11,55.11,55.11,0
2021-10-28-05-52-00 GMT-0400,55.14,55.15,55.14,55.14,55.14,0
2021-10-28-05-53-00 GMT-0400,55.16,55.16,55.13,55.14,55.14,0
2021-10-28-05-54-00 GMT-0400,55.13,55.14,55.13,55.14,55.14,0
2021-10-28-05-55-00 GMT-0400,55.16,55.16,55.16,55.16,55.16,0
2021-10-28-05-57-00 GMT-0400,55.16,55.16,55.07,55.1,55.1,0
2021-10-28-05-58-00 GMT-0400,55.1,55.12,55.1,55.12,55.12,0
2021-10-28-06-00-00 GMT-0400,55.12,55.12,55.12,55.12,55.12,0
2021-10-28-06-01-00 GMT-0400,55.12,55.13,55.1,55.1,55.1,0
2021-10-28-06-03-00 GMT-0400,55.13,55.13,55.13,55.13,55.13,0
2021-10-28-06-04-00 GMT-0400,55.12,55.13,55.12,55.13,55.13,0
2021-10-28-06-05-00 GMT-0400,55.1,55.13,55.1,55.13,55.13,0
2021-10-28-06-12-00 GMT-0400,55.11,55.11,55.1,55.11,55.11,0
2021-10-28-06-14-00 GMT-0400,55.11,55.11,55.1,55.1,55.1,0
2021-10-28-06-20-00 GMT-0400,55.1,55.1,55.07,55.1,55.1,0
2021-10-28-06-29-00 GMT-0400,55.07,55.09,55.07,55.09,55.09,0
2021-10-28-06-30-00 GMT-0400,55.07,55.09,55.01,55.01,55.01,0
2021-10-28-06-31-00 GMT-0400,55.03,55.05,55.02,55.05,55.05,0
2021-10-28-06-32-00 GMT-0400,55.05,55.05,55.05,55.05,55.05,0
2021-10-28-06-35-00 GMT-0400,55.07,55.1,55.07,55.08,55.08,0
2021-10-28-06-36-00 GMT-0400,55.08,55.08,55.08,55.08,55.08,0
2021-10-28-06-37-00 GMT-0400,55.1,55.1,55.04,55.04,55.04,0
2021-10-28-06-40-00 GMT-0400,55.1,55.1,55.08,55.08,55.08,0
2021-10-28-06-45-00 GMT-0400,55.03,55.05,55.0,55.05,55.05,0
2021-10-28-06-52-00 GMT-0400,55.1,55.1,55.02,55.02,55.02,0
2021-10-28-06-53-00 GMT-0400,55.1,55.1,54.97,54.97,54.97,0
2021-10-28-06-54-00 GMT-0400,55.06,55.1,55.06,55.1,55.1,0
2021-10-28-06-59-00 GMT-0400,55.08,55.1,55.08,55.1,55.1,0
2021-10-28-07-00-00 GMT-0400,55.1,55.1,55.0,55.02,55.02,0
2021-10-28-07-01-00 GMT-0400,55.05,55.09,55.02,55.02,55.02,0
2021-10-28-07-02-00 GMT-0400,55.02,55.02,54.91,54.92,54.92,0
2021-10-28-07-03-00 GMT-0400,55.01,55.06,55.0,55.05,55.05,0
2021-10-28-07-04-00 GMT-0400,55.05,55.05,55.0,55.0,55.0,0
2021-10-28-07-06-00 GMT-0400,54.96,55.05,54.96,55.04,55.04,0
2021-10-28-07-07-00 GMT-0400,55.0,55.0,54.98,54.98,54.98,0
2021-10-28-07-08-00 GMT-0400,55.01,55.02,55.0,55.0,55.0,0
2021-10-28-07-11-00 GMT-0400,55.05,55.05,55.01,55.02,55.02,0
2021-10-28-07-12-00 GMT-0400,55.02,55.1,55.02,55.1,55.1,0
2021-10-28-07-13-00 GMT-0400,55.04,55.09,55.04,55.06,55.06,0
2021-10-28-07-14-00 GMT-0400,55.09,55.09,55.09,55.09,55.09,0
2021-10-28-07-15-00 GMT-0400,55.08,55.09,55.08,55.09,55.09,0
2021-10-28-07-17-00 GMT-0400,55.09,55.09,55.06,55.09,55.09,0
2021-10-28-07-18-00 GMT-0400,55.09,55.1,55.09,55.1,55.1,0
2021-10-28-07-19-00 GMT-0400,55.1,55.1,55.09,55.09,55.09,0
2021-10-28-07-23-00 GMT-0400,55.07,55.07,55.05,55.05,55.05,0
2021-10-28-07-24-00 GMT-0400,55.04,55.04,54.98,54.98,54.98,0
2021-10-28-07-25-00 GMT-0400,54.98,55.05,54.98,54.99,54.99,0
2021-10-28-07-26-00 GMT-0400,55.0,55.05,54.99,55.05,55.05,0
2021-10-28-07-27-00 GMT-0400,55.01,55.02,55.01,55.02,55.02,0
2021-10-28-07-29-00 GMT-0400,55.0,55.01,55.0,55.01,55.01,0
2021-10-28-07-31-00 GMT-0400,54.97,54.97,54.97,54.97,54.97,0
2021-10-28-07-35-00 GMT-0400,54.97,54.98,54.97,54.98,54.98,0
2021-10-28-07-38-00 GMT-0400,55.02,55.02,55.02,55.02,55.02,0
2021-10-28-07-40-00 GMT-0400,55.0,55.02,55.0,55.02,55.02,0
2021-10-28-07-41-00 GMT-0400,55.02,55.02,55.0,55.01,55.01,0
2021-10-28-07-45-00 GMT-0400,55.0,55.01,54.99,54.99,54.99,0
2021-10-28-07-48-00 GMT-0400,54.93,54.98,54.93,54.98,54.98,0
2021-10-28-07-50-00 GMT-0400,54.97,54.97,54.92,54.92,54.92,0
2021-10-28-07-51-00 GMT-0400,54.96,54.97,54.96,54.97,54.97,0
2021-10-28-07-53-00 GMT-0400,54.94,54.94,54.94,54.94,54.94,0
2021-10-28-07-54-00 GMT-0400,54.93,54.95,54.92,54.93,54.93,0
2021-10-28-07-55-00 GMT-0400,54.93,55.16,54.93,55.16,55.16,0
2021-10-28-07-56-00 GMT-0400,55.16,55.16,55.14,55.14,55.14,0
2021-10-28-08-00-00 GMT-0400,55.1,55.18,54.91,55.08,55.08,0
2021-10-28-08-01-00 GMT-0400,55.07,55.1,55.06,55.1,55.1,0
2021-10-28-08-02-00 GMT-0400,55.12,55.13,55.07,55.1,55.1,0
