Datetime,Open,High,Low,Close,Adj Close,Volume
2021-04-16-04-00-00 GMT-0400,60.93,60.93,60.73,60.73,60.73,0
2021-04-16-04-02-00 GMT-0400,60.73,60.73,60.4,60.4,60.4,0
2021-04-16-04-06-00 GMT-0400,60.74,60.74,60.74,60.74,60.74,0
2021-04-16-04-12-00 GMT-0400,60.74,60.74,60.74,60.74,60.74,0
2021-04-16-04-16-00 GMT-0400,60.74,60.74,60.74,60.74,60.74,0
2021-04-16-04-18-00 GMT-0400,60.74,60.74,60.74,60.74,60.74,0
2021-04-16-04-24-00 GMT-0400,60.41,60.41,60.41,60.41,60.41,0
2021-04-16-04-32-00 GMT-0400,60.73,60.74,60.73,60.74,60.74,0
2021-04-16-04-48-00 GMT-0400,60.73,60.73,60.73,60.73,60.73,0
2021-04-16-04-54-00 GMT-0400,60.75,60.75,60.75,60.75,60.75,0
2021-04-16-04-58-00 GMT-0400,60.75,60.75,60.75,60.75,60.75,0
2021-04-16-05-02-00 GMT-0400,60.76,60.76,60.76,60.76,60.76,0
2021-04-16-05-04-00 GMT-0400,60.76,60.76,60.75,60.75,60.75,0
2021-04-16-05-06-00 GMT-0400,60.65,60.65,60.65,60.65,60.65,0
2021-04-16-05-10-00 GMT-0400,60.67,60.67,60.67,60.67,60.67,0
2021-04-16-05-12-00 GMT-0400,60.7,60.7,60.61,60.61,60.61,0
2021-04-16-05-18-00 GMT-0400,60.61,60.61,60.61,60.61,60.61,0
2021-04-16-05-20-00 GMT-0400,60.7,60.7,60.7,60.7,60.7,0
2021-04-16-05-26-00 GMT-0400,60.76,60.76,60.76,60.76,60.76,0
2021-04-16-05-28-00 GMT-0400,60.76,60.76,60.61,60.61,60.61,0
2021-04-16-05-30-00 GMT-0400,60.61,60.61,60.61,60.61,60.61,0
2021-04-16-05-32-00 GMT-0400,60.61,60.61,60.61,60.61,60.61,0
2021-04-16-05-34-00 GMT-0400,60.61,60.61,60.61,60.61,60.61,0
2021-04-16-05-38-00 GMT-0400,60.7,60.7,60.61,60.61,60.61,0
2021-04-16-05-42-00 GMT-0400,60.61,60.61,60.61,60.61,60.61,0
2021-04-16-05-44-00 GMT-0400,60.61,60.61,60.61,60.61,60.61,0
2021-04-16-05-56-00 GMT-0400,60.65,60.65,60.62,60.62,60.62,0
2021-04-16-06-02-00 GMT-0400,60.62,60.62,60.62,60.62,60.62,0
2021-04-16-06-08-00 GMT-0400,60.7,60.7,60.7,60.7,60.7,0
2021-04-16-06-10-00 GMT-0400,60.7,60.7,60.7,60.7,60.7,0
2021-04-16-06-22-00 GMT-0400,60.81,60.81,60.81,60.81,60.81,0
2021-04-16-06-24-00 GMT-0400,60.7,60.7,60.7,60.7,60.7,0
2021-04-16-06-26-00 GMT-0400,60.7,60.7,60.7,60.7,60.7,0
2021-04-16-06-28-00 GMT-0400,60.7,60.7,60.7,60.7,60.7,0
2021-04-16-06-30-00 GMT-0400,60.7,60.7,60.62,60.62,60.62,0
2021-04-16-06-34-00 GMT-0400,60.63,60.63,60.62,60.62,60.62,0
2021-04-16-06-42-00 GMT-0400,60.62,60.7,60.61,60.61,60.61,0
2021-04-16-06-52-00 GMT-0400,60.61,60.61,60.61,60.61,60.61,0
2021-04-16-06-58-00 GMT-0400,60.81,60.81,60.81,60.81,60.81,0
2021-04-16-07-00-00 GMT-0400,60.7,60.73,60.65,60.65,60.65,0
2021-04-16-07-06-00 GMT-0400,60.64,60.65,60.64,60.64,60.64,0
2021-04-16-07-12-00 GMT-0400,60.67,60.67,60.67,60.67,60.67,0
2021-04-16-07-14-00 GMT-0400,60.74,60.75,60.73,60.73,60.73,0
2021-04-16-07-16-00 GMT-0400,60.75,60.77,60.73,60.73,60.73,0
2021-04-16-07-18-00 GMT-0400,60.74,60.74,60.74,60.74,60.74,0
2021-04-16-07-20-00 GMT-0400,60.75,60.75,60.73,60.73,60.73,0
2021-04-16-07-22-00 GMT-0400,60.76,60.76,60.76,60.76,60.76,0
2021-04-16-07-26-00 GMT-0400,60.77,60.77,60.77,60.77,60.77,0
2021-04-16-07-28-00 GMT-0400,60.77,60.77,60.77,60.77,60.77,0
2021-04-16-07-32-00 GMT-0400,60.76,60.76,60.76,60.76,60.76,0
2021-04-16-07-34-00 GMT-0400,60.75,60.75,60.73,60.73,60.73,0
2021-04-16-07-36-00 GMT-0400,60.76,60.76,60.73,60.73,60.73,0
2021-04-16-07-38-00 GMT-0400,60.74,60.77,60.74,60.77,60.77,0
2021-04-16-07-40-00 GMT-0400,60.76,60.76,60.75,60.75,60.75,0
2021-04-16-07-44-00 GMT-0400,60.76,60.76,60.76,60.76,60.76,0
2021-04-16-07-46-00 GMT-0400,60.75,60.75,60.74,60.75,60.75,0
2021-04-16-07-48-00 GMT-0400,60.75,60.75,60.72,60.73,60.73,0
2021-04-16-07-50-00 GMT-0400,60.77,60.77,60.77,60.77,60.77,0
