Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-01-02-00-00-00,0.14,0.14,0.14,0.14,120870400,0.0,0.0
1987-01-05-00-00-00,0.14,0.15,0.14,0.15,239680000,0.0,0.0
1987-01-06-00-00-00,0.15,0.15,0.15,0.15,324800000,0.0,0.0
1987-01-07-00-00-00,0.15,0.16,0.15,0.16,434560000,0.0,0.0
1987-01-08-00-00-00,0.16,0.16,0.16,0.16,291200000,0.0,0.0
1987-01-09-00-00-00,0.16,0.16,0.16,0.16,239680000,0.0,0.0
1987-01-12-00-00-00,0.16,0.16,0.16,0.16,232960000,0.0,0.0
1987-01-13-00-00-00,0.16,0.16,0.16,0.16,211724800,0.0,0.0
1987-01-14-00-00-00,0.16,0.17,0.16,0.17,504000000,0.0,0.0
1987-01-15-00-00-00,0.17,0.18,0.17,0.17,546560000,0.0,0.0
1987-01-16-00-00-00,0.18,0.18,0.17,0.17,407680000,0.0,0.0
1987-01-19-00-00-00,0.17,0.19,0.17,0.19,362880000,0.0,0.0
1987-01-20-00-00-00,0.19,0.2,0.18,0.18,775040000,0.0,0.0
1987-01-21-00-00-00,0.18,0.18,0.17,0.17,533120000,0.0,0.0
1987-01-22-00-00-00,0.17,0.18,0.17,0.18,472640000,0.0,0.0
1987-01-23-00-00-00,0.18,0.19,0.18,0.18,459200000,0.0,0.0
1987-01-26-00-00-00,0.18,0.18,0.17,0.17,351680000,0.0,0.0
1987-01-27-00-00-00,0.18,0.19,0.17,0.18,378560000,0.0,0.0
1987-01-28-00-00-00,0.19,0.2,0.18,0.19,414400000,0.0,0.0
1987-01-29-00-00-00,0.2,0.2,0.19,0.19,557760000,0.0,0.0
1987-01-30-00-00-00,0.19,0.2,0.18,0.19,409920000,0.0,0.0
