Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-01-00-00-00,129.68,131.75,128.0,130.92,4602200,0.0,0.0
2016-02-02-00-00-00,128.97,129.84,127.26,128.66,3881400,0.0,0.0
2016-02-03-00-00-00,128.99,129.57,126.05,129.15,4530600,0.0,0.0
2016-02-04-00-00-00,128.99,130.24,127.53,128.48,3685200,0.0,0.0
2016-02-05-00-00-00,127.64,128.04,123.15,124.31,6451900,0.0,0.0
2016-02-08-00-00-00,122.99,123.91,120.13,122.56,4627300,0.0,0.0
2016-02-09-00-00-00,120.86,124.82,120.69,122.7,4211100,0.0,0.0
2016-02-10-00-00-00,124.46,126.1,123.38,124.11,4273500,0.0,0.0
2016-02-11-00-00-00,121.48,123.84,120.86,122.08,4374400,1.0,0.0
2016-02-12-00-00-00,123.53,125.11,121.81,124.9,3218000,0.0,0.0
2016-02-16-00-00-00,126.77,127.78,125.73,127.0,3371300,0.0,0.0
2016-02-17-00-00-00,127.99,130.77,127.21,130.38,3811100,0.0,0.0
2016-02-18-00-00-00,130.14,131.49,128.66,128.85,2892100,0.0,0.0
2016-02-19-00-00-00,128.57,130.97,127.95,129.56,2796800,0.0,0.0
2016-02-22-00-00-00,128.35,129.26,126.81,128.21,4603300,0.0,0.0
2016-02-23-00-00-00,127.86,129.21,126.75,127.09,3315200,0.0,0.0
2016-02-24-00-00-00,125.57,127.1,124.2,126.96,3316100,0.0,0.0
2016-02-25-00-00-00,127.18,128.07,125.36,126.65,3446800,0.0,0.0
2016-02-26-00-00-00,128.17,129.02,126.82,127.38,3411500,0.0,0.0
2016-02-29-00-00-00,126.83,127.44,122.74,122.79,5193800,0.0,0.0
