Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-04-01-00-00-00,4.45,4.48,4.42,4.45,1279125,0.0,0.0
1985-04-02-00-00-00,4.45,4.46,4.34,4.34,1416150,0.0,0.0
1985-04-03-00-00-00,4.34,4.34,4.13,4.23,4373325,0.0,0.0
1985-04-04-00-00-00,4.23,4.23,4.16,4.22,2448900,0.0,0.0
1985-04-08-00-00-00,4.24,4.27,4.24,4.24,2053350,0.0,0.0
1985-04-09-00-00-00,4.24,4.24,4.05,4.17,2444850,0.0,0.0
1985-04-10-00-00-00,4.19,4.32,4.19,4.27,3536325,0.0,0.0
1985-04-11-00-00-00,4.3,4.35,4.3,4.33,2612925,0.0,0.0
1985-04-12-00-00-00,4.33,4.34,4.31,4.33,1493775,0.0,0.0
1985-04-15-00-00-00,4.33,4.36,4.31,4.33,1187325,0.0,0.0
1985-04-16-00-00-00,4.33,4.36,4.32,4.34,1940625,0.0,0.0
1985-04-17-00-00-00,4.35,4.41,4.35,4.41,1092825,0.0,0.0
1985-04-18-00-00-00,4.43,4.47,4.43,4.47,1576800,0.0,0.0
1985-04-19-00-00-00,4.47,4.48,4.44,4.48,1018575,0.0,0.0
1985-04-22-00-00-00,4.48,4.48,4.41,4.41,1120500,0.0,0.0
1985-04-23-00-00-00,4.41,4.43,4.35,4.4,1721925,0.0,0.0
1985-04-24-00-00-00,4.41,4.48,4.41,4.45,2986875,0.0,0.0
1985-04-25-00-00-00,4.45,4.52,4.44,4.5,2843100,0.0,0.0
1985-04-26-00-00-00,4.5,4.5,4.42,4.42,1256850,0.0,0.0
1985-04-29-00-00-00,4.4,4.4,4.32,4.34,2033100,0.0,0.0
1985-04-30-00-00-00,4.34,4.35,4.24,4.3,3970350,0.0,0.0
