Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-05-01-00-00-00,2.9,2.96,2.9,2.96,1036800,0.0,0.0
1991-05-02-00-00-00,2.96,3.02,2.96,2.99,1527200,0.0,0.0
1991-05-03-00-00-00,3.03,3.1,3.03,3.05,3572000,0.0,0.0
1991-05-06-00-00-00,3.05,3.06,2.99,3.02,2314400,0.0,0.0
1991-05-07-00-00-00,3.04,3.08,3.04,3.08,3559200,0.0,0.0
1991-05-08-00-00-00,3.08,3.12,3.07,3.12,2764000,0.0,0.0
1991-05-09-00-00-00,3.12,3.18,3.12,3.17,2522400,0.0,0.0
1991-05-10-00-00-00,3.17,3.18,3.1,3.15,2012000,0.0,0.0
1991-05-13-00-00-00,3.15,3.15,3.1,3.12,1440800,0.0,0.0
1991-05-14-00-00-00,3.1,3.1,3.05,3.07,1693600,0.0,0.0
1991-05-15-00-00-00,3.07,3.07,2.99,3.02,1932000,0.0,0.0
1991-05-16-00-00-00,3.02,3.03,2.99,3.03,1835200,0.0,0.0
1991-05-17-00-00-00,3.03,3.05,3.0,3.03,1694400,0.0,0.0
1991-05-20-00-00-00,3.03,3.05,2.99,3.0,1069600,0.0,0.0
1991-05-21-00-00-00,2.99,2.99,2.9,2.92,3941600,0.0,0.0
1991-05-22-00-00-00,2.92,2.92,2.83,2.84,3570400,0.0,0.0
1991-05-23-00-00-00,2.84,2.86,2.77,2.81,4782400,0.0,0.0
1991-05-24-00-00-00,2.81,2.82,2.8,2.8,2568800,0.0,0.0
1991-05-28-00-00-00,2.8,2.89,2.8,2.89,4444800,0.0,0.0
1991-05-29-00-00-00,2.89,2.93,2.86,2.89,3298400,0.0,0.0
1991-05-30-00-00-00,2.9,3.02,2.9,2.98,4867200,0.0,0.0
1991-05-31-00-00-00,3.01,3.14,3.01,3.14,5884800,0.0,0.0
