Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-06-01-00-00-00,7.26,7.81,7.23,7.76,8243200,0,0.0
2006-06-02-00-00-00,7.74,7.75,7.45,7.47,6800000,0,0.0
2006-06-05-00-00-00,7.62,7.65,7.4,7.44,6264000,0,0.0
2006-06-06-00-00-00,7.44,7.44,6.82,6.91,16804800,0,0.0
2006-06-07-00-00-00,7.0,7.05,6.74,6.75,14527200,0,0.0
2006-06-08-00-00-00,6.69,6.7,6.28,6.46,16263200,0,0.0
2006-06-09-00-00-00,6.69,6.74,6.47,6.51,13853600,0,0.0
2006-06-12-00-00-00,6.5,6.5,6.21,6.22,7443200,0,0.0
2006-06-13-00-00-00,6.12,6.38,6.03,6.3,8868800,0,0.0
2006-06-14-00-00-00,6.32,6.44,6.26,6.34,7262800,0,0.0
2006-06-15-00-00-00,6.43,6.91,6.43,6.83,10306000,0,0.0
2006-06-16-00-00-00,6.79,7.04,6.73,6.93,9407200,0,0.0
2006-06-19-00-00-00,6.95,6.95,6.72,6.75,7757200,0,0.0
2006-06-20-00-00-00,6.75,6.75,6.56,6.69,7250400,0,0.0
2006-06-21-00-00-00,6.67,6.99,6.65,6.94,6444400,0,0.0
2006-06-22-00-00-00,6.94,6.97,6.77,6.91,4012800,0,0.0
2006-06-23-00-00-00,6.84,7.09,6.83,6.95,3402400,0,0.0
2006-06-26-00-00-00,6.95,6.98,6.78,6.91,3843200,0,0.0
2006-06-27-00-00-00,6.88,6.91,6.7,6.8,4140000,0,0.0
2006-06-28-00-00-00,6.82,6.84,6.66,6.76,3804800,0,0.0
2006-06-29-00-00-00,6.78,6.86,6.69,6.8,9128400,0,0.0
2006-06-30-00-00-00,6.8,6.88,6.65,6.66,10911200,0,0.0
