Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-04-01-00-00-00,12.17,12.93,12.02,12.87,73415300,0.0,0.0
2009-04-02-00-00-00,13.15,13.72,13.12,13.38,88337600,0.0,0.0
2009-04-03-00-00-00,13.49,13.67,13.24,13.39,59472600,0.0,0.0
2009-04-06-00-00-00,12.95,13.01,12.59,12.93,63355500,0.0,0.0
2009-04-07-00-00-00,12.68,12.72,12.23,12.42,59902600,0.0,0.0
2009-04-08-00-00-00,12.75,12.78,12.49,12.63,45389100,0.0,0.0
2009-04-09-00-00-00,13.03,13.33,12.96,13.14,53094200,0.0,0.0
2009-04-13-00-00-00,13.16,13.31,13.1,13.19,33965000,0.0,0.0
2009-04-14-00-00-00,13.13,13.41,12.99,13.22,42813500,0.0,0.0
2009-04-15-00-00-00,13.09,13.27,12.79,12.95,51890600,0.0,0.0
2009-04-16-00-00-00,13.14,13.41,13.01,13.33,51379800,0.0,0.0
2009-04-17-00-00-00,13.35,13.4,13.15,13.27,55983700,0.0,0.0
2009-04-20-00-00-00,13.06,13.12,12.68,12.76,55165100,0.0,0.0
2009-04-21-00-00-00,12.68,13.12,12.64,13.04,45749000,0.0,0.0
2009-04-22-00-00-00,12.87,13.29,12.85,12.86,54728000,0.0,0.0
2009-04-23-00-00-00,12.92,13.01,12.63,12.99,44000300,0.0,0.0
2009-04-24-00-00-00,13.36,13.64,13.25,13.58,55664900,0.0,0.0
2009-04-27-00-00-00,13.35,13.71,13.28,13.55,42312900,0.0,0.0
2009-04-28-00-00-00,13.49,13.98,13.38,13.77,47820200,0.0,0.0
2009-04-29-00-00-00,13.88,14.4,13.81,14.19,48496600,0.0,0.0
2009-04-30-00-00-00,14.52,14.7,14.08,14.25,60350800,0.0,0.0
