Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-04-01-00-00-00,40.74,42.4,40.63,42.16,14299000,0.0,0.0
2009-04-02-00-00-00,43.21,44.0,42.9,43.4,18069100,0.0,0.0
2009-04-03-00-00-00,43.15,43.78,42.85,43.5,11574700,0.0,0.0
2009-04-06-00-00-00,43.05,43.24,42.39,43.14,10430600,0.0,0.0
2009-04-07-00-00-00,42.63,42.69,41.92,42.22,11086000,0.0,0.0
2009-04-08-00-00-00,41.81,42.65,41.61,42.27,11238900,0.0,0.0
2009-04-09-00-00-00,42.94,43.12,42.29,42.73,11057900,0.0,0.0
2009-04-13-00-00-00,41.63,42.07,41.06,41.96,12614700,0.0,0.0
2009-04-14-00-00-00,41.28,41.58,40.76,41.1,12971500,0.0,0.0
2009-04-15-00-00-00,41.0,41.32,40.49,41.17,11219200,0.0,0.0
2009-04-16-00-00-00,41.45,41.45,40.19,40.69,11959400,0.0,0.0
2009-04-17-00-00-00,41.0,41.19,40.57,40.74,12660500,0.0,0.0
2009-04-20-00-00-00,40.31,40.37,39.34,39.42,11753300,0.0,0.0
2009-04-21-00-00-00,39.23,40.1,38.92,40.05,12569800,0.0,0.0
2009-04-22-00-00-00,39.71,40.04,39.23,39.35,11932800,0.0,0.0
2009-04-23-00-00-00,39.78,40.57,39.5,40.45,12370800,0.0,0.0
2009-04-24-00-00-00,40.89,41.57,40.74,41.11,12615100,0.0,0.0
2009-04-27-00-00-00,40.32,40.76,40.02,40.37,12303400,0.0,0.0
2009-04-28-00-00-00,40.0,41.32,39.89,40.73,9261500,0.0,0.0
2009-04-29-00-00-00,41.11,41.79,40.79,41.7,11666100,0.0,0.0
2009-04-30-00-00-00,41.97,41.97,40.31,40.8,14107700,0.0,0.0
