Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-04-01-00-00-00,7.22,7.22,7.11,7.13,2749113,0.0,0.0
1991-04-02-00-00-00,7.13,7.29,7.13,7.29,3408414,0.0,0.0
1991-04-03-00-00-00,7.29,7.33,7.26,7.3,3803751,0.0,0.0
1991-04-04-00-00-00,7.3,7.43,7.27,7.33,5065180,0.0,0.0
1991-04-05-00-00-00,7.33,7.42,7.24,7.26,4138267,0.0,0.0
1991-04-08-00-00-00,7.27,7.27,7.15,7.22,2505829,0.014386,0.0
1991-04-09-00-00-00,7.21,7.21,7.13,7.13,4448454,0.0,0.0
1991-04-10-00-00-00,7.13,7.15,6.99,7.05,5372935,0.0,0.0
1991-04-11-00-00-00,7.05,7.07,6.99,6.99,6557729,0.0,0.0
1991-04-12-00-00-00,6.99,7.07,6.99,7.02,4370603,0.0,0.0
1991-04-15-00-00-00,7.02,7.1,7.02,7.08,4107856,0.0,0.0
1991-04-16-00-00-00,7.08,7.34,7.08,7.34,5456868,0.0,0.0
1991-04-17-00-00-00,7.34,7.47,7.34,7.36,6872783,0.0,0.0
1991-04-18-00-00-00,7.35,7.35,7.26,7.28,4418044,0.0,0.0
1991-04-19-00-00-00,7.24,7.24,7.12,7.13,6977395,0.0,0.0
1991-04-22-00-00-00,7.13,7.17,7.1,7.12,3010644,0.0,0.0
1991-04-23-00-00-00,7.18,7.25,7.18,7.24,3354891,0.0,0.0
1991-04-24-00-00-00,7.24,7.27,7.15,7.18,2280791,0.0,0.0
1991-04-25-00-00-00,7.18,7.18,6.99,7.0,3083629,0.0,0.0
1991-04-26-00-00-00,7.0,7.02,6.81,6.99,10127927,0.0,0.0
1991-04-29-00-00-00,6.99,7.07,6.97,6.99,7742524,0.0,0.0
1991-04-30-00-00-00,6.99,7.08,6.87,7.0,7617233,0.0,0.0
