Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-01-00-00-00,193.64,198.02,191.49,196.21,2230800,0.0,0
2020-06-02-00-00-00,199.98,202.66,197.58,200.35,4128700,0.0,0
2020-06-03-00-00-00,204.61,207.99,202.59,206.66,3471900,0.0,0
2020-06-04-00-00-00,204.91,210.99,204.09,210.83,3522300,0.0,0
2020-06-05-00-00-00,217.87,218.84,213.61,213.87,4737600,0.0,0
2020-06-08-00-00-00,215.93,218.13,214.18,216.71,3260300,0.0,0
2020-06-09-00-00-00,211.73,215.93,211.16,214.05,2478400,0.0,0
2020-06-10-00-00-00,213.35,215.76,208.84,209.55,3091200,0.0,0
2020-06-11-00-00-00,200.89,203.05,190.41,190.52,4923400,0.0,0
2020-06-12-00-00-00,196.89,199.17,192.56,198.03,3380800,0.0,0
2020-06-15-00-00-00,192.09,203.14,191.52,202.47,3467400,0.0,0
2020-06-16-00-00-00,210.98,210.98,199.94,205.69,3099100,0.0,0
2020-06-17-00-00-00,206.1,206.87,201.62,202.36,1798300,0.0,0
2020-06-18-00-00-00,200.2,203.41,198.9,200.05,2051700,0.0,0
2020-06-19-00-00-00,203.2,203.56,197.23,197.88,4962400,0.0,0
2020-06-22-00-00-00,197.25,200.78,196.28,199.64,1806900,0.0,0
2020-06-23-00-00-00,202.66,203.65,199.85,200.97,2451800,0.0,0
2020-06-24-00-00-00,198.58,198.84,193.71,194.34,2756700,0.0,0
2020-06-25-00-00-00,194.18,203.53,193.94,203.25,3466500,0.0,0
2020-06-26-00-00-00,195.3,196.52,185.01,185.67,9530700,0.0,0
2020-06-29-00-00-00,187.82,190.3,185.15,189.87,3736000,0.0,0
2020-06-30-00-00-00,190.24,194.72,190.02,193.95,3102800,0.0,0
