Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-01-02-00-00-00,12.7,12.73,12.3,12.6,3489300,0.0,0.0
1998-01-05-00-00-00,12.64,12.68,12.39,12.42,4658400,0.0,0.0
1998-01-06-00-00-00,12.3,12.5,12.3,12.5,3665700,0.0,0.0
1998-01-07-00-00-00,12.49,12.73,12.42,12.64,5411400,0.0,0.0
1998-01-08-00-00-00,12.85,12.85,12.57,12.58,4797900,0.0,0.0
1998-01-09-00-00-00,12.52,12.52,12.06,12.14,4168200,0.0,0.0
1998-01-12-00-00-00,11.91,12.52,11.91,12.52,5052300,0.0,0.0
1998-01-13-00-00-00,12.62,12.74,12.52,12.73,4986600,0.0,0.0
1998-01-14-00-00-00,12.7,12.87,12.68,12.85,4104600,0.0,0.0
1998-01-15-00-00-00,12.8,12.89,12.58,12.77,3544800,0.0,0.0
1998-01-16-00-00-00,12.84,12.89,12.73,12.77,3624300,0.0,0.0
1998-01-20-00-00-00,12.84,13.13,12.72,13.08,4904700,0.0,0.0
1998-01-21-00-00-00,13.07,13.09,12.88,13.07,3760500,0.0,0.0
1998-01-22-00-00-00,12.89,12.95,12.79,12.81,3585000,0.0,0.0
1998-01-23-00-00-00,12.76,12.97,12.73,12.89,5545800,0.0,0.0
1998-01-26-00-00-00,12.95,12.95,12.61,12.66,3712500,0.0,0.0
1998-01-27-00-00-00,12.64,13.07,12.62,12.99,5146200,0.0,0.0
1998-01-28-00-00-00,13.08,13.18,13.0,13.04,5980800,0.0,0.0
1998-01-29-00-00-00,13.05,13.27,13.0,13.04,4806900,0.0,0.0
1998-01-30-00-00-00,13.07,13.2,12.95,13.03,2681100,0.0,0.0
