Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-11-01-00-00-00,3.03,3.15,3.03,3.13,1995868,0.0,0.0
1984-11-02-00-00-00,3.14,3.21,3.14,3.19,1211702,0.107254,0.0
1984-11-05-00-00-00,3.19,3.35,3.19,3.34,2420048,0.0,0.0
1984-11-06-00-00-00,3.29,3.3,3.26,3.28,915070,0.0,0.0
1984-11-07-00-00-00,3.26,3.28,3.19,3.22,505995,0.0,0.0
1984-11-08-00-00-00,3.23,3.23,3.2,3.22,468234,0.0,0.0
1984-11-09-00-00-00,3.23,3.28,3.23,3.23,642773,0.0,0.0
1984-11-12-00-00-00,3.26,3.26,3.22,3.22,294534,0.0,0.0
1984-11-13-00-00-00,3.23,3.25,3.14,3.16,1240652,0.0,0.0
1984-11-14-00-00-00,3.15,3.18,3.14,3.16,461521,0.0,0.0
1984-11-15-00-00-00,3.14,3.16,3.14,3.15,788362,0.0,0.0
1984-11-16-00-00-00,3.16,3.18,3.14,3.18,227404,0.0,0.0
1984-11-19-00-00-00,3.16,3.2,3.12,3.13,217334,0.0,0.0
1984-11-20-00-00-00,3.14,3.19,3.13,3.15,495925,0.0,0.0
1984-11-21-00-00-00,3.14,3.21,3.14,3.21,349078,0.0,0.0
1984-11-23-00-00-00,3.19,3.23,3.19,3.23,375091,0.0,0.0
1984-11-26-00-00-00,3.23,3.26,3.15,3.23,1027094,0.0,0.0
1984-11-27-00-00-00,3.21,3.29,3.21,3.26,976746,0.0,0.0
1984-11-28-00-00-00,3.26,3.28,3.25,3.25,404460,0.0,0.0
1984-11-29-00-00-00,3.23,3.23,3.2,3.22,336071,0.0,0.0
1984-11-30-00-00-00,3.2,3.21,3.19,3.21,349078,0.0,0.0
