Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-03-00-00-00,115.12,116.45,115.09,116.18,4266900,0.0,0.0
2019-06-04-00-00-00,117.35,120.23,116.93,120.19,3913500,0.0,0.0
2019-06-05-00-00-00,120.81,121.02,118.18,119.1,3161300,0.0,0.0
2019-06-06-00-00-00,119.74,120.15,118.57,119.76,2298200,0.0,0.0
2019-06-07-00-00-00,119.99,122.03,119.75,120.75,2553400,0.0,0.0
2019-06-10-00-00-00,121.72,122.6,121.29,122.05,2911300,0.0,0.0
2019-06-11-00-00-00,122.57,123.6,122.33,123.14,3407300,0.0,0.0
2019-06-12-00-00-00,122.79,123.13,121.75,122.16,2254700,0.0,0.0
2019-06-13-00-00-00,122.4,123.43,122.36,122.97,2955300,0.0,0.0
2019-06-14-00-00-00,122.68,123.08,121.76,122.42,2193300,0.0,0.0
2019-06-17-00-00-00,122.63,123.21,122.01,122.24,2194100,0.0,0.0
2019-06-18-00-00-00,122.46,124.26,122.46,123.53,2914700,0.0,0.0
2019-06-19-00-00-00,123.58,125.32,123.4,124.16,2382400,0.0,0.0
2019-06-20-00-00-00,125.84,126.39,125.18,125.77,3071000,0.0,0.0
2019-06-21-00-00-00,125.4,126.39,125.35,126.08,5288700,0.0,0.0
2019-06-24-00-00-00,126.08,126.95,125.95,126.22,2186000,0.0,0.0
2019-06-25-00-00-00,126.32,126.4,125.12,125.32,2801200,0.0,0.0
2019-06-26-00-00-00,125.79,126.52,125.37,125.47,2284600,0.0,0.0
2019-06-27-00-00-00,125.65,126.18,124.95,125.47,2149800,0.0,0.0
2019-06-28-00-00-00,125.51,126.03,124.85,124.91,6153900,0.0,0.0
