Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1964-06-01-00-00-00,0.0,0.07,0.07,0.07,518400,0.0,0.0
1964-06-02-00-00-00,0.0,0.07,0.07,0.07,1512000,0.0,0.0
1964-06-03-00-00-00,0.0,0.07,0.07,0.07,648000,0.0,0.0
1964-06-04-00-00-00,0.0,0.07,0.07,0.07,907200,0.0,0.0
1964-06-05-00-00-00,0.0,0.07,0.07,0.07,345600,0.0,0.0
1964-06-08-00-00-00,0.0,0.07,0.07,0.07,345600,0.0,0.0
1964-06-09-00-00-00,0.0,0.07,0.07,0.07,172800,0.0,0.0
1964-06-10-00-00-00,0.0,0.07,0.07,0.07,302400,0.0,0.0
1964-06-11-00-00-00,0.0,0.07,0.07,0.07,432000,0.0,0.0
1964-06-12-00-00-00,0.0,0.07,0.07,0.07,1555200,0.0,0.0
1964-06-15-00-00-00,0.0,0.07,0.07,0.07,302400,0.0,0.0
1964-06-16-00-00-00,0.0,0.07,0.07,0.07,518400,0.0,0.0
1964-06-17-00-00-00,0.0,0.07,0.07,0.07,820800,0.0,0.0
1964-06-18-00-00-00,0.0,0.07,0.07,0.07,259200,0.0,0.0
1964-06-19-00-00-00,0.0,0.07,0.07,0.07,86400,0.0,0.0
1964-06-22-00-00-00,0.0,0.07,0.07,0.07,216000,0.0,0.0
1964-06-23-00-00-00,0.0,0.08,0.07,0.07,302400,0.0,0.0
1964-06-24-00-00-00,0.0,0.07,0.07,0.07,86400,0.0,0.0
1964-06-25-00-00-00,0.0,0.08,0.07,0.07,129600,0.0,0.0
1964-06-26-00-00-00,0.0,0.07,0.07,0.07,302400,0.0,0.0
1964-06-29-00-00-00,0.0,0.08,0.07,0.07,216000,0.0,0.0
1964-06-30-00-00-00,0.0,0.07,0.07,0.07,43200,0.0,0.0
