Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1982-05-03-00-00-00,0.0,1.78,1.75,1.77,112950,0.0,0.0
1982-05-04-00-00-00,0.0,1.79,1.75,1.75,492300,0.0,0.0
1982-05-05-00-00-00,0.0,1.77,1.74,1.75,477900,0.0,0.0
1982-05-06-00-00-00,0.0,1.76,1.75,1.75,562950,0.0,0.0
1982-05-07-00-00-00,0.0,1.75,1.71,1.74,235350,0.0,0.0
1982-05-10-00-00-00,0.0,1.75,1.74,1.74,50850,0.0,0.0
1982-05-11-00-00-00,0.0,1.75,1.71,1.71,142650,0.0,0.0
1982-05-12-00-00-00,0.0,1.72,1.68,1.69,329400,0.0,0.0
1982-05-13-00-00-00,0.0,1.69,1.65,1.67,144900,0.0,0.0
1982-05-14-00-00-00,0.0,1.68,1.66,1.67,58050,0.0,0.0
1982-05-17-00-00-00,0.0,1.7,1.66,1.67,59400,0.0,0.0
1982-05-18-00-00-00,0.0,1.67,1.62,1.62,257400,0.0,0.0
1982-05-19-00-00-00,0.0,1.63,1.57,1.6,495000,0.0,0.0
1982-05-20-00-00-00,0.0,1.64,1.61,1.64,367650,0.0,0.0
1982-05-21-00-00-00,0.0,1.67,1.65,1.65,188100,0.0,0.0
1982-05-24-00-00-00,0.0,1.67,1.65,1.66,21600,0.0,0.0
1982-05-25-00-00-00,0.0,1.71,1.68,1.7,110250,0.0,0.0
1982-05-26-00-00-00,0.0,1.7,1.67,1.68,106200,0.0,0.0
1982-05-27-00-00-00,0.0,1.7,1.65,1.65,40050,0.0,0.0
1982-05-28-00-00-00,0.0,1.65,1.6,1.65,194850,0.0,0.0
