Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-03-01-00-00-00,29.37,29.6,29.37,29.53,13724500,0.0,0.0
2013-03-04-00-00-00,29.46,29.63,29.34,29.63,9934300,0.0,0.0
2013-03-05-00-00-00,29.75,29.76,29.43,29.52,13240700,0.0,0.0
2013-03-06-00-00-00,29.61,29.79,29.53,29.78,11653900,0.0,0.0
2013-03-07-00-00-00,29.79,29.91,29.64,29.85,15094900,0.0,0.0
2013-03-08-00-00-00,29.89,30.08,29.79,29.93,11183600,0.0,0.0
2013-03-11-00-00-00,29.92,30.05,29.9,30.0,9200400,0.0,0.0
2013-03-12-00-00-00,29.98,30.0,29.61,29.73,11375900,0.0,0.0
2013-03-13-00-00-00,29.84,29.88,29.63,29.66,14358300,0.28,0.0
2013-03-14-00-00-00,29.84,30.07,29.72,29.99,14572500,0.0,0.0
2013-03-15-00-00-00,29.84,29.93,29.72,29.85,20781900,0.0,0.0
2013-03-18-00-00-00,29.68,29.93,29.65,29.79,11479900,0.0,0.0
2013-03-19-00-00-00,29.92,30.29,29.84,30.23,15192000,0.0,0.0
2013-03-20-00-00-00,30.29,30.69,30.26,30.65,19271900,0.0,0.0
2013-03-21-00-00-00,30.63,31.08,30.56,30.8,23063600,0.0,0.0
2013-03-22-00-00-00,30.73,30.96,30.66,30.78,16128500,0.0,0.0
2013-03-25-00-00-00,30.83,30.94,30.72,30.84,15718400,0.0,0.0
2013-03-26-00-00-00,30.85,31.29,30.85,31.28,13666500,0.0,0.0
2013-03-27-00-00-00,31.09,31.16,30.79,30.92,14559900,0.0,0.0
2013-03-28-00-00-00,31.04,31.21,30.76,31.09,14227200,0.0,0.0
