Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-09-01-00-00-00,0.67,0.69,0.67,0.68,781650,0.0,0.0
1972-09-05-00-00-00,0.68,0.69,0.68,0.68,263250,0.0,0.0
1972-09-06-00-00-00,0.68,0.69,0.67,0.69,518400,0.0,0.0
1972-09-07-00-00-00,0.69,0.69,0.68,0.69,1113750,0.0,0.0
1972-09-08-00-00-00,0.69,0.69,0.67,0.67,688500,0.0,0.0
1972-09-11-00-00-00,0.67,0.67,0.66,0.66,947700,0.0,0.0
1972-09-12-00-00-00,0.66,0.67,0.64,0.66,2150550,0.0,0.0
1972-09-13-00-00-00,0.66,0.66,0.65,0.66,2652750,0.0,0.0
1972-09-14-00-00-00,0.66,0.67,0.65,0.65,700650,0.0,0.0
1972-09-15-00-00-00,0.65,0.65,0.64,0.65,3142800,0.0,0.0
1972-09-18-00-00-00,0.65,0.66,0.64,0.66,1012500,0.0,0.0
1972-09-19-00-00-00,0.66,0.67,0.64,0.64,3474900,0.0,0.0
1972-09-20-00-00-00,0.64,0.65,0.64,0.64,1397250,0.0,0.0
1972-09-21-00-00-00,0.64,0.65,0.63,0.63,1725300,0.0,0.0
1972-09-22-00-00-00,0.63,0.65,0.62,0.63,1607850,0.0,0.0
1972-09-25-00-00-00,0.63,0.63,0.62,0.63,1887300,0.0,0.0
1972-09-26-00-00-00,0.63,0.64,0.62,0.63,2984850,0.0,0.0
1972-09-27-00-00-00,0.63,0.66,0.63,0.66,3130650,0.0,0.0
1972-09-28-00-00-00,0.66,0.66,0.64,0.66,1956150,0.0,0.0
1972-09-29-00-00-00,0.66,0.66,0.63,0.64,2130300,0.0,0.0
