Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-09-01-00-00-00,155.73,156.47,155.28,156.31,1095300,0.0,0.0
2016-09-02-00-00-00,156.78,157.62,156.4,157.03,1319000,0.0,0.0
2016-09-06-00-00-00,156.81,157.44,156.22,156.72,1328100,0.0,0.0
2016-09-07-00-00-00,156.36,156.79,155.93,156.11,1133200,0.0,0.0
2016-09-08-00-00-00,155.62,156.51,155.4,156.41,1424000,0.0,0.0
2016-09-09-00-00-00,155.36,155.46,152.54,152.54,2083300,0.0,0.0
2016-09-12-00-00-00,151.98,154.94,151.71,154.67,1913300,0.0,0.0
2016-09-13-00-00-00,153.57,154.24,152.81,152.91,1864600,0.0,0.0
2016-09-14-00-00-00,152.82,154.02,152.16,152.52,1864800,0.0,0.0
2016-09-15-00-00-00,152.44,153.72,152.29,153.36,1663800,0.0,0.0
2016-09-16-00-00-00,152.75,152.81,151.45,152.03,3358800,0.0,0.0
2016-09-19-00-00-00,152.89,154.54,152.89,153.48,1754900,0.0,0.0
2016-09-20-00-00-00,154.34,155.02,154.01,154.24,1598600,0.0,0.0
2016-09-21-00-00-00,154.48,156.15,154.15,155.97,1760000,0.0,0.0
2016-09-22-00-00-00,156.18,157.77,156.02,156.19,1849000,0.0,0.0
2016-09-23-00-00-00,155.8,156.06,153.88,154.06,1911000,0.0,0.0
2016-09-26-00-00-00,153.59,153.64,152.68,152.81,1821000,0.0,0.0
2016-09-27-00-00-00,152.51,153.75,152.49,153.11,2433600,0.0,0.0
2016-09-28-00-00-00,153.53,154.57,153.45,154.23,1694000,0.0,0.0
2016-09-29-00-00-00,154.14,154.27,151.87,152.3,1853600,0.0,0.0
2016-09-30-00-00-00,153.35,153.85,152.93,153.05,2419400,0.0,0.0
