Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-03-01-00-00-00,13.4,13.48,13.2,13.48,6137088,0.0,0.0
1996-03-04-00-00-00,13.55,13.73,13.5,13.68,4977581,0.0,0.0
1996-03-05-00-00-00,13.65,13.8,13.55,13.78,3421930,0.0,0.0
1996-03-06-00-00-00,13.67,13.75,13.29,13.32,4870266,0.162214,0.0
1996-03-07-00-00-00,13.42,13.55,13.37,13.47,4963957,0.0,0.0
1996-03-08-00-00-00,13.35,13.35,12.06,12.26,12306245,0.0,0.0
1996-03-11-00-00-00,12.87,13.12,12.74,13.04,8681422,0.0,0.0
1996-03-12-00-00-00,12.94,12.97,12.57,12.69,8511227,0.0,0.0
1996-03-13-00-00-00,12.72,12.84,12.31,12.39,9498024,0.0,0.0
1996-03-14-00-00-00,12.47,12.79,12.44,12.47,11207731,0.0,0.0
1996-03-15-00-00-00,12.47,12.64,12.37,12.49,11562794,0.0,0.0
1996-03-18-00-00-00,12.67,12.72,12.54,12.62,7271024,0.0,0.0
1996-03-19-00-00-00,12.69,12.82,12.47,12.49,9560904,0.0,0.0
1996-03-20-00-00-00,12.57,12.77,12.54,12.67,8371843,0.0,0.0
1996-03-21-00-00-00,12.77,13.19,12.77,13.17,8477062,0.0,0.0
1996-03-22-00-00-00,13.22,13.22,12.77,12.77,7433883,0.0,0.0
1996-03-25-00-00-00,12.37,12.77,12.31,12.57,9770714,0.0,0.0
1996-03-26-00-00-00,12.54,12.92,12.49,12.89,7631536,0.0,0.0
1996-03-27-00-00-00,13.12,13.12,12.62,12.69,6448763,0.0,0.0
1996-03-28-00-00-00,12.64,12.77,12.59,12.67,4450856,0.0,0.0
1996-03-29-00-00-00,12.74,12.77,12.52,12.52,4060371,0.0,0.0
