Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1989-08-01-00-00-00,0.24,0.24,0.24,0.24,62136000,0.0,0.0
1989-08-02-00-00-00,0.24,0.24,0.24,0.24,28368000,0.0,0.0
1989-08-03-00-00-00,0.24,0.24,0.24,0.24,27590400,0.0,0.0
1989-08-04-00-00-00,0.24,0.25,0.24,0.25,178128000,0.0,0.0
1989-08-07-00-00-00,0.25,0.26,0.25,0.25,93571200,0.0,0.0
1989-08-08-00-00-00,0.25,0.26,0.25,0.26,110548800,0.0,0.0
1989-08-09-00-00-00,0.26,0.26,0.26,0.26,113774400,0.0,0.0
1989-08-10-00-00-00,0.26,0.26,0.26,0.26,48340800,0.0,0.0
1989-08-11-00-00-00,0.26,0.26,0.25,0.25,61473600,0.0,0.0
1989-08-14-00-00-00,0.25,0.25,0.25,0.25,68990400,0.0,0.0
1989-08-15-00-00-00,0.25,0.26,0.25,0.25,17856000,0.0,0.0
1989-08-16-00-00-00,0.25,0.26,0.24,0.25,46670400,0.0,0.0
1989-08-17-00-00-00,0.25,0.25,0.24,0.25,39960000,0.0,0.0
1989-08-18-00-00-00,0.25,0.25,0.25,0.25,24912000,0.0,0.0
1989-08-21-00-00-00,0.25,0.25,0.25,0.25,32097600,0.0,0.0
1989-08-22-00-00-00,0.25,0.26,0.25,0.26,64771200,0.0,0.0
1989-08-23-00-00-00,0.26,0.26,0.26,0.26,46094400,0.0,0.0
1989-08-24-00-00-00,0.26,0.27,0.26,0.26,92764800,0.0,0.0
1989-08-25-00-00-00,0.26,0.26,0.25,0.26,85147200,0.0,0.0
1989-08-28-00-00-00,0.26,0.26,0.26,0.26,28540800,0.0,0.0
1989-08-29-00-00-00,0.26,0.26,0.26,0.26,54417600,0.0,0.0
1989-08-30-00-00-00,0.26,0.26,0.26,0.26,40377600,0.0,0.0
1989-08-31-00-00-00,0.26,0.26,0.26,0.26,14198400,0.0,0.0
