Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-07-02-00-00-00,0.92,0.94,0.92,0.94,20249600,0.0,0.0
1990-07-03-00-00-00,0.94,0.96,0.93,0.94,35500800,0.0,0.0
1990-07-05-00-00-00,0.94,0.94,0.92,0.94,20153600,0.0,0.0
1990-07-06-00-00-00,0.94,0.97,0.93,0.96,44416000,0.0,0.0
1990-07-09-00-00-00,0.96,1.05,0.93,1.05,100556800,0.0,0.0
1990-07-10-00-00-00,1.05,1.09,1.04,1.05,120480000,0.0,0.0
1990-07-11-00-00-00,1.05,1.08,1.05,1.07,35942400,0.0,0.0
1990-07-12-00-00-00,1.07,1.12,1.05,1.11,68716800,0.0,0.0
1990-07-13-00-00-00,1.11,1.12,1.1,1.1,36057600,0.0,0.0
1990-07-16-00-00-00,1.1,1.15,1.1,1.13,44844800,0.0,0.0
1990-07-17-00-00-00,1.13,1.13,1.07,1.07,42995200,0.0,0.0
1990-07-18-00-00-00,1.08,1.12,1.08,1.09,32774400,0.0,0.0
1990-07-19-00-00-00,1.09,1.1,1.06,1.1,37811200,0.0,0.0
1990-07-20-00-00-00,1.1,1.11,1.08,1.08,34163200,0.0,0.0
1990-07-23-00-00-00,1.08,1.1,1.02,1.09,50963200,0.0,0.0
1990-07-24-00-00-00,1.09,1.1,1.04,1.06,36812800,0.0,0.0
1990-07-25-00-00-00,1.06,1.07,1.03,1.06,36780800,0.0,0.0
1990-07-26-00-00-00,1.06,1.07,1.04,1.05,20339200,0.0,0.0
1990-07-27-00-00-00,1.05,1.05,1.04,1.04,11123200,0.0,0.0
1990-07-30-00-00-00,1.04,1.05,1.02,1.04,27968000,0.0,0.0
1990-07-31-00-00-00,1.04,1.04,1.02,1.04,32044800,0.0,0.0
