Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-08-01-00-00-00,49.8,49.87,49.05,49.14,7782900,0.0,0.0
2012-08-02-00-00-00,48.87,49.11,48.55,48.75,9462400,0.0,0.0
2012-08-03-00-00-00,49.67,50.59,49.67,50.28,15279100,0.0,0.0
2012-08-06-00-00-00,50.07,50.85,50.05,50.52,10034400,0.0,0.0
2012-08-07-00-00-00,50.6,51.01,50.6,50.83,10463300,0.0,0.0
2012-08-08-00-00-00,50.67,51.28,50.63,51.22,9673200,0.0,0.0
2012-08-09-00-00-00,51.12,51.38,50.97,51.23,9677800,0.0,0.0
2012-08-10-00-00-00,51.19,51.26,50.83,51.26,7293600,0.0,0.0
2012-08-13-00-00-00,51.1,51.24,50.93,51.03,6633900,0.0,0.0
2012-08-14-00-00-00,51.07,51.43,50.81,51.23,8887400,0.0,0.0
2012-08-15-00-00-00,51.33,51.37,51.1,51.16,9873600,0.0,0.0
2012-08-16-00-00-00,51.11,51.43,51.01,51.43,10165100,0.0,0.0
2012-08-17-00-00-00,51.33,51.66,51.15,51.43,9394300,0.0,0.0
2012-08-20-00-00-00,51.38,51.47,51.09,51.24,8938700,0.0,0.0
2012-08-21-00-00-00,51.25,51.54,51.19,51.26,9145400,0.0,0.0
2012-08-22-00-00-00,51.1,51.33,51.06,51.32,7749600,0.0,0.0
2012-08-23-00-00-00,51.28,51.3,51.12,51.19,8006500,0.0,0.0
2012-08-24-00-00-00,51.13,51.57,50.92,51.45,8580200,0.0,0.0
2012-08-27-00-00-00,51.38,51.72,51.33,51.52,6419600,0.0,0.0
2012-08-28-00-00-00,51.33,51.6,51.32,51.43,7605400,0.0,0.0
2012-08-29-00-00-00,51.41,51.57,51.28,51.33,6752200,0.0,0.0
2012-08-30-00-00-00,51.16,51.39,51.14,51.34,7285600,0.0,0.0
2012-08-31-00-00-00,51.54,51.78,51.35,51.58,10088600,0.0,0.0
