Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-05-01-00-00-00,0.0,6.2,6.11,6.11,578000,0.0,0.0
1985-05-02-00-00-00,0.0,6.25,6.11,6.21,875600,0.0,0.0
1985-05-03-00-00-00,0.0,6.3,6.21,6.29,740000,0.0,0.0
1985-05-06-00-00-00,0.0,6.3,6.28,6.29,333600,0.0,0.0
1985-05-07-00-00-00,0.0,6.43,6.29,6.42,828400,0.0,0.0
1985-05-08-00-00-00,0.0,6.49,6.43,6.48,468000,0.0,0.0
1985-05-09-00-00-00,0.0,6.5,6.48,6.49,1876000,0.0,0.0
1985-05-10-00-00-00,0.0,6.58,6.51,6.55,1113200,0.0,0.0
1985-05-13-00-00-00,0.0,6.58,6.49,6.49,230000,0.0,0.0
1985-05-14-00-00-00,0.0,6.56,6.5,6.55,488000,0.0,0.0
1985-05-15-00-00-00,0.0,6.56,6.5,6.55,958800,0.0,0.0
1985-05-16-00-00-00,0.0,6.55,6.52,6.55,479600,0.0,0.0
1985-05-17-00-00-00,0.0,6.53,6.5,6.51,128400,0.0,0.0
1985-05-20-00-00-00,0.0,6.53,6.51,6.53,102400,0.0,0.0
1985-05-21-00-00-00,0.0,6.53,6.38,6.44,233600,0.0,0.0
1985-05-22-00-00-00,0.0,6.46,6.43,6.45,140800,0.0,0.0
1985-05-23-00-00-00,0.0,6.55,6.43,6.52,603200,0.0,0.0
1985-05-24-00-00-00,0.0,6.53,6.51,6.53,193200,0.0,0.0
1985-05-28-00-00-00,0.0,6.55,6.51,6.51,363200,0.0,0.0
1985-05-29-00-00-00,0.0,6.52,6.49,6.49,314800,0.0,0.0
1985-05-30-00-00-00,0.0,6.5,6.45,6.45,393600,0.0,0.0
1985-05-31-00-00-00,0.0,6.51,6.45,6.49,234000,0.0,0.0
