Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-11-01-00-00-00,0.46,0.47,0.46,0.47,16940800,0.0,0.0
1990-11-02-00-00-00,0.47,0.48,0.46,0.47,9625600,0.0,0.0
1990-11-05-00-00-00,0.47,0.48,0.46,0.47,6752000,0.0,0.0
1990-11-06-00-00-00,0.49,0.49,0.45,0.45,10131200,0.0,0.0
1990-11-07-00-00-00,0.45,0.46,0.44,0.45,7561600,0.0,0.0
1990-11-08-00-00-00,0.45,0.46,0.44,0.45,5804800,0.0,0.0
1990-11-09-00-00-00,0.46,0.46,0.45,0.45,5801600,0.0,0.0
1990-11-12-00-00-00,0.45,0.5,0.45,0.49,11334400,0.0,0.0
1990-11-13-00-00-00,0.49,0.5,0.48,0.5,9219200,0.0,0.0
1990-11-14-00-00-00,0.49,0.5,0.49,0.5,8192000,0.0,0.0
1990-11-15-00-00-00,0.49,0.52,0.49,0.51,11971200,0.0,0.0
1990-11-16-00-00-00,0.52,0.52,0.49,0.49,5091200,0.0,0.0
1990-11-19-00-00-00,0.5,0.51,0.48,0.5,9174400,0.0,0.0
1990-11-20-00-00-00,0.51,0.51,0.49,0.49,2345600,0.0,0.0
1990-11-21-00-00-00,0.49,0.5,0.48,0.49,4172800,0.0,0.0
1990-11-23-00-00-00,0.49,0.49,0.48,0.48,1555200,0.0,0.0
1990-11-26-00-00-00,0.48,0.49,0.48,0.49,2576000,0.0,0.0
1990-11-27-00-00-00,0.5,0.52,0.5,0.52,8048000,0.0,0.0
1990-11-28-00-00-00,0.53,0.54,0.52,0.52,13843200,0.0,0.0
1990-11-29-00-00-00,0.52,0.52,0.51,0.52,4825600,0.0,0.0
1990-11-30-00-00-00,0.52,0.53,0.51,0.53,5152000,0.0,0.0
