Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-03-00-00-00,190.65,192.18,189.07,189.55,11405200,0.0,0.0
2020-08-04-00-00-00,189.98,191.78,188.94,191.14,8204000,0.0,0.0
2020-08-05-00-00-00,192.4,196.99,191.94,194.92,8876800,0.0,0.0
2020-08-06-00-00-00,194.8,197.73,193.62,197.58,7480300,0.0,0.0
2020-08-07-00-00-00,196.4,196.79,194.13,195.18,5654000,0.0,0.0
2020-08-10-00-00-00,195.18,197.12,194.16,195.61,5525400,0.0,0.0
2020-08-11-00-00-00,196.63,201.67,195.16,196.58,11549600,0.0,0.0
2020-08-12-00-00-00,197.81,199.03,197.05,197.55,5432500,0.0,0.0
2020-08-13-00-00-00,196.24,199.04,196.14,196.69,7014800,0.3,0.0
2020-08-14-00-00-00,196.12,197.18,194.89,195.76,5014400,0.0,0.0
2020-08-17-00-00-00,196.41,199.56,195.83,198.53,6256200,0.0,0.0
2020-08-18-00-00-00,199.08,199.2,195.93,198.11,6519900,0.0,0.0
2020-08-19-00-00-00,198.03,201.93,198.01,200.09,9467600,0.0,0.0
2020-08-20-00-00-00,199.0,203.52,198.7,203.23,8849200,0.0,0.0
2020-08-21-00-00-00,203.58,204.22,202.43,203.21,9998300,0.0,0.0
2020-08-24-00-00-00,204.09,205.52,203.75,205.48,6159600,0.0,0.0
2020-08-25-00-00-00,206.26,207.26,204.62,207.16,5828300,0.0,0.0
2020-08-26-00-00-00,207.16,209.85,206.37,209.31,7035200,0.0,0.0
2020-08-27-00-00-00,210.26,211.23,208.11,210.08,8619600,0.0,0.0
2020-08-28-00-00-00,211.05,215.19,210.27,214.74,7349800,0.0,0.0
2020-08-31-00-00-00,214.57,214.99,210.61,211.04,9326900,0.0,0.0
