Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-06-01-00-00-00,20.78,20.87,20.43,20.54,16603992,0.0,0.0
2007-06-04-00-00-00,20.58,20.72,20.44,20.51,7991460,0.0,0.0
2007-06-05-00-00-00,20.49,20.5,20.33,20.42,11561394,0.0,0.0
2007-06-06-00-00-00,20.42,20.63,20.42,20.49,12140155,0.0,0.0
2007-06-07-00-00-00,20.54,20.59,20.28,20.34,16988012,0.0,0.0
2007-06-08-00-00-00,20.29,20.58,20.23,20.56,14350864,0.0,0.0
2007-06-11-00-00-00,20.51,20.82,20.47,20.77,11088359,0.0,0.0
2007-06-12-00-00-00,20.71,20.79,20.55,20.57,15618503,0.0,0.0
2007-06-13-00-00-00,20.61,20.72,20.29,20.48,18005958,0.0,0.0
2007-06-14-00-00-00,20.44,20.65,20.44,20.64,16179910,0.0,0.0
2007-06-15-00-00-00,20.79,20.81,20.49,20.53,15466609,0.0,0.0
2007-06-18-00-00-00,20.49,20.53,20.3,20.32,10172390,0.0,0.0
2007-06-19-00-00-00,20.33,20.6,20.32,20.56,10365203,0.0,0.0
2007-06-20-00-00-00,20.53,20.61,20.31,20.31,9637869,0.0,0.0
2007-06-21-00-00-00,20.34,20.46,20.18,20.26,10040956,0.0,0.0
2007-06-22-00-00-00,20.24,20.24,19.8,19.88,18252865,0.0,0.0
2007-06-25-00-00-00,19.88,20.12,19.72,19.81,11445706,0.0,0.0
2007-06-26-00-00-00,19.9,19.91,19.51,19.61,14739061,0.0,0.0
2007-06-27-00-00-00,19.5,19.57,19.36,19.54,12717737,0.0,0.0
2007-06-28-00-00-00,19.54,19.74,19.5,19.61,11473343,0.0,0.0
2007-06-29-00-00-00,19.65,19.83,19.5,19.66,12545491,0.0,0.0
