Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-09-03-00-00-00,0.92,0.92,0.91,0.91,1924800,0.0,0.0
1985-09-04-00-00-00,0.91,0.92,0.9,0.91,835200,0.0,0.0
1985-09-05-00-00-00,0.91,0.92,0.9,0.91,1124800,0.0,0.0
1985-09-06-00-00-00,0.91,0.92,0.9,0.92,2086400,0.0,0.0
1985-09-09-00-00-00,0.92,0.92,0.88,0.89,3364800,0.0,0.0
1985-09-10-00-00-00,0.89,0.89,0.88,0.88,4278400,0.0,0.0
1985-09-11-00-00-00,0.88,0.9,0.88,0.88,2123200,0.0,0.0
1985-09-12-00-00-00,0.88,0.9,0.88,0.88,1016000,0.0,0.0
1985-09-13-00-00-00,0.88,0.89,0.85,0.86,1516800,0.0,0.0
1985-09-16-00-00-00,0.86,0.87,0.85,0.86,753600,0.0,0.0
1985-09-17-00-00-00,0.86,0.86,0.84,0.84,2177600,0.0,0.0
1985-09-18-00-00-00,0.84,0.85,0.83,0.84,2662400,0.0,0.0
1985-09-19-00-00-00,0.84,0.88,0.84,0.87,2204800,0.0,0.0
1985-09-20-00-00-00,0.87,0.89,0.85,0.85,1187200,0.0,0.0
1985-09-23-00-00-00,0.85,0.87,0.84,0.84,1710400,0.0,0.0
1985-09-24-00-00-00,0.84,0.85,0.83,0.83,4275200,0.0,0.0
1985-09-25-00-00-00,0.83,0.83,0.81,0.83,6409600,0.0,0.0
1985-09-26-00-00-00,0.83,0.84,0.82,0.84,944000,0.0,0.0
1985-09-30-00-00-00,0.84,0.86,0.82,0.83,3224000,0.0,0.0
