Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-10-01-00-00-00,1.68,1.72,1.65,1.69,6440000,0.0,0.0
1986-10-02-00-00-00,1.69,1.74,1.67,1.73,6224000,0.0,0.0
1986-10-03-00-00-00,1.76,1.76,1.7,1.73,7049600,0.0,0.0
1986-10-06-00-00-00,1.71,1.75,1.71,1.74,3089600,0.0,0.0
1986-10-07-00-00-00,1.75,1.75,1.7,1.72,3905600,0.0,0.0
1986-10-08-00-00-00,1.71,1.74,1.7,1.73,4928000,0.0,0.0
1986-10-09-00-00-00,1.73,1.75,1.69,1.71,3643200,0.0,0.0
1986-10-10-00-00-00,1.71,1.72,1.69,1.72,2526400,0.0,0.0
1986-10-13-00-00-00,1.72,1.72,1.68,1.71,880000,0.0,0.0
1986-10-14-00-00-00,1.72,1.75,1.72,1.73,3672000,0.0,0.0
1986-10-15-00-00-00,1.73,1.79,1.73,1.78,5046400,0.0,0.0
1986-10-16-00-00-00,1.79,1.8,1.75,1.77,6078400,0.0,0.0
1986-10-17-00-00-00,1.76,1.77,1.72,1.73,4571200,0.0,0.0
1986-10-20-00-00-00,1.71,1.72,1.69,1.71,3385600,0.0,0.0
1986-10-21-00-00-00,1.71,1.72,1.68,1.71,3875200,0.0,0.0
1986-10-22-00-00-00,1.71,1.75,1.71,1.73,1982400,0.0,0.0
1986-10-23-00-00-00,1.75,1.8,1.74,1.79,4974400,0.0,0.0
1986-10-24-00-00-00,1.78,1.79,1.74,1.75,3436800,0.0,0.0
1986-10-27-00-00-00,1.74,1.76,1.71,1.72,2768000,0.0,0.0
1986-10-28-00-00-00,1.73,1.76,1.72,1.76,4990400,0.0,0.0
1986-10-29-00-00-00,1.75,1.8,1.75,1.8,3908800,0.0,0.0
1986-10-30-00-00-00,1.8,1.82,1.76,1.76,5225600,0.0,0.0
1986-10-31-00-00-00,1.77,1.79,1.76,1.77,3288000,0.0,0.0
