Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-04-01-00-00-00,0.28,0.28,0.27,0.28,262057600,0.0,0.0
1999-04-05-00-00-00,0.28,0.29,0.28,0.28,460936000,0.0,0.0
1999-04-06-00-00-00,0.28,0.29,0.28,0.29,628588800,0.0,0.0
1999-04-07-00-00-00,0.29,0.29,0.28,0.29,411812800,0.0,0.0
1999-04-08-00-00-00,0.28,0.28,0.28,0.28,296408000,0.0,0.0
1999-04-09-00-00-00,0.28,0.29,0.28,0.28,268542400,0.0,0.0
1999-04-12-00-00-00,0.27,0.28,0.27,0.28,395819200,0.0,0.0
1999-04-13-00-00-00,0.28,0.28,0.26,0.27,412384000,0.0,0.0
1999-04-14-00-00-00,0.27,0.28,0.27,0.27,681027200,0.0,0.0
1999-04-15-00-00-00,0.27,0.28,0.26,0.27,1734476800,0.0,0.0
1999-04-16-00-00-00,0.28,0.28,0.27,0.27,502219200,0.0,0.0
1999-04-19-00-00-00,0.27,0.28,0.26,0.26,921816000,0.0,0.0
1999-04-20-00-00-00,0.26,0.27,0.26,0.26,523857600,0.0,0.0
1999-04-21-00-00-00,0.26,0.26,0.26,0.26,351400000,0.0,0.0
1999-04-22-00-00-00,0.27,0.28,0.27,0.28,740174400,0.0,0.0
1999-04-23-00-00-00,0.28,0.3,0.28,0.3,1046841600,0.0,0.0
1999-04-26-00-00-00,0.3,0.32,0.3,0.31,927931200,0.0,0.0
1999-04-27-00-00-00,0.33,0.35,0.33,0.35,2106048000,0.0,0.0
1999-04-28-00-00-00,0.34,0.35,0.33,0.34,954990400,0.0,0.0
1999-04-29-00-00-00,0.33,0.34,0.32,0.33,789308800,0.0,0.0
1999-04-30-00-00-00,0.34,0.36,0.34,0.35,1472329600,0.0,0.0
