Date,Open,High,Low,Close,Adj Close,Volume
2001-06-01-00-00-00,0.359464,0.376607,0.356786,0.37303600000000003,0.3218,456075200.0
2001-06-04-00-00-00,0.376429,0.37696399999999997,0.36535700000000004,0.368929,0.318257,281920800.0
2001-06-05-00-00-00,0.371429,0.376786,0.36339299999999997,0.373929,0.32256999999999997,471794400.0
2001-06-06-00-00-00,0.37375,0.37375,0.363036,0.370179,0.319335,223176800.0
2001-06-07-00-00-00,0.369821,0.3875,0.365179,0.386786,0.333661,325180800.0
2001-06-08-00-00-00,0.38660700000000003,0.38660700000000003,0.369821,0.380714,0.328424,342624800.0
2001-06-11-00-00-00,0.375893,0.37625,0.35625,0.35785700000000004,0.308706,294000000.0
2001-06-12-00-00-00,0.353036,0.369464,0.35285700000000003,0.362679,0.312865,303794400.0
2001-06-13-00-00-00,0.3825,0.388036,0.358214,0.365536,0.31533,511487200.0
2001-06-14-00-00-00,0.35785700000000004,0.365179,0.353036,0.355,0.306241,297348800.0
2001-06-15-00-00-00,0.358929,0.37053600000000003,0.345536,0.365,0.314868,454624800.0
2001-06-18-00-00-00,0.364464,0.372321,0.357143,0.363036,0.313173,345912000.0
2001-06-19-00-00-00,0.372321,0.382143,0.357321,0.360536,0.31101599999999996,321087200.0
2001-06-20-00-00-00,0.357143,0.390179,0.356786,0.386964,0.33381500000000003,431620000.0
2001-06-21-00-00-00,0.384821,0.410714,0.376786,0.401607,0.346447,341331200.0
2001-06-22-00-00-00,0.401429,0.410714,0.388571,0.3975,0.342904,286025600.0
2001-06-25-00-00-00,0.40178600000000003,0.428571,0.400893,0.428393,0.369553,439549600.0
2001-06-26-00-00-00,0.416786,0.424464,0.410893,0.42410699999999996,0.365856,272781600.0
2001-06-27-00-00-00,0.42553599999999997,0.428571,0.40178600000000003,0.416786,0.359541,374130400.0
2001-06-28-00-00-00,0.41160699999999995,0.426964,0.40964300000000003,0.420357,0.362621,348409600.0
2001-06-29-00-00-00,0.4225,0.44821400000000006,0.414286,0.415179,0.358154,515390400.0
