Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-06-01-00-00-00,2445.1201171875,2503.580078125,2412.449951171875,2433.679931640625,6376400,0,0.0
2022-06-02-00-00-00,121.68399810791016,125.61000061035156,120.04499816894531,125.51100158691406,100560000,0,0.0
2022-06-03-00-00-00,124.19999694824219,124.4000015258789,121.04650115966797,122.3499984741211,97604000,0,0.0
2022-06-06-00-00-00,125.25,128.99000549316406,123.80999755859375,124.79000091552734,135269000,0,20.0
2022-06-07-00-00-00,122.01000213623047,124.0999984741211,120.62999725341797,123.0,85156700,0,0.0
2022-06-08-00-00-00,122.61000061035156,123.75,120.75,121.18000030517578,64926600,0,0.0
2022-06-09-00-00-00,119.98999786376953,121.30000305175781,116.0999984741211,116.1500015258789,67029800,0,0.0
2022-06-10-00-00-00,113.41999816894531,114.5,109.05000305175781,109.6500015258789,87266000,0,0.0
2022-06-13-00-00-00,104.19000244140625,106.54000091552734,101.86000061035156,103.66999816894531,99277700,0,0.0
2022-06-14-00-00-00,104.19000244140625,104.87999725341797,101.43000030517578,102.30999755859375,69728800,0,0.0
2022-06-15-00-00-00,103.86000061035156,109.05999755859375,103.52999877929688,107.66999816894531,85011100,0,0.0
2022-06-16-00-00-00,104.47000122070312,104.58000183105469,102.01000213623047,103.66000366210938,82186300,0,0.0
2022-06-17-00-00-00,102.80000305175781,106.9800033569336,102.51000213623047,106.22000122070312,99399000,0,0.0
2022-06-21-00-00-00,108.19999694824219,111.62999725341797,103.55999755859375,108.68000030517578,70901200,0,0.0
2022-06-22-00-00-00,107.43000030517578,112.12999725341797,107.0199966430664,108.94999694824219,60040100,0,0.0
2022-06-23-00-00-00,110.38999938964844,113.0,107.93000030517578,112.44000244140624,64266800,0,0.0
2022-06-24-00-00-00,112.37999725341795,116.70999908447266,111.43000030517578,116.45999908447266,69793000,0,0.0
2022-06-27-00-00-00,117.08999633789062,117.9800033569336,112.6999969482422,113.22000122070312,62071500,0,0.0
2022-06-28-00-00-00,113.5,114.8499984741211,107.04000091552734,107.4000015258789,74942900,0,0.0
2022-06-29-00-00-00,107.37999725341795,110.98999786376952,106.91000366210938,108.91999816894533,66296100,0,0.0
2022-06-30-00-00-00,108.11000061035156,108.18000030517578,102.5199966430664,106.20999908447266,97601900,0,0.0
2022-07-01-00-00-00,106.29000091552734,109.75,105.8499984741211,109.55999755859375,72952000,0,0.0
