Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-03-01-00-00-00,0.25,0.25,0.25,0.25,1057050,0.0,0.0
1972-03-02-00-00-00,0.25,0.25,0.24,0.24,1233225,0.0,0.0
1972-03-03-00-00-00,0.24,0.25,0.24,0.24,1132988,0.0,0.0
1972-03-06-00-00-00,0.25,0.26,0.25,0.26,1069200,0.0,0.0
1972-03-07-00-00-00,0.26,0.26,0.25,0.26,1336500,0.0,0.0
1972-03-08-00-00-00,0.26,0.26,0.25,0.25,589275,0.0,0.0
1972-03-09-00-00-00,0.25,0.26,0.25,0.25,467775,0.0,0.0
1972-03-10-00-00-00,0.25,0.25,0.24,0.24,938588,0.0,0.0
1972-03-13-00-00-00,0.24,0.24,0.23,0.24,987188,0.0,0.0
1972-03-14-00-00-00,0.24,0.24,0.23,0.24,595350,0.0,0.0
1972-03-15-00-00-00,0.24,0.24,0.23,0.23,868725,0.0,0.0
1972-03-16-00-00-00,0.23,0.23,0.22,0.23,1409400,0.0,0.0
1972-03-17-00-00-00,0.23,0.23,0.22,0.23,713813,0.0,0.0
1972-03-20-00-00-00,0.23,0.23,0.22,0.22,558900,0.0,0.0
1972-03-21-00-00-00,0.22,0.22,0.21,0.21,1278788,0.0,0.0
1972-03-22-00-00-00,0.21,0.22,0.21,0.22,859613,0.0,0.0
1972-03-23-00-00-00,0.22,0.24,0.22,0.24,1120838,0.0,0.0
1972-03-24-00-00-00,0.24,0.24,0.23,0.24,741150,0.0,0.0
1972-03-27-00-00-00,0.24,0.24,0.23,0.24,625725,0.0,0.0
1972-03-28-00-00-00,0.24,0.24,0.24,0.24,449550,0.0,0.0
1972-03-29-00-00-00,0.24,0.24,0.23,0.24,856575,0.0,0.0
1972-03-30-00-00-00,0.24,0.24,0.24,0.24,656100,0.0,0.0
