Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01-00-00-00,115.629997,117.239998,115.5,116.68,116.68,7332100
2017-05-02-00-00-00,117.07,118.690002,117.0,118.089996,118.089996,10048200
2017-05-03-00-00-00,117.949997,118.0,115.120003,116.57,116.57,10591100
2017-05-04-00-00-00,115.940002,116.410004,115.150002,115.860001,115.860001,6977800
2017-05-05-00-00-00,116.050003,116.150002,114.800003,116.040001,116.040001,7099400
2017-05-08-00-00-00,116.900002,117.510002,116.199997,116.860001,116.860001,6461900
2017-05-09-00-00-00,118.620003,120.0,118.07,120.0,120.0,15219900
2017-05-10-00-00-00,120.010002,120.33000200000001,119.099998,119.980003,119.980003,9347300
2017-05-11-00-00-00,120.129997,120.5,118.25,120.160004,120.160004,11375500
2017-05-12-00-00-00,120.160004,120.468002,119.510002,120.339996,120.339996,9823900
2017-05-15-00-00-00,121.029999,121.489998,120.030998,121.400002,121.400002,11125500
2017-05-16-00-00-00,121.980003,124.339996,121.739998,124.019997,124.019997,18222100
2017-05-17-00-00-00,123.25,123.889999,120.5,120.720001,120.720001,19834700
2017-05-18-00-00-00,116.309998,122.629997,114.0,121.269997,121.269997,37121900
2017-05-19-00-00-00,123.959999,126.400002,123.07,123.220001,123.220001,21101700
2017-05-22-00-00-00,124.980003,125.589996,123.555,124.75,124.75,13493200
2017-05-23-00-00-00,124.66999799999999,125.675003,122.849998,122.93,122.93,14370100
2017-05-24-00-00-00,123.07,123.683998,121.949997,122.809998,122.809998,8371500
2017-05-25-00-00-00,123.739998,124.449997,122.309998,123.629997,123.629997,12486500
2017-05-26-00-00-00,123.93,124.650002,123.099998,123.989998,123.989998,7558900
2017-05-30-00-00-00,124.08000200000001,124.879997,123.529999,123.910004,123.910004,8343400
2017-05-31-00-00-00,123.639999,124.175003,122.0,122.459999,122.459999,11582200
