Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02-00-00-00,133.4,136.83,133.05,135.55,4783900,0,0.0
2019-01-03-00-00-00,133.48,134.78,130.1,130.4,6365700,0,0.0
2019-01-04-00-00-00,133.5,139.32,132.22,137.96,6650600,0,0.0
2019-01-07-00-00-00,141.02,143.39,138.79,142.22,9064800,0,0.0
2019-01-08-00-00-00,144.73,146.46,142.89,145.72,9057300,0,0.0
2019-01-09-00-00-00,146.89,147.5,144.53,145.99,5445900,0,0.0
2019-01-10-00-00-00,143.77,147.21,143.76,147.04,5116900,0,0.0
2019-01-11-00-00-00,146.56,148.03,145.61,147.55,5185200,0,0.0
2019-01-14-00-00-00,145.75,146.73,144.7,146.05,5815500,0,0.0
2019-01-15-00-00-00,146.35,149.86,145.8,149.19,5350400,0,0.0
2019-01-16-00-00-00,149.15,149.79,147.8,148.54,3936800,0,0.0
2019-01-17-00-00-00,148.54,150.72,147.69,149.82,3743200,0,0.0
2019-01-18-00-00-00,151.83,153.27,150.24,152.51,6151200,0,0.0
2019-01-22-00-00-00,150.34,151.38,147.4,148.95,5203300,0,0.0
2019-01-23-00-00-00,149.73,150.8,147.65,149.75,3335400,0,0.0
2019-01-24-00-00-00,149.95,150.5,146.52,146.87,6734700,0,0.0
2019-01-25-00-00-00,148.53,149.89,147.55,149.74,4600800,0,0.0
2019-01-28-00-00-00,148.17,148.2,146.1,147.33,4054700,0,0.0
2019-01-29-00-00-00,147.07,148.0,144.64,145.18,3915100,0,0.0
2019-01-30-00-00-00,147.19,149.69,146.08,149.16,4653400,0,0.0
2019-01-31-00-00-00,149.02,153.38,148.71,151.97,8615900,0,0.0
