Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01-00-00-00,194.779999,196.179993,193.009995,193.029999,193.029999,15996600
2019-05-02-00-00-00,193.0,194.0,189.75,192.529999,192.529999,13209500
2019-05-03-00-00-00,194.380005,196.16000400000001,193.71000700000002,195.470001,195.470001,14575400
2019-05-06-00-00-00,191.240005,194.279999,190.550003,193.880005,193.880005,13994900
2019-05-07-00-00-00,192.53999299999998,192.899994,187.850006,189.770004,189.770004,16253000
2019-05-08-00-00-00,189.389999,190.720001,188.550003,189.53999299999998,189.53999299999998,12505700
2019-05-09-00-00-00,187.199997,189.770004,186.259995,188.649994,188.649994,12967000
2019-05-10-00-00-00,188.25,190.0,184.58999599999999,188.33999599999999,188.33999599999999,12578500
2019-05-13-00-00-00,183.5,185.429993,180.83999599999999,181.53999299999998,181.53999299999998,16833300
2019-05-14-00-00-00,182.520004,183.490005,178.100006,180.729996,180.729996,17628100
2019-05-15-00-00-00,180.419998,187.279999,180.020004,186.270004,186.270004,16746900
2019-05-16-00-00-00,185.050003,188.580002,185.050003,186.990005,186.990005,12953100
2019-05-17-00-00-00,184.83999599999999,187.580002,184.279999,185.300003,185.300003,10485400
2019-05-20-00-00-00,181.880005,184.229996,181.369995,182.720001,182.720001,10352000
2019-05-21-00-00-00,184.570007,185.699997,183.889999,184.820007,184.820007,7502800
2019-05-22-00-00-00,184.729996,186.740005,183.610001,185.320007,185.320007,9213800
2019-05-23-00-00-00,182.419998,183.899994,179.669998,180.869995,180.869995,12768800
2019-05-24-00-00-00,182.330002,183.630005,180.830002,181.059998,181.059998,8807700
2019-05-28-00-00-00,181.53999299999998,184.71000700000002,181.449997,184.309998,184.309998,14843300
2019-05-29-00-00-00,183.5,184.559998,181.350006,182.190002,182.190002,12797700
2019-05-30-00-00-00,183.080002,183.479996,180.889999,183.009995,183.009995,8581500
2019-05-31-00-00-00,180.279999,180.53999299999998,177.16000400000001,177.470001,177.470001,15226500
