Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03-00-00-00,252.649994,255.399994,250.330002,251.960007,251.960007,23124900
2020-08-04-00-00-00,251.559998,252.80000299999998,247.42999300000002,249.830002,249.830002,17183500
2020-08-05-00-00-00,250.190002,252.270004,247.770004,249.11999500000002,249.11999500000002,13088400
2020-08-06-00-00-00,249.039993,266.600006,248.669998,265.27999900000003,265.27999900000003,45241600
2020-08-07-00-00-00,264.079987,278.890015,263.429993,268.440002,268.440002,72735500
2020-08-10-00-00-00,268.040009,273.859985,259.690002,263.0,263.0,30248800
2020-08-11-00-00-00,260.190002,265.920013,255.13000499999998,256.130005,256.130005,28238300
2020-08-12-00-00-00,258.97000099999997,263.899994,258.109985,259.890015,259.890015,21428300
2020-08-13-00-00-00,261.549988,265.160004,259.570007,261.299988,261.299988,17374000
2020-08-14-00-00-00,262.309998,262.649994,258.679993,261.23999,261.23999,14792700
2020-08-17-00-00-00,262.5,264.100006,259.399994,261.160004,261.160004,13351100
2020-08-18-00-00-00,260.950012,265.149994,259.26001,262.339996,262.339996,18690400
2020-08-19-00-00-00,261.390015,267.910004,261.350006,262.589996,262.589996,23291500
2020-08-20-00-00-00,261.5,269.630005,261.459991,269.01001,269.01001,20299700
2020-08-21-00-00-00,268.690002,270.48999,266.420013,267.01001,267.01001,15538600
2020-08-24-00-00-00,271.070007,277.25,268.769989,271.390015,271.390015,23685600
2020-08-25-00-00-00,272.410004,283.089996,270.26001,280.820007,280.820007,42127200
2020-08-26-00-00-00,284.0,304.670013,284.0,303.910004,303.910004,69015200
2020-08-27-00-00-00,300.160004,301.230011,292.019989,293.22000099999997,293.22000099999997,30301300
2020-08-28-00-00-00,295.0,297.230011,290.980011,293.660004,293.660004,17172400
2020-08-31-00-00-00,293.950012,296.880005,291.549988,293.200012,293.200012,17345100
