Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-01-00-00-00,314.5599975585937,319.6600036621094,312.1199951171875,319.0,18023800,0,0
2022-02-02-00-00-00,327.82000732421875,328.0,316.8699951171875,323.0,58458300,0,0
2022-02-03-00-00-00,244.64999389648438,248.0,235.75,237.75999450683594,188119900,0,0
2022-02-04-00-00-00,234.97000122070312,242.61000061035156,230.11000061035156,237.08999633789062,89203700,0,0
2022-02-07-00-00-00,237.6999969482422,238.3000030517578,224.00999450683594,224.91000366210938,88613800,0,0
2022-02-08-00-00-00,220.85000610351562,225.77000427246094,216.14999389648438,220.17999267578125,94729700,0,0
2022-02-09-00-00-00,224.1999969482422,233.3699951171875,222.2100067138672,232.0,86563300,0,0
2022-02-10-00-00-00,228.27000427246094,235.0,226.6999969482422,228.07000732421875,49310400,0,0
2022-02-11-00-00-00,228.4600067138672,230.4199981689453,218.7700042724609,219.5500030517578,46101900,0,0
2022-02-14-00-00-00,219.3099975585937,221.0,214.77999877929688,217.6999969482422,38122300,0,0
2022-02-15-00-00-00,220.47000122070312,221.1499938964844,215.0599975585937,221.0,42610200,0,0
2022-02-16-00-00-00,212.4100036621093,217.4600067138672,212.3600006103516,216.5399932861328,45758600,0,0
2022-02-17-00-00-00,214.0200042724609,217.5,207.1600036621093,207.7100067138672,38629600,0,0
2022-02-18-00-00-00,209.38999938964844,210.75,205.17999267578125,206.16000366210938,37049400,0,0
2022-02-22-00-00-00,202.33999633789065,207.47999572753903,200.05999755859372,202.0800018310547,39799300,0,0
2022-02-23-00-00-00,204.16000366210938,206.94000244140625,198.0500030517578,198.4499969482422,44356500,0,0
