Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-02-01-00-00-00,22.01,22.08,21.65,22.03,85931100,0.0,0.0
2010-02-02-00-00-00,21.99,22.1,21.82,22.06,54413700,0.0,0.0
2010-02-03-00-00-00,21.91,22.32,21.8,22.2,61397900,0.0,0.0
2010-02-04-00-00-00,22.0,22.1,21.56,21.58,77850000,0.0,0.0
2010-02-05-00-00-00,21.71,21.92,21.37,21.72,80960100,0.0,0.0
2010-02-08-00-00-00,21.72,21.77,21.37,21.49,52820600,0.0,0.0
2010-02-09-00-00-00,21.68,21.97,21.51,21.72,59195800,0.0,0.0
2010-02-10-00-00-00,21.73,21.89,21.58,21.7,48591300,0.0,0.0
2010-02-11-00-00-00,21.65,22.02,21.47,21.8,65993700,0.0,0.0
2010-02-12-00-00-00,21.56,21.75,21.38,21.65,81117200,0.0,0.0
2010-02-16-00-00-00,21.91,22.1,21.82,22.08,51935600,0.13,0.0
2010-02-17-00-00-00,22.22,22.32,22.09,22.27,45882900,0.0,0.0
2010-02-18-00-00-00,22.27,22.61,22.21,22.56,42856500,0.0,0.0
2010-02-19-00-00-00,22.42,22.53,22.35,22.41,44451800,0.0,0.0
2010-02-22-00-00-00,22.46,22.54,22.32,22.38,36707100,0.0,0.0
2010-02-23-00-00-00,22.34,22.46,21.88,22.07,52266200,0.0,0.0
2010-02-24-00-00-00,22.21,22.42,22.11,22.3,43165900,0.0,0.0
2010-02-25-00-00-00,22.02,22.32,21.82,22.28,48735300,0.0,0.0
2010-02-26-00-00-00,22.32,22.47,22.21,22.33,40370600,0.0,0.0
