Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01-00-00-00,64.360001,64.620003,63.470001,63.580002,59.610825,39671500
2017-02-02-00-00-00,63.25,63.41,62.75,63.169998,59.226406000000004,45827000
2017-02-03-00-00-00,63.5,63.700001,63.07,63.68,59.704575,30301800
2017-02-06-00-00-00,63.5,63.650002,63.139998999999996,63.639998999999996,59.66706800000001,19796400
2017-02-07-00-00-00,63.740002000000004,63.779999,63.23,63.43,59.470181000000004,20277200
2017-02-08-00-00-00,63.57,63.810001,63.220001,63.34,59.385799,18096400
2017-02-09-00-00-00,63.52,64.440002,63.32,64.059998,60.060848,22644400
2017-02-10-00-00-00,64.25,64.300003,63.98,64.0,60.004604,18170700
2017-02-13-00-00-00,64.239998,64.860001,64.129997,64.720001,60.679653,22920100
2017-02-14-00-00-00,64.410004,64.720001,64.019997,64.57,60.906043999999994,23108400
2017-02-15-00-00-00,64.5,64.57,64.160004,64.529999,60.868297999999996,17005200
2017-02-16-00-00-00,64.739998,65.239998,64.440002,64.519997,60.85886,20546300
2017-02-17-00-00-00,64.470001,64.690002,64.300003,64.620003,60.953196999999996,21248800
2017-02-21-00-00-00,64.610001,64.949997,64.449997,64.489998,60.830569999999994,20655900
2017-02-22-00-00-00,64.33000200000001,64.389999,64.050003,64.360001,60.707947,19292700
2017-02-23-00-00-00,64.41999799999999,64.730003,64.190002,64.620003,60.953196999999996,20273100
2017-02-24-00-00-00,64.529999,64.800003,64.139999,64.620003,60.953196999999996,21796800
2017-02-27-00-00-00,64.540001,64.540001,64.050003,64.230003,60.585331000000004,15871500
2017-02-28-00-00-00,64.08000200000001,64.199997,63.759997999999996,63.98,60.349503000000006,23239800
