Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03-00-00-00,2.82,2.83,2.58,2.6,2.6,26854400
2019-09-04-00-00-00,2.7,2.75,2.64,2.75,2.75,15177900
2019-09-05-00-00-00,2.81,3.0,2.8,2.95,2.95,23244700
2019-09-06-00-00-00,2.99,3.0,2.87,2.98,2.98,14509300
2019-09-09-00-00-00,3.0,3.14,2.93,3.14,3.14,17386300
2019-09-10-00-00-00,3.13,3.33,3.07,3.32,3.32,20848800
2019-09-11-00-00-00,3.28,3.33,3.16,3.27,3.27,13619900
2019-09-12-00-00-00,3.24,3.27,3.1,3.19,3.19,10957800
2019-09-13-00-00-00,3.22,3.27,3.15,3.21,3.21,8371700
2019-09-16-00-00-00,3.15,3.21,3.09,3.12,3.12,12374900
2019-09-17-00-00-00,3.11,3.18,3.0,3.18,3.18,12905800
2019-09-18-00-00-00,3.21,3.21,3.03,3.08,3.08,12519200
2019-09-19-00-00-00,3.12,3.16,3.08,3.1,3.1,8733200
2019-09-20-00-00-00,3.14,3.16,3.02,3.04,3.04,11999300
2019-09-23-00-00-00,2.98,2.98,2.71,2.72,2.72,40356100
2019-09-24-00-00-00,2.22,2.24,1.97,2.17,2.17,122194400
2019-09-25-00-00-00,2.15,2.15,2.02,2.05,2.05,38938700
2019-09-26-00-00-00,2.05,2.06,1.9,1.96,1.96,50967800
2019-09-27-00-00-00,1.94,2.0,1.71,1.75,1.75,59824600
2019-09-30-00-00-00,1.72,1.73,1.53,1.56,1.56,58815600
