Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-06-01-00-00-00,17.59000015258789,18.93000030517578,17.479999542236328,17.56999969482422,92493700,0,0
2022-06-02-00-00-00,17.540000915527344,18.850000381469727,16.989999771118164,18.850000381469727,77825000,0,0
2022-06-03-00-00-00,18.420000076293945,18.739999771118164,17.809999465942383,18.079999923706055,57507700,0,0
2022-06-06-00-00-00,18.989999771118164,19.799999237060547,18.799999237060547,19.18000030517578,68726800,0,0
2022-06-07-00-00-00,18.979999542236328,19.68000030517578,18.600000381469727,19.649999618530273,49357200,0,0
2022-06-08-00-00-00,20.31999969482422,20.450000762939453,19.860000610351562,20.3799991607666,65311600,0,0
2022-06-09-00-00-00,18.719999313354492,19.68000030517578,18.450000762939453,18.81999969482422,73635000,0,0
2022-06-10-00-00-00,18.860000610351562,19.18000030517578,17.809999465942383,18.139999389648438,61204800,0,0
2022-06-13-00-00-00,17.31999969482422,17.489999771118164,15.84000015258789,15.989999771118164,60354400,0,0
2022-06-14-00-00-00,16.530000686645508,19.09000015258789,16.489999771118164,18.65999984741211,105582700,0,0
2022-06-15-00-00-00,18.959999084472656,20.260000228881836,18.18000030517578,20.110000610351562,121426000,0,0
2022-06-16-00-00-00,19.18000030517578,19.93000030517578,18.469999313354492,19.18000030517578,77244500,0,0
2022-06-17-00-00-00,19.770000457763672,20.889999389648438,19.729999542236328,20.770000457763672,81866600,0,0
2022-06-21-00-00-00,21.84000015258789,23.100000381469727,21.579999923706055,22.65999984741211,90287700,0,0
2022-06-22-00-00-00,22.34000015258789,23.1299991607666,21.93000030517578,22.549999237060547,81297100,0,0
2022-06-23-00-00-00,23.11000061035156,23.209999084472656,22.229999542236328,23.049999237060547,77364100,0,0
2022-06-24-00-00-00,23.21999931335449,24.170000076293945,23.15999984741211,24.07999992370605,66884700,0,0
2022-06-27-00-00-00,24.1299991607666,24.43000030517578,22.850000381469727,22.950000762939453,61539100,0,0
2022-06-28-00-00-00,22.36000061035156,23.450000762939453,22.020000457763672,22.36000061035156,76228500,0,0
2022-06-29-00-00-00,20.76000022888184,22.280000686645508,20.600000381469727,21.86000061035156,71420700,0,0
2022-06-30-00-00-00,21.860000610351562,22.1200008392334,20.899999618530273,21.719999313354492,52943000,0,0
